Time,F_Scale,Location,County,State,Lat,Lon,Comments
2205,UNK,2 S MIFFLINBURG,UNION,PA,40.89,-77.05,EF1 TORNADO CONFIRMED ON SR 304 SOUTH OF MIFFLINBURG. SIGNIFICANT DAMAGE TO BARN AND LARGE SHED. FEW TREES KNOCKED DOWN ALSO. (CTP)
Time,Speed,Location,County,State,Lat,Lon,Comments
1746,UNK,1 NNW ZIONS VIEW,YORK,PA,40.07,-76.78,WIRES DOWN IN CONEWAGO TWP. IN TWO LOCATIONS (CTP)
1850,UNK,3 WSW BEAUFORT,BEAUFORT,SC,32.42,-80.73,LARGE TREE DOWN ON HOUSE ON TAFT STREET NEAR THE INTERSECTION OF OLD JERICHO RD. TIME ESTIMATED FROM RADAR (CHS)
2008,60,2 S FORT HUACHUCA,COCHISE,AZ,31.56,-110.35,(TWC)
2112,UNK,2 ESE LYNNE,MARION,FL,29.18,-81.89,LARGE TREE DOWN NEAR THE INTERSECTION OF NORTH HWY 314A AND EAST HWY 40. TIME ESTIMATED BY RADAR. (JAX)
2120,UNK,5 NNW ORANGE PARK,DUVAL,FL,30.23,-81.75,BROADCAST MEDIA RELAYED A REPORT OF A LARGE TREE DOWN AT JAMMES ROAD AND TURKNETT ROAD BETWEEN BLANDING AND I-295. POSSIBLE VEHICLE INVOLVED WITH INJURIES. (JAX)
2145,UNK,3 ENE KINGSLAND,CAMDEN,GA,30.82,-81.61,MULTIPLE LARGE TREE BRANCHES REPORTED DOWN IN THE LAUREL ISLAND AND THE LAKES SUBDIVISIONS. TIME ESTIMATED BY RADAR. (JAX)
2145,UNK,MILLERSTOWN,PERRY,PA,40.55,-77.15,LIMB DOWN ON ROAD IN MILLERSTOWN. (CTP)
2205,UNK,2 S MIFFLINBURG,UNION,PA,40.89,-77.05,POSSIBLE TORNADO DAMAGE INTERSECTION OF RTE 304 AND RED RIDGE ROAD. (CTP)
2215,UNK,3 NE AVRA VALLEY,PIMA,AZ,32.46,-111.28,POWER POLES DOWN... MUD AND DEBRIS ACROSS ROAD CAUSING ROAD CLOSURES. (TWC)
2248,UNK,3 N INDEPENDENT HILL,PRINCE WILLIAM,VA,38.68,-77.44,TREE DOWN ON SINCLAIR MILL ROAD JUST OFF OF DUMFRIES ROAD. (LWX)
2323,UNK,3 SSW NORMANDY,DUVAL,FL,30.27,-81.77,WILSON BOULEVARD IS CLOSED IN BOTH DIRECTIONS AT OLD MIDDLEBURG ROAD DUE TO POWER LINES DOWN. (JAX)
0430,UNK,EWING TWP,MERCER,NJ,40.26,-74.8,40 SECTION OF A TREE AND TELEPHONE POLE KNOCKED OVER. (PHI)
0455,64,4 N PRESIDIO,PRESIDIO,TX,29.62,-104.36,(MAF)
Time,Size,Location,County,State,Lat,Lon,Comments
2244,100,SAINT CLOUD,OSCEOLA,FL,28.24,-81.29,QUARTER-SIZED HAIL REPORTED AT U.S. 192 AND NARCOOSEE RD. (MLB)
