Time,F-Scale,Location,County,State,Lat,Lon,Comments
0132,UNK,4 NE AMERICUS,LYON,KS,38.55,-96.21,CHASERS CONFIRMED A TORNADO BRIEFLY VISIBLE. (TOP)
Time,Speed,Location,County,State,Lat,Lon,Comments
1805,UNK,2 NNW THOMAS,TUCKER,WV,39.17,-79.51,TREE DOWN ALONG 219 JUST NORTH OF THOMAS (PBZ)
1909,UNK,3 NE MOUNT CLIFTON,SHENANDOAH,VA,38.79,-78.68,HAIL WAS AT LEAST THE SIZE OF PENNIES. BARN WAS TOPPLED BY THUNDERSTORM WINDS. (LWX)
1922,65,GREENUP,GREENUP,KY,38.57,-82.83,(RLX)
1956,UNK,MISSOULA,MISSOULA,MT,46.87,-113.99,TREE DOWNED ON TOP OF PARKED CARS DOWNTOWN MISSOULA. (MSO)
2000,UNK,CANNONSBURG,BOYD,KY,38.39,-82.7,SEVERAL TREES DOWN ALONG ROSEWOOD DR. (RLX)
2220,UNK,5 ESE GOSHEN,ROCKBRIDGE,VA,37.96,-79.41,TREE DOWN ON JUMP MOUNTAIN ROAD IN ROCKBRIDGE BATHS. (RNK)
2355,UNK,THE ORCHARDS,ROANOKE,VA,37.33,-79.88,LARGE TREE DOWN ON DRIVEWAY IN BONSACK AREA (RNK)
0010,UNK,MONETA,BEDFORD,VA,37.18,-79.63,TREE BRANCH FELL ON TRAILER. (RNK)
0020,UNK,1 SSE THE MEWS,CITY OF RICHMOND,VA,37.48,-77.48,LARGE TREE DOWN ON OBERLIN RD (AKQ)
0022,63,2 SSE GEYSER,JUDITH BASIN,MT,47.25,-110.48,GEYSER DOT MEASURES 63 MPH THUNDERSTORM WIND GUST. (TFX)
0112,UNK,MOUNT ZION,MIDDLESEX,VA,37.67,-76.67,TREES DOWN ALONG MOUNT ZION ROAD NEAR HIGHWAY 17. (AKQ)
0907,60,8 ENE FREER,DUVAL,TX,27.93,-98.5,THE POLICE DEPARTMENT IN FREER REPORTED ESTIMATED WIND GUSTS IN THE 50 TO 60 MPH RANGE. (CRP)
Time,Size,Location,County,State,Lat,Lon,Comments
1248,100,BROCKWAY,JEFFERSON,PA,41.25,-78.79,(PBZ)
1303,100,BROCKWAY,JEFFERSON,PA,41.25,-78.86,EVENT OCCURRED BETWEEN 848 AM 03/28/2012 AND 903 AM 03/28/2012 (PBZ)
1335,100,BEAVER,BEAVER,PA,40.7,-80.36,EVENT OCCURRED BETWEEN 920 AM 03/28/2012 AND 935 AM 03/28/2012 (PBZ)
1359,100,IMPERIAL,ALLEGHENY,PA,40.45,-80.24,(PBZ)
1428,100,GLASSPORT,ALLEGHENY,PA,40.32,-79.89,RELAYED VIA MEDIA (PBZ)
1514,100,GREENSBURG,WESTMORELAND,PA,40.34,-79.52,EVENT OCCURRED BETWEEN 1059 AM 03/28/2012 AND 1114 AM 03/28/2012 (PBZ)
1528,100,WASHINGTON,WASHINGTON,PA,40.16,-80.25,EVENT OCCURRED BETWEEN 1113 AM 03/28/2012 AND 1128 AM 03/28/2012 (PBZ)
1537,100,INDIAN HEAD,FAYETTE,PA,40.02,-79.4,(PBZ)
1551,100,WEST NEWTON,WESTMORELAND,PA,40.2,-79.73,EVENT OCCURRED BETWEEN 1136 AM 03/28/2012 AND 1151 AM 03/28/2012 (PBZ)
1616,100,INDIAN HEAD,FAYETTE,PA,40.02,-79.4,(PBZ)
1805,100,HUNTINGTON,WAYNE,WV,38.34,-82.51,(RLX)
1834,200,SAND RUN,LEWIS,WV,38.92,-80.58,(RLX)
1845,100,ROCK CAVE,UPSHUR,WV,38.84,-80.34,(RLX)
1847,100,1 W BRAKE,HARDY,WV,38.89,-79.06,(LWX)
