Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0056,UNK,2 S KOUTS,PORTER,IN,41.29,-87.03,TREES DOWN (LOT)
0110,UNK,LA CROSSE,LA PORTE,IN,41.32,-86.89,3 TELEPHONE POLES DOWN ON US 421 JUST NORTH OF SR 8 (IWX)
0118,UNK,1 SSE GROTTOES,ROCKINGHAM,VA,38.25,-78.81,MANY LARGE TREES DOWN. (LWX)
0118,UNK,HEBRON,PORTER,IN,41.32,-87.2,INDIANA ROUTE 8 2 MI E OF HEBRON TREE LIMBS DOWN (LOT)
0120,60,9 NE GOODLAND,SHERMAN,KS,39.44,-101.59,WINDS WERE CAUSING BLOWING DUST AND REDUCING VISIBILITY TO LESS THAN A HALF MILE. (GLD)
0125,60,NORTH JUDSON,STARKE,IN,41.22,-86.78,(IWX)
0125,UNK,NORTH JUDSON,STARKE,IN,41.22,-86.78,15 TREES DOWN IN AND SOUTH OF TOWN (IWX)
0140,UNK,RIPLEY,PULASKI,IN,41.1,-86.66,NUMEROUS REPORTS OF TREES AND POWER LINES DOWN ACROSS THE NORTHERN PORTION OF THE COUNTY (IWX)
0205,UNK,4 NW ROCHESTER,FULTON,IN,41.1,-86.27,POWER LINE DOWN ON TREE CAUSING SPARKING ON 300 N (IWX)
0210,UNK,2 ENE GRASS CREEK,FULTON,IN,40.95,-86.38,TREE DOWN ON SR 17 AND SR 114 (IWX)
0220,UNK,TWELVE MILE,CASS,IN,40.87,-86.23,MULTIPLE REPORTS OF TREES AND POWER LINES DOWN IN AND AROUND THE TOWN. (IWX)
0222,61,IMPERIAL,CHASE,NE,40.52,-101.64,(LBF)
0229,UNK,MEXICO,MIAMI,IN,40.82,-86.12,3 TO 5 INCH LARGE LIMBS DOWN AND DIME SIZED HAIL (IWX)
0425,UNK,1 W HUNTER,FOREST,PA,41.47,-79.5,TREE REPORTED DOWN ALONG STATE ROUTE 62 (PBZ)
0437,61,3 E NORTH PLATTE,LINCOLN,NE,41.13,-100.71,(LBF)
0450,UNK,TITUSVILLE,CRAWFORD,PA,41.63,-79.67,A FEW TREES DOWN ACROSS THE AREA. (CLE)
0605,UNK,BROOKVILLE,JEFFERSON,PA,41.16,-79.08,LARGE TREE BLOWN DOWN ON TAYLOR AVE. (PBZ)
0620,UNK,PUNXSUTAWNEY,JEFFERSON,PA,40.94,-78.97,LARGE TREE BLOWN DOWN ON ORCHARD ST. (PBZ)
0630,UNK,CURWENSVILLE,CLEARFIELD,PA,40.97,-78.52,TREES DOWN (CTP)
