Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
2315,67,1 S WENDOVER,TOOELE,UT,40.73,-114.02,(SLC)
Time,Size,Location,County,State,Lat,Lon,Comments
1832,100,2 E STANLEY,SANTA FE,NM,35.15,-105.94,(ABQ)
2013,100,4 SSE SANTA FE,SANTA FE,NM,35.62,-105.92,LOTS OF SMALL TO MEDIUM SIZED HAIL ACCUMULATED SEVERAL INCHES DEEP ON I-25 AND IMPEDED TRAFFIC. (ABQ)
2317,100,8 NE MARATHON,BREWSTER,TX,30.29,-103.15,REPORTED BY BREWSTER COUNTY S.O. (MAF)
2325,100,5 SSE SANTA FE,SANTA FE,NM,35.6,-105.93,(ABQ)
2332,175,MARATHON,BREWSTER,TX,30.21,-103.24,HIGHWAY 385 IN MARATHON... MINOR FLOODING ON ROADWAY. (MAF)
0102,125,10 N LEAMINGTON,JUAB,UT,39.68,-112.29,BROKE CAR SUNROOF AND DENTED CAR. HAIL MAY HAVE BEEN AS LARGE AS 1.5 INCHES. (SLC)
