Time,F-Scale,Location,County,State,Lat,Lon,Comments
1243,UNK,11 N POPLARVILLE,PEARL RIVER,MS,30.99,-89.56,EF0 TORNADO BRIEFLY TOUCHED DOWN NEAR OTT STANFORD RD. PATIO ROOF OFF OF FIRST HOUSE WAS PEELED BACK AND RIPPED OFF HALF OF THE ROOF OF THE HOUSE. PATIO ROOF WAS RIPPED (LIX)
1325,UNK,2 SE BOOTHVILLE,PLAQUEMINES,LA,29.3,-89.38,A WEAK TORNADO TOUCHED DOWN AND RIPPED SIDING AND PORTION OF THE ROOF OFF OF A METAIL BOAT STORAGE BUILDING...SNAPPED A COUPLE OF SMALL TREES...DESTROYED A STORAGE SHED (LIX)
1700,UNK,1 SE UNIONTOWN,PERRY,AL,32.44,-87.5,AN EF0 TORNADO WITH WINDS OF 80MPH TOUCHED DOWN SOUTHEAST OF UNIONTOWN ALONG CAHABA ROAD AND MOVED NORTHEAST FOR 0.6 MILES. ALONG ITS SHORT PATH,A COUPLE DOZEN TREES W (BMX)
1045,UNK,5 ENE PORT CHARLOTTE,CHARLOTTE,FL,27,-82.02,EF-1 TORNADO TOUCHED DOWN AND CAUSED SIGNIFICANT ROOF DAMAGE TO A SINGLE FAMILY HOME AND AN APARTMENT COMPLEX. ADDITIONAL MINOR ROOF DAMAGE WAS SUSTAINED AT TWO ADJACEN (TBW)
Time,Speed,Location,County,State,Lat,Lon,Comments
1340,UNK,VENICE,PLAQUEMINES,LA,29.28,-89.35,POWER LINES DOWN AND A COUPLE OF SHEDS DAMAGED ALONG HIGHWAY 23 NEAR VENICE. (LIX)
1543,UNK,GILBERTOWN,CHOCTAW,AL,31.88,-88.32,PUBLIC REPORTS WINDOWS OUT AND TREE DOWN ON PARAGON RD. IN GILBERTOWN. PUBLIC ALSO REPORTS DAMAGE TO A SHED BEHIND MM HARDWARE IN GILBERTOWN. (MOB)
1655,UNK,UNIONTOWN,PERRY,AL,32.45,-87.51,10 HOMES RECEIVED DAMAGE ON CHURCH STREET IN UNIONTOWN. 4 HOMES RECEIVED SIGNIFICANT DAMAGE WITH ONE HOME SHIFTED OFF ITS FOUNDATION. POSSIBLE TORNADO. (BMX)
1959,58,DESTIN,OKALOOSA,FL,30.39,-86.48,(MOB)
2024,UNK,W LIBERTY HILL,WALTON,FL,30.82,-86.22,LARGE TREE DOWN ACROSS ROUTE 331 BLOCKING SOUTHBOUND LANE. (TAE)
0030,UNK,WAYNESBORO,WAYNE,TN,35.32,-87.76,SEVERAL TREES BLOWN OVER (OHX)
0043,UNK,3 E TALLAHASSEE,LEON,FL,30.43,-84.23,POSSIBLE TORNADO. POWER POLE FELL ONTO HOUSE ON VOGUE DR. (TAE)
0146,UNK,5 ENE SPRING HILL,WILLIAMSON,TN,35.78,-86.84,TWO HOMES SUFFERED MINOR ROOF DAMAGE...A CARPORT WAS DESTROYED...AND A CAMPER FLIPPED OVER ALONG LEWISBURG PIKE JUST SOUTH OF THOMPSONS STATION RD. (OHX)
0719,63,2 SE STANAFORD,RALEIGH,WV,37.79,-81.12,(RLX)
0720,UNK,3 SE STANAFORD,RALEIGH,WV,37.79,-81.11,MULTIPLE TREES DOWN ON INDUSTRIAL PARK ROAD NEAR THE 911 CALL CENTER. (RLX)
0749,UNK,4 NW RUPERT,GREENBRIER,WV,37.99,-80.73,THUNDERSTORM WINDS TORE A LARGE PORTION OF A ROOF OFF A TRAILER ON ROUTE 60. (RNK)
0813,UNK,1 NE WILLIAMSBURG,GREENBRIER,WV,37.97,-80.49,ONE TREE DOWN. (RNK)
0825,UNK,5 SSW LEWISBURG,GREENBRIER,WV,37.73,-80.49,ONE TREE DOWN ON RIVER ROAD NEAR RONCEVERTE. (RNK)
1045,UNK,5 ENE PORT CHARLOTTE,CHARLOTTE,FL,27,-82.02,ROOF DAMAGE TO 2 STRUCTURES (TBW)
Time,Size,Location,County,State,Lat,Lon,Comments
