Time,F-Scale,Location,County,State,Lat,Lon,Comments
2206,UNK,8 SE ELGIN,BOONE,NE,41.9,-97.97,TORNADO 6 MILES EAST AND 5 MILES SOUTH OF ELGIN (OAX)
2224,UNK,6 NW WOLBACH,GREELEY,NE,41.46,-98.47,CORRECTED LOCATION FROM 1ST REPORT (GID)
2305,UNK,7 NW NEWMAN GROVE,BOONE,NE,41.82,-97.87,(OAX)
2330,UNK,2 SW BATTLE CREEK,MADISON,NE,41.98,-97.63,(OAX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1412,75,5 E SAGINAW,SAGINAW,MI,43.43,-83.86,(DTX)
1415,UNK,4 NNW SAGINAW,SAGINAW,MI,43.47,-83.98,24 INCH DIAMETER TREE DOWN AT MCCARTY AND CABARET TRAIL (DTX)
1424,UNK,5 SSW BAY CITY,BAY,MI,43.53,-83.94,AWNINGS ON TRAILERS GOT RIPPED OFF AT THE REST STOP ON I-75 NEAR EXIT 160. (DTX)
1430,UNK,3 W REESE,SAGINAW,MI,43.45,-83.75,TREES DOWN AT VASSAR ROAD AND WASHINGTON ROAD (DTX)
1432,UNK,CHESANING,SAGINAW,MI,43.18,-84.12,ROADS CLOSED IN DOWNTOWN DUE TO MULITPLE TREES DOWNED (DTX)
1440,UNK,5 E VASSAR,TUSCOLA,MI,43.37,-83.47,12 INCH DIAMETER TREE DOWN (DTX)
1815,UNK,MADISON,LAKE,OH,41.77,-81.05,TREE LEANING ON WIRE. (CLE)
1820,UNK,WAMPUM,LAWRENCE,PA,40.89,-80.34,TREES AND POWER LINES DOWN (PBZ)
1910,UNK,1 SSW ELORA,BUTLER,PA,40.98,-80,TREE ON MOBILE HOME (PBZ)
1929,UNK,CRANBERRY,VENANGO,PA,41.35,-79.72,TREES AND POWER LINES DOWN (PBZ)
1935,UNK,5 SW OMER,ARENAC,MI,44,-83.93,*** 4 INJ *** A TREE FELL ON CAMPERS IN BIG BEND CAMPGROUND ON CONRAD ROAD BETWEEN OMER AND STANDISH. FOUR CAMPERS WERE INJURED. (APX)
1952,UNK,SAINT PETERSBURG,CLARION,PA,41.16,-79.65,TREE DOWN ACROSS ROAD (PBZ)
2002,UNK,CLARION,CLARION,PA,41.21,-79.38,TREE DOWN AT FOREST DRIVE AND MILLER ROAD (PBZ)
2020,UNK,BROOKVILLE,JEFFERSON,PA,41.16,-79.08,LARGE TREE BRANCH ON CAR (PBZ)
2030,UNK,RIDGWAY,ELK,PA,41.43,-78.73,TREES REPORTED DOWN IN RIDGWAY. (CTP)
2039,UNK,RED BARN,INDIANA,PA,40.52,-79.16,MULTIPLE TREES DOWN (PBZ)
2039,UNK,MCWILLIAMS,ARMSTRONG,PA,40.97,-79.26,MULTIPLE TREES DOWN (PBZ)
2050,UNK,ELDERTON,ARMSTRONG,PA,40.7,-79.34,TREES DOWN (PBZ)
2051,66,WEST PALM BEACH,PALM BEACH,FL,26.71,-80.06,THE ASOS AT PALM BEACH INTERNATIONAL AIRPORT RECORDED A WEST-SOUTHWEST WIND GUST OF 57 KTS...OR 66 MPH...AT 451 PM EDT. THIS GUST WAS ASSOCIATED WITH A LINE OF SEVERE T (MFL)
2057,UNK,SHAWVILLE,CLEARFIELD,PA,41.07,-78.36,TREES REPORTED DOWN IN AND AROUND SHAWVILLE. (CTP)
2058,UNK,MARION CENTER,INDIANA,PA,40.77,-79.05,MULTIPLE TREE LIMBS DOWN (PBZ)
2107,UNK,MAHAFFEY,CLEARFIELD,PA,40.88,-78.73,TREES REPORTED DOWN IN AND AROUND MAHAFFEY. (CTP)
