Time,F_Scale,Location,County,State,Lat,Lon,Comments
1725,UNK,2 NE BOCA RATON,PALM BEACH,FL,26.38,-80.08,SURVEY INDICATED AN EF0 TORNADO IN NORTHEASTERN SECTIONS OF BOCA RATON FROM NEAR NORTH DIXIE HIGHWAY AND NE 28 ST TO NEAR FEDERAL HIGHWAY AND NE 32 ST. MAX WINDS ESTIMA (MFL)
Time,Speed,Location,County,State,Lat,Lon,Comments
1637,58,KEY WEST,LOWER KEYS IN MON,FL,24.56,-81.78,WEATHERFLOW STATION AT KEY WEST US COAST GUARD REPORTED A WIND GUST OF 43 KTS. (KEY)
1725,UNK,1 NE BOCA RATON,PALM BEACH,FL,26.38,-80.08,POWER LINES REPORTED DOWN IN THE 2800 BLOCK OF N DIXIE HIGHWAY... REPORT OBTAINED FROM BOCA RATON LAW ENFORCEMENT VIA SOCIAL MEDIA. (MFL)
1750,58,KEY WEST,LOWER KEYS IN MON,FL,24.56,-81.78,CAPTAIN JORDAN REPORTED A WIND GUST OF 50 KTS FOR THE SALT POND AREA. (KEY)
1805,UNK,1 SW ARTHUR,MOULTRIE,IL,39.71,-88.48,FOUR POWER POLES BLOWN DOWN ALONG ILLINOIS ROUTE 133 NEAR ARTHUR IN MOULTRIE COUNTY. PEOPLE TRAPPED IN CARS BY DOWNED POWER LINES. NO INJURIES. (ILX)
1805,UNK,ARTHUR,DOUGLAS,IL,39.72,-88.47,POWER POLES BLOWN DOWN ALONG ILLINOIS ROUTE 133 NEAR ARTHUR. (ILX)
1913,58,3 NE BEMENT,PIATT,IL,39.95,-88.53,ALSO REPORTED INTENSE LIGHTNING AND PEA SIZED HAIL (ILX)
2013,UNK,DANIA BEACH,BROWARD,FL,26.06,-80.14,POWERLINES DOWN. (MFL)
Time,Size,Location,County,State,Lat,Lon,Comments
