Time,F_Scale,Location,County,State,Lat,Lon,Comments
2119,UNK,4 S HAMLIN,BROWN,KS,39.86,-95.62,A SMALL BRIEF TORNADO DEVELOPED ALONG A LINE OF STORMS. IT TRACKED NORTHEAST AND DAMAGED ONE KNOWN FARMSTEAD. START AND END POINTS AND TIME IS ESTIMATED BASED ON TORNAD (TOP)
2254,UNK,4 NW PICKERING,NODAWAY,MO,40.48,-94.9,DELAYED REPORT: PHOTO OF FULLY CONDENSED TORNADO NEAR HIGHWAY FF AND ROAD B. POWERLINE AND TREE LIMBS ACROSS ROADWAY AT FF AND 170TH. (EAX)
2302,UNK,6 ESE NEWTOWN,SULLIVAN,MO,40.36,-93.22,DELAYED REPORT: VIDEO OF BRIEF TORNADO. EYEWITNESSES PLACE CIRCULATION LOCATION BETWEEN JOLLY AND KAY ROAD. (EAX)
2351,UNK,1 NNE PERRY,DALLAS,IA,41.85,-94.09,LAW ENFORCEMENT CONFIRMS TORNADO ON GROUND NORTH OF PERRY HIGH SCHOOL. (DMX)
2357,UNK,1 NNE PERRY,DALLAS,IA,41.86,-94.09,CONFIRMED TORNADO ON GROUND WEST OF HWY 169. (DMX)
0007,UNK,4 N MCCAMEY,UPTON,TX,31.19,-102.22,REPORT OF A TORNADO THAT TOUCHED DOWN VERY BRIEFLY...A COUPLE OF SECONDS AND THEN LIFTED. IN AN OPEN FIELD WHERE THERE ARE NO ROADS. IT WILL BE TENTATIVELY CLASSIFIED A (MAF)
0056,UNK,8 N WOODBURN,CLARKE,IA,41.13,-93.58,DAMAGE TO HOME IN THE 1200 BLOCK OF 330TH AVE. TIME ESTIMATED VIA RADAR. (DMX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1650,60,ODESSA,ECTOR,TX,31.85,-102.37,WIND GUST OF AT LEAST 60 MPH REPORTED ON THE EAST SIDE OF TOWN (MAF)
2104,62,DALLAS,DALLAS,TX,32.77,-96.78,MEASURED 62 MPH AT DALLAS LOVE FIELD (FWD)
2310,UNK,5 ESE CLEARMONT,NODAWAY,MO,40.49,-94.94,POWER LINE ACROSS THE ROAD AT HIGHWAY FF AND 170TH STREET. TREE LIMBS IN THE ROADWAY ON FF. TORNADO POSSIBLE. (EAX)
0100,UNK,1 SSE OSCEOLA,CLARKE,IA,41.02,-93.76,IDOT PASSED ON REPORT OF TREE BLOCKING ONE LANE ALONG HIGHWAY 69 SOUTH OF OSCEOLA. TREE WAS TOO BIG TO MOVE BY HAND. DELAYED REPORT. (DMX)
0550,62,5 SW ST. LAWRENCE,Reagan,TX,31.65,-101.6,(MAF)
0926,72,1 N LAUGHLIN AFB,VAL VERDE,TX,29.37,-100.78,ASOS AT LAUGHLIN AFB REPORTED 72 MPH WIND GUST AND 3/4 INCH HAIL. (EWX)
1005,UNK,5 NW BRACKETTVILLE,KINNEY,TX,29.36,-100.47,THE KINNEY COUNTY TEXAS A&M AGRILIFE EXTENSION SERVICE REPORTED LARGE LIMBS DOWN ALONG FM 2804 NORTHWEST OF BRACKETTVILLE. (EWX)
Time,Size,Location,County,State,Lat,Lon,Comments
2240,100,1 N BROWNFIELD,TERRY,TX,33.19,-102.27,(LUB)
0248,100,12 E BALMORHEA,Reeves,TX,30.98,-103.54,LOCATED ALONG 1-10 AT MM243 (MAF)
1130,175,MONTELL,UVALDE,TX,29.53,-100.02,THE UVALDE SHERIFFS OFFICE REPORTED GOLF BALL SIZE HAIL NEAR MONTELL. (EWX)
