Time,F_Scale,Location,County,State,Lat,Lon,Comments
2112,UNK,10 N RUSO,MCHENRY,ND,47.98,-100.93,PUBLIC REPORT OF A TORNADO ON THE GROUND. (BIS)
2117,UNK,8 S VELVA,MCHENRY,ND,47.94,-100.93,PUBLIC REPORT OF A TORNADO ON THE GROUND. ANOTHER PUBLIC REPORT INDICATED A FUNNEL CLOUD. (BIS)
2245,UNK,BIRKENFELD,COLUMBIA,OR,46,-123.33,RECEIVED REPORT VIA LOCAL TELEVISION STATION. A VIEWER INDICATED A TORNADO TOUCHED DOWN SOMETIME BETWEEN 345 AND 400 PM WITH MINOR DAMAGE TO THEIR ROOF ALONG WITH SNAPP (PQR)
0059,UNK,7 N JAVA,CAMPBELL,SD,45.6,-99.88,(ABR)
0425,UNK,WNW BARNESVILLE,CLAY,MN,46.65,-96.42,A TORNADO TRACKED INTERMITTENTLY FOR ABOUT 7 MILES... FROM ABOUT A MILE WEST OF THE AIRPORT TO THE INTERSTATE 94 EXIT ABOUT 2 MILES NORTH OF TOWN BY 2230 PM CDT. THE TO (FGF)
Time,Speed,Location,County,State,Lat,Lon,Comments
1520,UNK,4 ESE AURORA,DUPAGE,IL,41.75,-88.21,8-10 INCH DIAMETER TREE BRANCH DOWN AT YACKLEY AND OGDEN. (LOT)
1521,70,5 W DOWNERS GROVE,DUPAGE,IL,41.81,-88.12,EST 65-70 MPH. VIA TWITTER. (LOT)
1715,UNK,GOSHEN,ORANGE,NY,41.4,-74.33,TREES AND WIRES DOWN. TREE DOWN ON HOUSE. (OKX)
1815,UNK,2 S PORT TREVERTON,NORTHUMBERLAND,PA,40.68,-76.88,TREES REPORTED DOWN. (CTP)
1824,UNK,1 N BERRYSBURG,DAUPHIN,PA,40.62,-76.81,TREE DOWN ON CARS AND WIRES TORN FROM A HOME IN MIFFLIN TWP. (CTP)
1830,UNK,GUILFORD,PISCATAQUIS,ME,45.17,-69.39,NUMEROUS LARGE TREES DOWN WITH DAMAGING WINDS (CAR)
1836,UNK,SOUTH HERO,GRAND ISLE,VT,44.65,-73.3,POWERLINES DOWN (BTV)
1837,UNK,LIVERPOOL,PERRY,PA,40.57,-76.99,WIRES DOWN (CTP)
1845,UNK,RAEFORD,HOKE,NC,34.98,-79.23,TWO TREES DOWN ON HARRIS AVENUE (RAH)
1854,UNK,3 S MILTON,CHITTENDEN,VT,44.58,-73.13,SEVERAL TREES DOWN (BTV)
1859,UNK,3 SSE LENOIR,CALDWELL,NC,35.87,-81.52,A COUPLE TREES WERE DOWN ALONG WALT ARNEY RD ON THE SOUTH SIDE OF LENOIR. (GSP)
1910,UNK,WESTPORT,ESSEX,NY,44.18,-73.44,RTE 22 NORTHBOUND AND SOUTHBOUND IN WESTPORT CLOSED DUE TO POWERLINE WIRES DOWN (BTV)
1915,UNK,4 E UVALDA,TOOMBS,GA,32.04,-82.44,TWO TREES WERE BLOWN DOWN NEAR THE INTERSECTION OF TURNER BRIDGE ROAD AND BUDDY MOSLEY ROAD. (FFC)
1916,UNK,GAVERS,COLUMBIANA,OH,40.71,-80.81,SEVERAL TREES DOWN IN AND AROUND GAVERS (PBZ)
1918,UNK,3 WNW EAST CORINTH,PENOBSCOT,ME,45.01,-69.07,SEVERAL TREES AND POWERLINES DOWN. NUMEROUS BROKEN BRANCHES. (CAR)
1924,UNK,1 NW GUM SPRINGS,LEE,NC,35.48,-79.23,LEE COUNTY 911 RECEIVED REPORT OF TREES AND POWER LINES DOWN AT CARBONTON RD AND OLD CARBONTON RD. (RAH)
1929,UNK,1 SSE CLINTON,KENNEBEC,ME,44.63,-69.5,TREES DOWN (GYX)
1930,UNK,ALTON,PENOBSCOT,ME,45.03,-68.73,MULTIPLE TREES DOWN IN ALTON. TIME ESTIMATED. (CAR)
1939,UNK,1 NW GUM SPRINGS,LEE,NC,35.48,-79.23,LEE COUNTY 911 RECEIVED REPORT OF TREES AND POWER LINES DOWN AT CARBONTON RD AND OLD CARBONTON RD. (RAH)
1940,UNK,1 N KENLY,WILSON,NC,35.61,-78.12,JOHNSTON CO 911 RECEIVED REPORT OF TREE DOWN AT 9338 ST MARYS CHURCH RD IN KENLY. (RAH)
1940,UNK,NORWALK,HURON,OH,41.24,-82.61,TWO 6 INCH DIAMETER TREE BRANCHES DOWN. (CLE)
1940,UNK,SHEFFIELD LAKE,LORAIN,OH,41.49,-82.1,ONE TREE DOWN ALONG WITH MANY BRANCHES/LIMBS. (CLE)
1948,65,AVON,LORAIN,OH,41.45,-82.02,ESTIMATED 60-70 MPH. (CLE)
1949,UNK,TEWKSBURY TWP,HUNTERDON,NJ,40.7,-74.79,TREES DOWN AT INTERSECTION OF ROUTE 512 AND PICKLE ROAD. (PHI)
1949,UNK,BALLSTON CENTER,SARATOGA,NY,42.96,-73.87,TREE DOWN ON GOODE STREET (ALY)
1950,UNK,4 W GREAT FALLS,CHESTER,SC,34.57,-80.97,TREE DOWN ON GOLF COURSE RD. TIME ESTIMATED FROM RADAR (GSP)
1952,65,WESTLAKE,CUYAHOGA,OH,41.45,-81.93,ESTIMATED 60-70 MPH. (CLE)
1952,58,CLEVELAND,CUYAHOGA,OH,41.48,-81.68,(CLE)
1955,UNK,5 ENE LINCOLN,PENOBSCOT,ME,45.38,-68.41,A FEW TREES DOWN ALONG RT 6 EAST OF LINCOLN. TIME ESTIMATED. (CAR)
1956,UNK,4 NNE SUNBURY,DELAWARE,OH,40.31,-82.85,A TREE WAS REPORTED DOWN ON STOCKWELL ROAD DUE TO THUNDERSTORM WINDS. (ILN)
1957,UNK,3 WSW SEVEN OAKS,LEXINGTON,SC,34.03,-81.18,SC HIGHWAY PATROL REPORTS POWER LINES DOWN ON MILL STREAM RD AT CORLEY MILL RD. (CAE)
2000,UNK,DARLINGTON,BEAVER,PA,40.81,-80.42,MULTIPLE TREES AND WIRES DOWN IN AND AROUND DARLINGTON (PBZ)
2000,UNK,CLEVELAND,CUYAHOGA,OH,41.48,-81.68,TREE DOWN ON A HOUSE ON WEST SIDE OF CLEVELAND. (CLE)
2000,UNK,5 SSW BRADFORD,PENOBSCOT,ME,45,-68.98,LARGE TREE DOWN ON MAIN ST. TREE TOOK DOWN THREE POWER POLES. (CAR)
2002,UNK,2 W MILTON,CHITTENDEN,VT,44.62,-73.17,TREE DOWN AT EXIT 16 IN MILTON (BTV)
2005,UNK,5 E NEW LACY,BACON,GA,31.55,-82.29,DIPATCH REPORTED MULTIPLE TREES DOWN ACROSS THE COUNTY. (JAX)
2005,UNK,RADNOR,DELAWARE,OH,40.38,-83.15,A TREE WAS BLOWN DOWN ONTO WIRES DUE TO THUNDERSTORM WINDS. (ILN)
2005,UNK,BERNARDSVILLE,SOMERSET,NJ,40.73,-74.59,TREES AND WIRES DOWN IN BERNARDSVILLE. (PHI)
2008,UNK,STILLWATER,SARATOGA,NY,42.95,-73.64,TREE DOWN ON WIRES (ALY)
2010,UNK,FREMONT,WAYNE,NC,35.54,-77.98,FOUR TREES BLOWN DOWN AROUND THE FREMONT AREA. TIME ESTIMATED. (RAH)
2015,UNK,SKOWHEGAN,SOMERSET,ME,44.77,-69.72,RIVER ROAD CLOSED DUE TO SEVERAL TREES DOWN. (GYX)
2020,UNK,CHESTERLAND,GEAUGA,OH,41.52,-81.34,A FEW LARGE LIMBS KNOCKED DOWN. (CLE)
2020,UNK,JEFFERSON,ASHTABULA,OH,41.74,-80.77,NUMEROUS TREES...POWERLINES AND LARGE LIMBS DOWN ACROSS THE COUNTY. (CLE)
2025,UNK,VALLEY CITY,MEDINA,OH,41.24,-81.93,PINE TREE SNAPPED ALONG WITH NUMEROUS LIMBS/BRANCHES DOWN. (CLE)
