Time,F-Scale,Location,County,State,Lat,Lon,Comments
1728,UNK,2 ENE GARDENDALE,ECTOR,TX,32.03,-102.34,*** 3 INJ *** TORNADO TOUCHED DOWN APPROXIMATELY 2 MILES ENE OF GARDENDALE AND TRANSLATED NE FOR APPROXIMATELY 1 MILE. MAXIMUM WIDTH APPROXIMATELY 50 YARDS. A BARN...A (MAF)
2325,UNK,2 S ELYSIAN,WASECA,MN,44.17,-93.68,EFO TORNADO BEGAN APPROXIMATELY 2 MILES SOUTH OF THE CITY OF ELYSIAN NEAR THE NORTHEASTERN SHORE OF LAKE ELYSIAN. IT PROCEEDED NORTH FOR SEVEN MILES MARCHING PAST THE W (MPX)
0106,UNK,2 SSW LYTLE,MEDINA,TX,29.21,-98.81,POWER FLASHES AND OVERTURNED SEMI TRAILER AT I-35 MILE MARKER 127. (EWX)
0120,UNK,3 NNW DEVINE,MEDINA,TX,29.19,-98.93,POWERLINES KNOCKED DOWN AT COUNTY ROAD 664 AND 5710 NEAR DEVINE. (EWX)
0130,UNK,2 ESE LACOSTE,BEXAR,TX,29.3,-98.78,POSSIBLE TORNADO DAMAGE OF 6 HOMES ON TED WILLIAMS AND OBRIEN ROAD...AND LADD ROAD. TWO NON-LIFE THREATENING INJURIES WERE REPORTED. (EWX)
0250,UNK,UNIONTOWN,CRAWFORD,AR,35.58,-94.44,PRELIMINARY EF-1 TORNADO DAMAGE FROM SW OF UNIONTOWN TO NE OF CEDARVILLE. TIME ESTIMATED. (TSA)
Time,Speed,Location,County,State,Lat,Lon,Comments
1643,UNK,5 E TULSA,TULSA,OK,36.13,-95.83,REPORT OF POWER POLES DAMAMAGED NEAR 45TH AND SOUTH 129TH EAST AVENUE IN TULSA (TSA)
1800,UNK,3 NW COLUMBUS,CHEROKEE,KS,37.2,-94.88,BARN BLOWN DOWN REPORTED BY EMERGENCY MANAGER (SGF)
1820,60,4 E TRENT,MOODY,SD,43.9,-96.59,OUTBUILDINGS TO FARMSTEAD WERE DAMAGED BY THUNDERSTORM WINDS. (FSD)
2015,UNK,CHILLICOTHE,LIVINGSTON,MO,39.79,-93.55,THUNDERSTORM WIND GUSTS WERE ESTIMATED UP TO 60 MPH. A FEW STRIPS OF SIDING WERE BLOWN OFF A HOUSE. A PRIVACY FENCE WAS PARTIALLY BLOWN DOWN. A SIX INCH DIAMETER TREE W (EAX)
2029,UNK,1 W LAREDO,GRUNDY,MO,40.03,-93.47,A SHED WAS BLOWN OVER AND SMALL TREES WERE REPORTED SNAPPED OFF. THUNDERSTORM WIND GUSTS WERE ESTIMATED UP TO 60 MPH. (EAX)
2210,UNK,8 SSW LONDON,KIMBLE,TX,30.57,-99.64,POWER POLES SNAPPED OFF AT THE BASE ALONG US 377. (SJT)
2219,UNK,5 WSW DES MOINES,POLK,IA,41.56,-93.7,POLES DOWN. SMALL TREE LIMBS DOWN. (DMX)
2242,UNK,1 E WINCHESTER,CITY OF WINCHESTE,VA,39.18,-78.15,ONE TREE DOWN AT JIM BARNETT PARK. (LWX)
2243,63,MASON CITY AIRPORT,CERRO GORDO,IA,43.16,-93.33,(DMX)
