Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1934,UNK,RIGBY,JEFFERSON,ID,43.67,-111.92,SHINGLES BLOWN OFF A ROOF IN RIGBY. REPORTED VIA TWITTER. (PIH)
1955,66,HAMER,JEFFERSON,ID,43.93,-112.2,GUST REPORTED VIA ARL MESONET SITE. (PIH)
2000,UNK,RIGBY,JEFFERSON,ID,43.67,-111.92,HANGING STOPLIGHT NEAR THE LIBRARY HAS BEEN PARTIALLY DAMAGED. REPORTED VIA TWITTER. (PIH)
2015,59,DUBOIS,CLARK,ID,44.17,-112.23,REPORTED VIA ARL MESONET SITE. (PIH)
2025,UNK,4 SSE RIGBY,BONNEVILLE,ID,43.62,-111.88,TRAILER HOUSE ON BONNEVILLE/JEFFERSON COUNTY LINE--145N BETWEEN 3900 AND 4000 EAST... HAS LOST ITS ROOF. 6 TO 8 INCH TREE LIMBS HAVE FALLEN. (PIH)
2033,UNK,ST. ANTHONY,FREMONT,ID,43.97,-111.68,REPORTS OF MULTIPLE DOWNED OR DAMAGED POWER POLES IN TOWN. (PIH)
2045,UNK,1 S ASHTON,FREMONT,ID,44.06,-111.45,REPORTS OF DOWNED AND DAMAGED POWER LINES SOUTH OF ASHTON. (PIH)
2058,58,3 ESE HOEHNE,LAS ANIMAS,CO,37.26,-104.34,(PUB)
2103,58,4 NNE MCALLISTER,MADISON,MT,45.5,-111.7,58 MPH WIND GUST REPORTED AT NORRIS HILL MT DOT SITE. (TFX)
2201,61,6 ENE LIVINGSTON,PARK,MT,45.7,-110.45,(BYZ)
2230,UNK,LITITZ,LANCASTER,PA,40.15,-76.31,TREES WIRES DOWN (CTP)
2315,UNK,8 SE READING,BERKS,PA,40.25,-75.82,TREES DOWNED ON WEST BOUND 422. TIME ESTIMATED FROM RADAR (PHI)
2318,UNK,1 SE MIDDLETOWN,FREDERICK,MD,39.43,-77.53,SIX INCH BRANCHES DOWN (LWX)
2320,72,15 NNW WILD HORSE,CHEYENNE,CO,39.02,-103.11,REPORT OF SUSTAINED WINDS 55-70 MPH WITH A PEAK GUST OF 72 MPH BETWEEN 515 PM AND 530 PM. LIKELY DOWNBURST FROM DYING SHOWERS. VISIBILITY WAS LESS THAN 100 YARDS DUE TO (GLD)
2324,60,4 NNE MCALLISTER,MADISON,MT,45.5,-111.7,(TFX)
2353,UNK,PHILADELPHIA,PHILADELPHIA,PA,39.95,-75.16,TREES DOWN IN WEST PHILADELPHIA (PHI)
0408,61,7 ENE TUCUMCARI,QUAY,NM,35.21,-103.61,KTCC ASOS. VISIBILITY DROPPED TO 1.75 SM IN BLOWING DUST AS THUNDERSTORM OUTFLOW CROSSED FROM THE SOUTHWEST. (ABQ)
0653,58,1 ESE CRAIG,MOFFAT,CO,40.51,-107.53,(GJT)
Time,Size,Location,County,State,Lat,Lon,Comments
2309,100,3 ESE READING,BERKS,PA,40.31,-75.88,(PHI)
