Time,F-Scale,Location,County,State,Lat,Lon,Comments
0048,UNK,SNOOK,BURLESON,TX,30.49,-96.47,POSSIBLE TORNADO ON THE GROUND IN SNOOK...POWER LINES DOWN. (HGX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1805,UNK,1 E MONTEREY,CONCORDIA,LA,31.45,-91.7,TREES DOWN ALONG HIGHWAY 129 NEAR MONTEREY (JAN)
1855,UNK,4 NNE NATCHEZ,ADAMS,MS,31.6,-91.36,TREES DOWN ALONG MARTIN LUTHER KING JR ROAD,CHURCH HILL RD,AND AIRPORT RD IN NORTHERN ADAMS COUNTY. (JAN)
2030,UNK,1 NW KINGSTON,ADAMS,MS,31.42,-91.29,TWO TREES DOWN ALONG KINGSTON ROAD (JAN)
0138,UNK,COLLEGE STATION,BRAZOS,TX,30.6,-96.31,POWER POLES DOWN ON ASHFORD ROAD AND FINFEATHER ROAD. (HGX)
0431,UNK,WALDRON,SCOTT,AR,34.9,-94.09,ESTIMATED 60-70 MPH WINDS CAUSED DAMAGE IN A 2-MILE SWATH ACROSS WALDRON. DOZENS OF TREES AND POWER LINES WERE BLOWN DOWN...AS WELL AS STREET LIGHTS. SEVERAL HOUSES HAD (LZK)
Time,Size,Location,County,State,Lat,Lon,Comments
1945,125,7 S WINDTHORST,ARCHER,TX,33.47,-98.44,(OUN)
2115,100,VASHTI,CLAY,TX,33.55,-98.05,(OUN)
2130,100,MEADVILLE,FRANKLIN,MS,31.47,-90.89,SLIGHTLY LARGER THAN QUARTER SIZE HAIL FELL IN MEADVILLE (JAN)
2154,100,WAURIKA,JEFFERSON,OK,34.17,-98,(OUN)
2255,100,3 W ST. JO,MONTAGUE,TX,33.7,-97.58,QUARTER-SIZED HAIL 3 W OF ST. JO (FWD)
2300,100,SUNSET,MONTAGUE,TX,33.45,-97.77,IN SUNSET (FWD)
2302,100,ALVORD,WISE,TX,33.37,-97.68,5 NW ALVORD (FWD)
2310,175,SEMINOLE,SEMINOLE,OK,35.23,-96.67,(OUN)
2352,100,THACKERVILLE,LOVE,OK,33.79,-97.14,HWY 77 IN TOWN (OUN)
0006,175,ALVORD,WISE,TX,33.37,-97.68,GOLFBALL HAIL REPORTED IN ALVORD... ADDITIONAL REPORT OF GROUND COVERED WITH QUARTER TO PING-PONG SIZED HAIL (FWD)
0025,100,WILLIS,MARSHALL,OK,33.89,-96.83,(OUN)
0039,100,4 N POTTSBORO,GRAYSON,TX,33.81,-96.67,(FWD)
0042,125,1 W SLIDELL,WISE,TX,33.37,-97.42,(FWD)
0045,150,5 W BOLIVAR,DENTON,TX,33.37,-97.36,HAIL COVERED FM 455 1 MILE EAST OF SLIDELL (FWD)
0104,200,6 N SHERMAN,GRAYSON,TX,33.72,-96.57,1 NE KGYI (FWD)
0111,100,3 W KRUM,DENTON,TX,33.27,-97.3,(FWD)
0120,100,COLLEGE STATION,BRAZOS,TX,30.6,-96.31,QUARTER SIZED HAIL IN COLLEGE STATION AT MARION PUGH AND GEORGE BUSH DRIVE...OTHER PEA SIZED HAIL REPORTS AT BAZELL STREET AND LINCOLN AVENUE. (HGX)
0120,100,3 E DENISON,GRAYSON,TX,33.75,-96.5,QUARTERS COVERING GROUND (FWD)
0138,200,COLLEGE STATION,BRAZOS,TX,30.6,-96.31,2.25 INCH HAIL JUST NORTH OF THE A AND M CAMPUS (HGX)
0156,100,4 N SAVOY,FANNIN,TX,33.66,-96.36,NICKELS TO QUARTERS (FWD)
0219,100,RAVENNA,FANNIN,TX,33.68,-96.23,IN RAVENNA AT CEMETARY (FWD)
0236,100,2 ESE RAVENNA,FANNIN,TX,33.67,-96.2,LAKE BONHAM (FWD)
0430,100,1 W BALCONES HEIGHTS,BEXAR,TX,29.49,-98.57,QUARTER SIZE NEAR BABCOCK AND 410. (EWX)
0445,100,CASTLE HILLS,BEXAR,TX,29.52,-98.52,QUARTER SIZE HAIL AND 1 INCH OF RAINFALL IN 30 MINUTES. (EWX)
0515,100,KIRBY,BEXAR,TX,29.46,-98.39,(EWX)
0515,125,3 SSW SHAVANO PARK,BEXAR,TX,29.54,-98.57,1 AND QUARTER SIZE HAIL. (EWX)
