Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
2100,UNK,2 SW PINE VALLEY,SAN DIEGO,CA,32.83,-116.53,COUNTY REPORTED TREE DOWN BLOCKING ROADWAY (SGX)
2110,UNK,NAHUNTA,BRANTLEY,GA,31.21,-81.98,TREE DOWN BLOCKING THE ROAD ACROSS HIGHWAY 301. TIME OF EVENT BASED ON RADAR. (JAX)
2110,59,14 NNW JULIAN,SAN DIEGO,CA,33.25,-116.7,MESONET STATION WARNERS /WARSD/ (SGX)
2120,UNK,JULIAN,SAN DIEGO,CA,33.07,-116.59,SAN DIEGO COUNTY REPORTS TREES DOWN ON VALLEY VIEW AND DEER CREEK TRAIL ROADS (SGX)
2158,70,9 NW TUMALO,DESCHUTES,OR,44.23,-121.46,SIX MILES SE OF THE TOWN OF SISTERS. QUARTER SIZE HAIL ALSO. WIND GUSTS BETWEEN 60 TO 70 MPH. (PDT)
2213,UNK,6 SW GREAT FALLS,CASCADE,MT,47.44,-111.38,TREE DAMAGE FROM THUNDERSTORM OUTFLOW BOUNDARY WINDS....TREE WAS SNAPPED IN HALF AND WAS ESTIMATED TO BE 8 TO 10 INCHES IN DIAMETER (TFX)
2213,62,5 WSW GREAT FALLS,CASCADE,MT,47.47,-111.38,62 MPH CONVECTIVE WIND GUST AT THE GREAT FALLS AIRPORT. (TFX)
2230,58,4 SSW HORSESHOE BEND,BOISE,ID,43.86,-116.23,CWOP E2058 STATION (BOI)
2230,60,PRAIRIE CITY,GRANT,OR,44.46,-118.71,(PDT)
2245,UNK,9 WNW CULVER,JEFFERSON,OR,44.59,-121.37,CHIMNEY BLOWN OFF HOUSE. (PDT)
2255,60,4 NNW FLOWEREE,CHOUTEAU,MT,47.78,-111.08,ESTIMATED 60 MPH WIND GUST. (TFX)
2300,UNK,WARM SPRINGS,JEFFERSON,OR,44.77,-121.29,4 TWO FOOT DIAMETER TREES UPROOTED. IRRIGATION PIVOTS OVERTURNED. (PDT)
2345,UNK,4 S PENDLETON,UMATILLA,OR,45.62,-118.82,LARGE TREE DOWN (PDT)
2350,63,15 NW MONTEVIEW,CLARK,ID,44.08,-112.74,BLUE DOME (PIH)
2351,69,6 SE NORTH FORK,LEMHI,ID,45.36,-113.9,KRILEY CREEK RAWS AT 5200FT (MSO)
0000,60,PRAIRIE CITY,GRANT,OR,44.46,-118.71,1/2 INCH HAIL (PDT)
0000,60,4 SSW COLLEGE PLACE,UMATILLA,OR,46,-118.41,0.70 INCH RAIN (PDT)
0012,UNK,INDIAN ROCKS BEACH,PINELLAS,FL,27.9,-82.84,A COUPLE OF HOMES RECEIVED MINOR DAMAGE TO A ROOF...PORCH...LANAI AND A FENCE. WINDS ESTIMATED AT 40 TO 50 MPH. TIMING ESTIMATED OFF OF RADAR. (TBW)
0017,58,17 NNW MONTEVIEW,CLARK,ID,44.17,-112.61,(PIH)
0020,UNK,2 SE MILTON-FREEWATER,UMATILLA,OR,45.92,-118.37,MANY COTTONWOOD TREES ON NEIGHBORS PROPERTY DAMAGED WITH TOPS BROKEN OFF IN HIGH WINDS. (PDT)
0029,61,WALLA WALLA,WALLA WALLA,WA,46.07,-118.34,61 MPH WIND AT WALLA WALLA ASOS. (PDT)
0030,65,1 S UMAPINE,UMATILLA,OR,45.96,-118.5,50 FOOT SPRUCE TREE DOWN. LARGE MAPLE TREE BROKE IN HALF. FLOODING IN DRIVEWAY FROM HEAVY RAIN. (PDT)
0035,UNK,4 NW COLLEGE PLACE,WALLA WALLA,WA,46.09,-118.43,PUBLIC REPORTED A TRAMPOLINE HURLED 300 FEET,12 TREES DOWN OR SNAPPED,AND POWER POLE DAMAGE. (PDT)
0036,69,3 SW SALMON,LEMHI,ID,45.15,-113.95,(MSO)
0050,66,3 WNW WHITEHALL,JEFFERSON,MT,45.88,-112.15,66 MPH WIND GUST (TFX)
0051,88,6 SE NORTH FORK,LEMHI,ID,45.36,-113.89,TREES DOWN AND POWER OUTAGE IN SALMON,ID. (MSO)
0053,69,1 WNW INGOMAR,ROSEBUD,MT,46.58,-107.4,INGOMAR DOT (BYZ)
0057,60,3 NW RUDYARD,HILL,MT,48.58,-110.6,60 MPH WIND GUST. (TFX)
0057,60,20 N RUDYARD,HILL,MT,48.85,-110.6,60 MPH WIND GUST. (TFX)
0100,UNK,WHITEHALL,JEFFERSON,MT,45.87,-112.1,VEHICLE ROLLOVER ON I-90....MOBILE HOME DAMAGE...NUMEROUS REPORTS OF ROOF DAMAGE AND POWERLINES DOWN IN THE WHITEHALL AREA (TFX)
0100,UNK,RICHLAND,BENTON,WA,46.29,-119.29,FEW POWER LINES DOWN AND LIMBS ON POWERLINES. POWER OUT UNTIL FRIDAY MORNING FOR SOME CUSTOMERS IN THE COUNTY. (PDT)
0110,UNK,DAYTON,COLUMBIA,WA,46.32,-117.98,TREES AND POWERLINES DOWN. (PDT)
0115,60,8 NW KREMLIN,HILL,MT,48.65,-110.21,ESTIMATED WIND GUSTS OF 60 MPH. (TFX)
0117,UNK,7 NNW CARTERSVILLE,ROSEBUD,MT,46.39,-106.52,PORTION OF BARN ROOF BLOWN OFF. CATTLE TRAILER TIPPED OVER. (BYZ)
0130,79,14 N CARDWELL,JEFFERSON,MT,46.07,-111.9,79 MPH WIND GUST...WITH A PIVOT TIPPED OVER. (TFX)
0144,UNK,8 WNW CONNELL,FRANKLIN,WA,46.71,-119.02,AT SCOOTENEY PARK SEVERAL 3 TO 4 INCH DIAMETER TREE BRANCHES DOWN FROM THUNDERSTORM WINDS. (PDT)
0200,UNK,9 SE CLIFFDELL,YAKIMA,WA,46.85,-120.93,TREES DOWN. (PDT)
0435,UNK,1 NNW BRIDGEPORT,DOUGLAS,WA,48.01,-119.68,DOWNED TREE BLOCKED ROAD. TIME ESTIMATED BASED ON RADAR. (OTX)
0450,UNK,3 S ENTIAT,DOUGLAS,WA,47.63,-120.22,*** 2 INJ *** TREE FELL ON MOBILE HOME BRIEFLY TRAPPING OCCUPANTS. NEWSPAPER REPORTED THAT THE BEDROOM DOOR WAS DAMAGED SO OCCUPANTS HAD TO CRAW THROUGH OPENING TO HALL (OTX)
Time,Size,Location,County,State,Lat,Lon,Comments
2019,275,SW MYSTIC,PENNINGTON,SD,44.07,-103.65,(UNR)
2026,175,JORDAN VALLEY,MALHEUR,OR,42.98,-117.05,ESTIMATED GOLF BALL SIZE HAIL FROM PHOTO. (BOI)
2106,100,16 WNW THREE RIVERS,DESCHUTES,OR,43.91,-121.77,(PDT)
2120,100,10 WSW BEND,DESCHUTES,OR,44.01,-121.5,(PDT)
2140,175,BEND,DESCHUTES,OR,44.07,-121.31,NEAR INTERSECTION OF HIGHWAY 97 AND EMPIRE AVENUE. (PDT)
2141,100,1 S HORSESHOE BEND,BOISE,ID,43.9,-116.19,SPOTTER REPORTS THUNDERSTORM WITH 1 INCH HAIL AND WIND GUSTS TO 60 MPH. (BOI)
2145,150,MERIDIAN,ADA,ID,43.61,-116.4,HAIL GREATER THAN 1 INCH. HALF SIZE OF SMALL YOYO. (BOI)
