Time,F_Scale,Location,County,State,Lat,Lon,Comments
1934,UNK,2 SW ESTRELLA MOUNTAIN,MARICOPA,AZ,33.31,-112.46,AMENDED EVENT. LANDSPOUT REPORTED BY SPOTTERS AND EMERGENCY RESPONDERS. (PSR)
Time,Speed,Location,County,State,Lat,Lon,Comments
1940,UNK,4 ENE DAVIS-MONTHAN AIR,PIMA,AZ,32.21,-110.81,TREES BLOWN OVER AT KENYON AND SARNOFF (TWC)
2240,60,COOLIDGE AIRPORT,PINAL,AZ,32.94,-111.42,COOLIDGE ASOS REPORTS 52 KT GUST (PSR)
Time,Size,Location,County,State,Lat,Lon,Comments
1940,100,5 WNW CATALINA FOOTHILL,PIMA,AZ,32.34,-110.96,(TWC)
1943,100,5 NW SAGUARO NATIONAL P,PIMA,AZ,32.23,-110.78,(TWC)
2135,175,SOCORRO,EL PASO,TX,31.64,-106.27,(EPZ)
2200,175,11 NNW RAMAH,ELBERT,CO,39.27,-104.24,(BOU)
2210,175,6 W RANDOLPH,PINAL,AZ,32.91,-111.62,GOLF BALL SIZE HAIL REPORTED EAST OF CASA GRANDE (PSR)
