Time,F-Scale,Location,County,State,Lat,Lon,Comments
1219,UNK,4 W CLANTON,CHILTON,AL,32.83,-86.7,WKLF RADIO STUDIO DESTROYED...AND 302 FOOT TRANSMISSION TOWER WAS TOPPLED AT THE INTERSECTION OF ALABAMA HIGHWAY 22 AND COUNTY ROAD 37. (BMX)
1236,UNK,ENTERPRISE,CHILTON,AL,32.74,-86.62,AN EF1 TORNADO TOUCHED DOWN NEAR A MOBILE HOME PARK NEAR CR 99 AND HWY 24. SEVERAL MOBILE HOMES HAD MINOR ROOF AND UNDERPINNING DAMAGE AND ONE MOBILE HOME WAS DESTROYED (BMX)
1312,UNK,4 W CLANTON,CHILTON,AL,32.83,-86.7,WKLF RADIO STUDIO DESTROYED...AND 302 FOOT TRANSMISSION TOWER WAS TOPPLED AT THE INTERSECTION OF ALABAMA HIGHWAY 22 AND COUNTY ROAD 37. (BMX)
1348,UNK,4 NW MILLBROOK,ELMORE,AL,32.52,-86.41,NUMEROUS TREES AND POWER LINES WERE BLOWN DOWN ALONG THE PATH. SEVERAL FENCES WERE DOWN AND METAL BUILDINGS WERE RIPPED APART. 10 TO 15 HOMES SUFFERED SHINGLE AND SIDIN (BMX)
1630,UNK,3 WNW GREENVILLE,BUTLER,AL,31.85,-86.67,*** 1 INJ *** DAMAGE TO METAL BUILDING WITH ONE INJURED NEARBY. (MOB)
Time,Speed,Location,County,State,Lat,Lon,Comments
1341,UNK,WIND CREEK STATE PARK,TALLAPOOSA,AL,32.86,-85.94,SEVERAL TREES BLOWN DOWN ALONG HIGHWAY 63 SOUTH NEAR WIND CREEK STATE PARK. (BMX)
1344,UNK,ROCK MILLS,RANDOLPH,AL,33.15,-85.28,A TREE WAS BLOWN DOWN NEAR ROCK MILLS ON HIGHWAY 75. A POWER LINE WAS ALSO KNOCKED DOWN IN ROCK MILLS. (BMX)
1350,UNK,1 NE PARKSVILLE,BOYLE,KY,37.61,-84.89,A FEW TREES DOWN ON CROSS PIKE NEAR PARKSVILLE. (LMK)
1401,UNK,4 NNW MILLBROOK,ELMORE,AL,32.53,-86.39,MULTIPLE TREES AND POWER LINES DOWN...AS WELL AS FENCES DOWN AND METAL BUILDINGS RIPPED APART. (BMX)
1434,UNK,1 W MANACK,LOWNDES,AL,32.33,-86.53,SEVERAL TREES WERE BLOWN DOWN ON PRIVATE PROPERTY ACROSS THE NORTHERN PORTION OF THE COUNTY. (BMX)
2122,UNK,CADIZ,HARRISON,OH,40.27,-80.99,1 TREE DOWN (PBZ)
Time,Size,Location,County,State,Lat,Lon,Comments
