Time,F-Scale,Location,County,State,Lat,Lon,Comments
2230,UNK,4 WSW TRANQUILITY,FRESNO,CA,36.63,-120.32,NO DAMAGE WAS REPORTED. TIME IS APPROXIMATE. (HNX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1915,UNK,8 ENE ASHLAND CITY,CHEATHAM,TN,36.33,-86.93,LARGE TREE REPORTEDLY BLOWN DOWN BETWEEN PLESANT VIEW AND JOELTON (OHX)
2011,63,GALLATIN,SUMNER,TN,36.38,-86.45,TRAINED SPOTTER REPORTED A MEASURED WIND GUST OF 63 MPH IN GALLATIN TN. (OHX)
2050,UNK,2 S NORTH,ORANGEBURG,SC,33.59,-81.1,TREES REPORTED DOWN NEAR NORTH. (CAE)
0247,59,INDIANAPOLIS INT'L AIRP,MARION,IN,39.72,-86.29,(IND)
Time,Size,Location,County,State,Lat,Lon,Comments
1210,100,BELVIDERE,BOONE,IL,42.25,-88.85,(LOT)
1235,100,3 E BELVIDERE,BOONE,IL,42.25,-88.79,HAIL RANGED FROM HALF INCH TO ONE INCH (LOT)
1445,100,1 S WOODSTOCK,MCHENRY,IL,42.3,-88.44,(LOT)
1507,100,UNION,MCHENRY,IL,42.23,-88.54,HEMMINGSEN ROAD AND OLSON ROAD. (LOT)
1604,100,3 W BRAZITO,COLE,MO,38.45,-92.34,(LSX)
1900,100,ST. LOUIS,ST. LOUIS CITY,MO,38.64,-90.24,(LSX)
1915,125,8 ENE ASHLAND CITY,CHEATHAM,TN,36.33,-86.93,REPORTED BETWEEN PLEASANT VIEW AND JOELTON (OHX)
2010,100,4 E OSAGE BEACH,MILLER,MO,38.15,-92.54,(SGF)
2032,100,NEW HARMONY,POSEY,IN,38.13,-87.93,PUBLIC REPORT RELAYED BY CHANNEL 14 NEWS IN EVANSVILLE INDIANA. (PAH)
2103,100,STEWARTSVILLE,POSEY,IN,38.18,-87.83,SPOTTER REPORT RELAYED TO WEHT-TV IN EVANSVILLE INDIANA. (PAH)
2115,100,2 WNW BARNWELL,BARNWELL,SC,33.25,-81.4,SWEETWATER GOLF COURSE RECEIVED REPORT OF QUARTER SIZED HAIL AT 515 PM ABOUT 2 MILES NORTHEAST OF THE GOLF COURSE AND ABOUT 2 MILES WEST-NORTHWEST OF THE TOWN OF BARNWE (CAE)
2200,100,BRANDENBURG,MEADE,KY,38,-86.18,(LMK)
2210,100,8 NW ROLLA,PHELPS,MO,38.05,-91.87,MIXED HAIL SIZES RANGING FROM DIMES TO THE SIZE OF QUARTERS. (SGF)
2216,125,2 N IBERIA,MILLER,MO,38.12,-92.3,(SGF)
2250,100,4 WNW BOWMORE,HOKE,NC,34.97,-79.37,MOSTLY NICKEL SIZED HAIL... WITH SOME QUARTER SIZED... ONE TREE DOWN (RAH)
0020,175,10 N ROLLA,MARIES,MO,38.1,-91.77,(SGF)
0042,100,ROLLA,PHELPS,MO,37.95,-91.77,(SGF)
0110,100,COLUMBUS,BARTHOLOMEW,IN,39.21,-85.91,HAIL ON CENTRAL AVENUE (IND)
0543,150,1 S MACOMB,MCDONOUGH,IL,40.45,-90.68,(DVN)
0630,125,1 W GREENBUSH,WARREN,IL,40.72,-90.55,REPORT OF QUARTER TO HALF DOLLAR SIZE HAIL. REPORT RELAYED FROM NWS LINCOLN OFFICE. (DVN)
