Time,F-Scale,Location,County,State,Lat,Lon,Comments
0151,UNK,6 ENE CHAPPELL,DEUEL,NE,41.13,-102.36,THIS IS A SUSPECTED GUSTNADO ALONG THE GUST FRONT. (LBF)
Time,Speed,Location,County,State,Lat,Lon,Comments
1430,60,SHEFFIELD LAKE,LORAIN,OH,41.49,-82.1,WIND REPORT OCCURRED AT STATE ROUTE 6 AND LAKE BREEZE ROAD. (CLE)
1435,UNK,BAY VILLAGE,CUYAHOGA,OH,41.49,-81.93,A TREE AND A LARGE LIMB DOWN. (CLE)
1515,UNK,3 NE OBERLIN,LORAIN,OH,41.32,-82.18,TREE DOWN INDIAN HOLLOW AND MURDON ROADS IN CARLISLE TOWNSHIP...IT BLOCKED THE ROAD. OTHER LARGE LIMBS DOWN IN THE AREA. (CLE)
1533,UNK,4 W MEDINA,MEDINA,OH,41.14,-81.94,TREE DOWN IN YORK TOWNSHIP. (CLE)
1605,UNK,4 E CRESTON,WAYNE,OH,40.98,-81.82,SOME TREES DOWN IN STERLING. (CLE)
1605,UNK,1 E MERRILL,SAGINAW,MI,43.41,-84.31,NUMEROUS TREES AND BRANCHES DOWN AT M-46 AND CHAPIN RD. (DTX)
1610,UNK,WADSWORTH,MEDINA,OH,41.02,-81.73,TREE DOWN IN WADSWORTH TOWNSHIP. (CLE)
1655,UNK,4 SSE GLENDALE SPRINGS,WILKES,NC,36.3,-81.34,TREES DOWN ALONG ROUTE 16 (RNK)
1724,UNK,2 NE DOVER,TUSCARAWAS,OH,40.54,-81.45,TREE REPORTED DOWN ON POWER LINE (PBZ)
1800,UNK,6 NNW LAKE LURE,BUNCOMBE,NC,35.52,-82.25,MULTIPLE TREES BLOWN IN HALF. HAIL OF UNKNOWN SIZE. (GSP)
1805,UNK,8 S KEYSVILLE,BURKE,GA,33.13,-82.25,PUBLIC REPORTS NICKEL SIZE HAIL AND POWER OUTAGES FROM LINES DOWN ALONG WILLIAM TINLEY ROAD SOUTHWEST OF ST. CLAIR. (CAE)
1810,UNK,5 NW BASSETT,FRANKLIN,VA,36.81,-80.04,ONE TREE DOWN ALONG SALT HOUSE BRANCH ROAD NEAR THE LAKE (RNK)
1815,UNK,3 SE GROVE HILL,CLARKE,AL,31.68,-87.74,TREES AND POWER LINES DOWN ALONG ALLEN WALKER ROAD. TREES AND POWER LINES DOWN AT 500 ARCHIE SCHULTZ ROAD AS WELL A SMALL OUTBUILDING WAS DESTROYED. (MOB)
1828,UNK,SE MOUNT AIRY,SURRY,NC,36.5,-80.61,ONE TREE DOWN NEAR WILLOW STREET AND PINE STREET (RNK)
1830,UNK,2 E MOUNTAIN REST,OCONEE,SC,34.87,-83.12,TREES DOWN NEAR OCONEE STATE PARK. (GSP)
1835,UNK,GRANTSVILLE,CALHOUN,WV,38.92,-81.09,A TREE DOWN ON POWER LINES. ELECTRICAL POWER LOST TO A FEW HOMES. (RLX)
1835,UNK,GLENVILLE,GILMER,WV,38.94,-80.83,TREES DOWN ACROSS THE ROAD NEAR RTE 33 AND ELLIS FORK RD. (RLX)
1840,UNK,2 N BULADEAN,MITCHELL,NC,36.13,-82.19,AT LEAST A FEW TREES AND LARGE LIMBS DOWN. (GSP)
1845,UNK,2 SE RIVERSIDE,WASHINGTON,FL,30.46,-85.64,TREE LIMBS AND SOME SMALL PINE TREES DOWN IN THE ROLLING PINES COMMUNITY NEAR THE SUNNY HILLS GOLF COURSE ALONG HIGHWAY 77. (TAE)
1845,UNK,DOTHAN,HOUSTON,AL,31.22,-85.39,DOWNED TREE CAUSED DAMAGE TO BUILDING AND TWO AMBULANCES. (TAE)
1845,UNK,5 E ARARAT,PATRICK,VA,36.59,-80.42,TREES DOWN IN CLAUDVILLE (RNK)
1853,58,6 NE COLUMBUS,MUSCOGEE,GA,32.53,-84.93,KCSG ASOS REPORTED 58MPH GUST...PK WND 33050/1853. (FFC)
1853,UNK,5 N COLUMBUS,MUSCOGEE,GA,32.54,-84.99,911 CENTER REPORTED 3 TO 4 TREES AND ONE TRAFFIC LIGHT DOWN ON NORTH SIDE OF COLUMBUS. (FFC)
1853,UNK,5 ESE LAKE LURE,RUTHERFORD,NC,35.42,-82.13,RIVER CREEK CAMPGROUND HAD A HIGH WIND GUST THAT BROUGHT DOWN SEVERAL LARGE LIMBS...SPLIT A TREE AND BLEW TENTS FROM THEIR ANCHORED POSITION OUT INTO THE RIVER. (GSP)
1855,UNK,2 NNW VERNON,WASHINGTON,FL,30.65,-85.73,TREE DOWN ON TOP OF POWERLINES CAUSING A FIRE. (TAE)
1855,UNK,7 ENE SYLVANIA,SCREVEN,GA,32.8,-81.54,THE PUBLIC REPORTED A TREE DOWN. (CHS)
1905,UNK,JACKSON,CLARKE,AL,31.51,-87.89,TREES AND POWERLINES DOWN IN JACKSON,ALABAMA AT THE 100 BLOCK OF DOGWOOD AND 124 BLOCK OF HAYESWOOD. (MOB)
1905,UNK,5 N MORGANTON,BURKE,NC,35.81,-81.7,TREE DOWN NEAR CHESTERFIELD COMMUNITY AND ANOTHER DOWN ON FOREST SERVICE LAND IN NORTHERN PART OF COUNTY. (GSP)
1905,UNK,NNE GOSHEN,ROCKBRIDGE,VA,37.99,-79.5,TREES DOWN ON MAURY RIVER ROAD (RNK)
1905,UNK,SPENCER,ROANE,WV,38.8,-81.36,TRAILER BLOWN OFF FOUNDATION,MULTIPLE TREES DOWN,PEA SIZE HAIL (RLX)
1911,UNK,2 NW COTTONWOOD,HOUSTON,AL,31.07,-85.33,STRONG STRAIGHT LINE WINDS DOWNING LARGE LIMBS AND POWERLINES. (TAE)
1912,UNK,LOUISVILLE,JEFFERSON,GA,33,-82.41,JEFFERSON COUNTY 911 RELAYED A REPORT OF THREE TREES DOWN COUNTYWIDE. TIME IS ESTIMATED FROM RADAR. (FFC)
1912,UNK,STEUBENVILLE,JEFFERSON,OH,40.37,-80.65,TREES DOWN ON ROUTE 7 (PBZ)
1917,UNK,S LONDON,LAUREL,KY,37.13,-84.08,SEVERAL TREES AND LARGE LIMBS DOWNED IN YARDS ALONG ROUTE 229 SOUTH OF LONDON. (JKL)
1923,UNK,3 NW APPLETON,ALLENDALE,SC,33.07,-81.41,A DEPUTY REPORTED ONE TREE DOWN ALONG HIGHWAY 125. (CHS)
1924,UNK,3 ESE FORT GORDON,RICHMOND,GA,33.41,-82.09,WRDW REPORTED TREES AND POWERLINES DOWN AT THE INTERSECTION OF MORGAN ROAD AND GREEN FOREST DRIVE. (CAE)
1930,UNK,4 N VALDESE,CALDWELL,NC,35.8,-81.56,SEVERAL TREES DOWN IN SOUTHERN CALDWELL COUNTY WEST OF SAWMILLS AND GRANITE FALLS...IN VICINITY OF BATON SCHOOL ROAD. (GSP)
1932,UNK,3 WNW SANVILLE,PATRICK,VA,36.73,-80.11,TREE DOWN ON EGG FARM ROAD (RNK)
1933,UNK,MARVYN,LEE,AL,32.44,-85.36,TREES DOWN BETWEEN BEAUREGARD AND MARVYN NEAR STATE ROAD 51. (BMX)
1934,UNK,2 NW BRIGHTON,LIVINGSTON,MI,42.55,-83.81,SEVERAL LIMBS DOWN ALONG I96 NORTHWEST OF BRIGHTON. ESTIMATED 3-4 INCHES IN DIAMETER. (DTX)
1935,UNK,3 E BRONSON,LEVY,FL,29.45,-82.59,SEVERAL TREES SNAPPED. ONE POWER POLE SNAPPED. A COUPLE OF SHEDS OVERTURNED. (TBW)
1936,UNK,2 SE BEULAH,LEE,AL,32.69,-85.16,A DOZEN TREES REPORTED SNAPPED AND POWER LINES DOWN ON LAKE HARDING OFF LEE ROAD 379. (BMX)
1939,UNK,3 W GREENWOOD,JACKSON,FL,30.87,-85.21,TREE DOWN NEAR OLD US RD. AND HWY 162. (TAE)
1949,68,MARIANNA MUNICIPAL A/P,JACKSON,FL,30.83,-85.18,THE ASOS RECORDED A PEAK WIND GUST OF 68 MPH FROM 350 DEGREES AT 249 PM CDT WITH A FASTEST TWO MINUTE AVERAGE WIND OF 54 MPH AT THE SAME TIME. (TAE)
1949,UNK,KITE,JOHNSON,GA,32.69,-82.51,JOHNSON COUNTY 911 REPORTED AT LEAST TEN TREES DOWN COUNTYWIDE FROM THE STORMS. (FFC)
1951,UNK,4 SE CLEARWATER,AIKEN,SC,33.46,-81.87,HIGHWAY PATROL REPORTED TREES DOWN ALONG LANIER ROAD. (CAE)
1951,UNK,5 SSW MILFORD,OAKLAND,MI,42.52,-83.62,3 INCH DIAMETER BRANCHES DOWN AT PONTIAC TRAIL AND MILFORD RD (DTX)
1958,UNK,3 NE MARIANNA,JACKSON,FL,30.81,-85.2,POWER POLES DOWN ON CAVERNS RD. NEAR MARIANNA HIGH SCHOOL. (TAE)
2000,UNK,HAMILTON,HARRIS,GA,32.76,-84.88,911 CALL CENTER RELAYED A REPORT OF A COUPLE TREES DOWN BEHIND THE CALL CENTER IN HAMILTON ALONG WITH SOME MORE TREES REPORTED DOWN ACROSS THE REST OF THE COUNTY. (FFC)
2000,UNK,4 N GIRARD,BURKE,GA,33.1,-81.71,SHERIFF DISPACH REPORTED TREES DOWN ALONG RIVER ROAD. (CAE)
2000,UNK,2 ENE DANVILLE CITY,CITY OF DANVILLE,VA,36.6,-79.39,POWER LINES DOWN ON CHURCH STREET...THIRD AVENUE...AND HUNTING HILLS ROAD (RNK)
2005,UNK,1 E EXCEL,MONROE,AL,31.43,-87.32,MULTIPLE TREES DOWN AND DOWNED POWERLINES ALONG HWY 136 EAST OF EXCEL. (MOB)
2007,UNK,2 ESE STOCKBRIDGE,INGHAM,MI,42.44,-84.15,4 FOOT DIAMETER TREE DOWN. (GRR)
2010,UNK,3 SSE BETHANY,ROCKINGHAM,NC,36.27,-79.83,TREE DOWN ON WINGED ELM WAY (RNK)
2010,UNK,3 W NATURAL BRIDGE,ROCKBRIDGE,VA,37.62,-79.61,SEVERAL TREES DOWN AT 6620 PLANK ROAD (RNK)
2010,UNK,6 WNW BUENA VISTA CITY,CITY OF LEXINGTON,VA,37.77,-79.46,SEVERAL TREES DOWN (RNK)
2014,UNK,2 ENE GUYTON,EFFINGHAM,GA,32.34,-81.37,THE GEORGIA FORESTRY COMMISSION REPORTED A FEW LARGE LIMBS DOWN. LIMBS WERE GREATER THAN 6 INCHES IN DIAMETER. (CHS)
2015,UNK,2 ESE BELVEDERE,AIKEN,SC,33.52,-81.91,FIRE DEPARTMENT REPORTED TREES AND POWER LINES DOWN ALONG BELVEDERE CLEARWATER ROAD FROM DUNCAN ROAD TO BELVEDERE. (CAE)
2015,UNK,5 SW HUDDLESTON,BEDFORD,VA,37.11,-79.55,TREE DOWN ACROSS 2700 FAIRVIEW CHURCH ROAD. (RNK)
2019,UNK,11 NW MILLETT,BARNWELL,SC,33.2,-81.66,LAW ENFORCEMENT AT THE SAVANNAH RIVER SITE REPORTED TREES DOWN. (CAE)
2024,UNK,VINTON,GALLIA,OH,38.98,-82.34,MULTIPLE TREES DOWN IN THE VILLAGE OF VINTON. (RLX)
2025,UNK,5 NE CLARKESVILLE,HABERSHAM,GA,34.67,-83.46,A FEW TREES DOWN AT TURNERVILLE. (GSP)
2030,UNK,OCALA,MARION,FL,29.19,-82.13,MARION COUNTY 911 DISPATCH REPORTS MULTIPLE TREES DOWNED AND PEA SIZED HAIL IN THE VICINITY OF OCALA. TIME OF DAMAGE BASED ON RADAR IMAGERY (JAX)
2030,UNK,5 W TURBEVILLE,HALIFAX,VA,36.63,-79.13,2 TREES DOWN ALONG WOODING ROAD/STATE RT 689 (RNK)
2031,UNK,9 ESE WAYNESBORO,BURKE,GA,33.02,-81.88,SHERIFF DISPACH REPORTED TREES DOWN ALONG MUNNERLYN ALEXANDER ROAD. (CAE)
