Time,F-Scale,Location,County,State,Lat,Lon,Comments
1807,UNK,5 N WAGENER,AIKEN,SC,33.72,-81.35,NWS STORM SURVEY HAS CONFIRMED A TORNADO TOUCHED DOWN NEAER THE LEXINGTON/AIKEN COUNTY LINE NEAR THE INTERSECTION OF SAND DAM AND CLINE TAYLOR ROADS JUST SOUTH OF THE L (CAE)
1815,UNK,NORTH,ORANGEBURG,SC,33.62,-81.1,BROADCAST MEDIA REPORTED A TORNADO TOUCHED DOWN NEAR THE TOWN OF NORTH. (CAE)
1845,UNK,4 ESE OMEGA,COLQUITT,GA,31.31,-83.54,SUSPECTED TORNADO BASED ON MEDIA REPORTS EAST SOUTHEAST OF OMEGA IN COLQUITT COUNTY. SUSPECTED TORNADO PATH IS ESIMATED TO HAVE CONTINUED EASTWARD ALONG THE TIFT-COOK C (TAE)
1851,UNK,6 WSW PINEWOOD,SUMTER,SC,33.71,-80.56,EMERGENCY MANAGER AND SHERIFF REPORTED A TORNADO HAD INTERMITTENT TOUCHDOWNS FROM SPARKLEBERRY LANDING RD TO WEST AVE. ON THE SOUTHWEST SIDE OF PINEWOOD TAKING DOWN SOM (CAE)
2206,UNK,1 S ISLANDTON,COLLETON,SC,32.9,-80.94,POSSIBLE TORNADO. 3 HOUSES DAMAGED. 1 DESTROYED. NO INJURIES. 582 JAMISON ROAD NEAR ISLANDTON. TIME ESTIMATED BASED ON RADAR. (CHS)
2211,UNK,4 SE ISLANDTON,COLLETON,SC,32.87,-80.88,1 HOME DESTROYED. ROOF BLOWN OFF A HOUSE. POWERLINES DOWN. (CHS)
2325,UNK,BAVON,MATHEWS,VA,37.33,-76.29,EF0 TORNADO DAMAGED SEVERAL BUILDINGS AND DOWNED TREES. (AKQ)
Time,Speed,Location,County,State,Lat,Lon,Comments
1249,UNK,SANTUCK,ELMORE,AL,32.63,-86.13,A TREE FELL INTO THE ROADWAY AND A VEHICLE RAN INTO IT. WINDS WERE ESTIMATED AROUND 45 MPH. (BMX)
1350,UNK,LANETT,CHAMBERS,AL,32.87,-85.21,SEVERAL PINE TREES WERE SNAPPED AND ONE UTILITY BUILDING WAS OVERTURNED IN THE CITY OF LANETT. (BMX)
1405,UNK,6 NW WHITESVILLE-PINE L,TROUP,GA,32.88,-85.11,A TREE WAS BLOWN DOWN NEAR ADAMS ROAD AND GEORGIA HIGHWAY 18 IN TROUP COUNTY. (FFC)
1428,UNK,3 SE OLD AVERA,GREENE,MS,31.33,-88.53,NUMEROUS PINE TREES WERE SNAPPED AND ARE BLOCKING THE ROADS APPROXIMATELY FIVE MILES SOUTH OF STATE LINE...MS. (MOB)
1438,UNK,ROGERSVILLE,HAWKINS,TN,36.41,-83.01,TREES DOWN NEAR ROGERSVILLE. (MRX)
1455,UNK,6 SE MADISON,MORGAN,GA,33.53,-83.39,SEVERAL TREES WERE BLOWN DOWN NEAR U.S. HIGHWAY 129. (FFC)
1505,UNK,GREENSBORO,GREENE,GA,33.58,-83.18,THE 911 CENTER REPORTED A FEW POWER LINES DOWN ALONG WILLOW RUN ROAD. (FFC)
1505,UNK,SW ABINGDON,WASHINGTON,VA,36.71,-81.97,ONE TREE DOWN ON MAJESTIC DRIVE. (MRX)
1511,UNK,DEATSVILLE,ELMORE,AL,32.61,-86.4,A TREE WAS BLOWN DOWN ON BOND ROAD NEAR DEATSVILLE AND IT BLOCKED THE ROADWAY. WINDS WERE ESTIMATED AROUND 40 MPH. (BMX)
1515,UNK,JACKSON,CLARKE,AL,31.51,-87.9,HARPER HEADSTART SCHOOL SUSTAINED ROOF DAMAGE. (MOB)
1515,UNK,3 SSW MCELHENEYS CROSSR,JASPER,GA,33.2,-83.77,MORE THAN A DOZEN TREES DOWN FROM AROUND HWY 83S AND CLAY ROAD SOUTH TO THE COUNTY LINE. (FFC)
1518,UNK,ROBINSON,TALIAFERRO,GA,33.58,-82.99,THE 911 CENTER REPORTED A FEW TREES AND A FEW POWERLINES BLOWN DOWN NEAR US HWY 278. (FFC)
1526,UNK,4 NW WETUMPKA,ELMORE,AL,32.59,-86.25,A TREE WAS BLOWN DOWN NEAR HOLTVILLE AND BLOCKED THE ROADWAY. WINDS WERE ESTIAMTED AROUND 40 MPH. (BMX)
1530,UNK,HAYNEVILLE,LOWNDES,AL,32.18,-86.58,SEVERAL LARGE TREES WERE BLOWN DOWN,BLOCKING US HIGHWAY 21. CREWS IN ROUTE TO CLEAR ROADWAY. (BMX)
1536,UNK,ZEBULON,PIKE,GA,33.1,-84.34,911 CENTER REPORTED A TREE LIMB DOWN IN ZEBULON. (FFC)
1545,UNK,EATONTON,PUTNAM,GA,33.33,-83.39,THE PUTNAM 911 CENTER REPORTED TREES DOWN ALONG ROUTE 129 AND TREES DOWN IN EATONTON AS WELL AS TRAFFIC LIGHTS OUT. (FFC)
1605,UNK,GREENVILLE,BUTLER,AL,31.83,-86.63,NUMEROUS TREES REPORTED DOWN ALONG I-65 NEAR GREENVILLE (MOB)
1615,UNK,3 SSW MCELHENEYS CROSSR,JASPER,GA,33.2,-83.77,MORE THAN A DOZEN TREES DOWN FROM AROUND HWY 83S AND CLAY ROAD SOUTH TO THE COUNTY LINE. (FFC)
1620,UNK,8 SW EATONTON,PUTNAM,GA,33.24,-83.49,ONE TREE DOWN ON HWY 129. (FFC)
1624,UNK,5 NW DAVENPORT,LOWNDES,AL,32.12,-86.45,SEVERAL TREES WERE BLOWN DOWN NEAR INTERSTATE 65. (BMX)
1626,UNK,3 NNE ELMORE,ELMORE,AL,32.58,-86.3,TREE DOWN ALONG MILL POND ROAD. CREWS DISPATCHED TO CLEAR ROADWAY. WINDS EST AT 40KTS. (BMX)
1627,UNK,NORWOOD,WARREN,GA,33.46,-82.71,ONE TREE BLOWN DOWN IN NORWOOD. (FFC)
1643,UNK,2 S PINE LEVEL,MONTGOMERY,AL,32.04,-86.06,A FEW TREES WERE BLOWN DOWN IN FAR SOUTHERN MONTGOMERY COUNTY NEAR HIGHWAY 231. WINDS WERE ESTIMATED AROUND 50 MPH. (BMX)
1648,UNK,3 S MALONE,JACKSON,FL,30.91,-85.16,TREE DOWN 3 MILES SOUTH OF MALONE IN JACKSON COUNTY. (TAE)
1656,UNK,1 N VIDETTE,CRENSHAW,AL,31.75,-86.19,EMERGENCY MANAGER REPORTED A HORSE SHED THAT WAS BLOWN OVER AND DESTROYED ALONG N. GOSHEN ROAD. (MOB)
1711,UNK,3 SSE LELA,SEMINOLE,GA,30.94,-84.85,ONE TREE DOWN ON GRADY BELL ROAD. (TAE)
1715,UNK,DEARING,MCDUFFIE,GA,33.42,-82.38,TREES AND POWER LINES DOWN IN DEARING AREA. (CAE)
1715,UNK,4 W THOMSON,MCDUFFIE,GA,33.47,-82.57,TREES DOWN ON HWY 278 JUST NORTH OF I-20 WEST OF THOMPSON (CAE)
1716,UNK,MARIETTA,WASHINGTON,OH,39.42,-81.53,LARGE BRANCHES BROKEN. (RLX)
1730,UNK,COMER,BARBOUR,AL,32.03,-85.38,A FEW TREES WERE BLOWN DOWN IN NORTHERN BARBOUR COUNTY NEAR COMER. WINDS WERE ESTIMATED AROUND 50 MPH. (BMX)
1736,UNK,2 NW WINDY GAP,WILKES,NC,36.14,-81,TIN ROOF BLOWN OFF OUT-BUILDING. (RNK)
1737,UNK,3 S MALONE,JACKSON,FL,30.91,-85.16,TREE DOWN 3 MILES SOUTH OF MALONE IN JACKSON COUNTY. (TAE)
1740,80,AUGUSTA,RICHMOND,GA,33.46,-82,WJBF REPORTS ESTIMATED 80 TO 90 MPH GUST ALONG WITH GOLF BALL SIZE HAIL. (CAE)
1740,UNK,ST. MATTHEWS,CALHOUN,SC,33.66,-80.78,POWER LINES AND TREES DOWN ON HIGHWAY 21. (CAE)
1740,UNK,1 N WOODFORD,ORANGEBURG,SC,33.68,-81.11,TREES DOWN IN ROADWAY US 321 AT PINEGROVE ROAD REPORTED BY SC HIGHWAY PATROL. (CAE)
1748,UNK,5 W AIKEN,AIKEN,SC,33.54,-81.82,TREES DOWN IN GRANITVILLE. WIND ESTIMATED AT 70 MPH. (CAE)
1758,UNK,CAMILLA,MITCHELL,GA,31.23,-84.21,TREES AND TELEPHONE LINES DOWN IN CAMILLA. (TAE)
1801,UNK,EUFAULA,BARBOUR,AL,31.89,-85.15,A FEW TREES WERE BLOWN DOWN NEAR EUFAULA. WINDS WERE ESTIMATED AROUND 50 MPH. (BMX)
1820,UNK,WOODFORD,ORANGEBURG,SC,33.67,-81.11,EMERGENCY MANAGER REPORTED TREES DOWN ALONG HWY 321 FROM WOODFORD TO NORTH FROM BOW ECHO WINDS. (CAE)
1825,UNK,14 NW SUMTER,SUMTER,SC,34.09,-80.57,PUBLIC REPORTED TREES DOWN IN REMBERT AREA (CAE)
1825,UNK,4 W ARARAT,PATRICK,VA,36.59,-80.58,TREE DOWN (RNK)
1827,UNK,5 WSW MONTVALE,BOTETOURT,VA,37.36,-79.81,TREE DOWN ON COLONIAL ROAD. (RNK)
1830,UNK,5 ESE AXTON,PITTSYLVANIA,VA,36.63,-79.64,TREE DOWN (RNK)
1834,UNK,BURNT CHIMNEY,FRANKLIN,VA,37.1,-79.83,POWER LINES DOWN ON BURNT CHIMNEY ROAD (RNK)
1845,UNK,COTTON,MITCHELL,GA,31.16,-84.07,PUBLIC REPORT VIA WALB-TV FACEBOOK PAGE OF BENT TRAMPOLINE...BUSTED SIDING...AND FURNITURE BLOWN AGAINST A FENCE NEAR COTTON. (TAE)
1850,UNK,2 SSW ELDORADO,COOK,GA,31.32,-83.5,PUBLIC REPORT ON THE WALB-TV FACEBOOK PAGE OF A BARN BLOWN DOWN NEAR THE TIFT/COOK COUNTY LINE JUST OFF OF I-75. (TAE)
1850,UNK,6 NNW LENOX,TIFT,GA,31.35,-83.49,1 TREE DOWN NEAR COUNTY LINE (TAE)
1850,UNK,5 NE TIMMONSVILLE,FLORENCE,SC,34.19,-79.89,10 INCH DIAMETER OAK TREE SNAPPED ON TIFFANY DR. (ILM)
1850,UNK,AMHERST,AMHERST,VA,37.58,-79.05,2 LARGE TREES WERE BLOWN DOWN IN THE TOWN OF AMHERST. (RNK)
1852,UNK,3 ESE FLOYD,FLOYD,VA,36.91,-80.26,TREES DOWN ACROSS SHOOTING CREEK ROAD. (RNK)
1904,UNK,MOUNT PLEASANT,DECATUR,GA,31.02,-84.46,SCATTERED TREES DOWN IN THE NORTHERN PART OF THE COUNTY. (TAE)
1916,UNK,4 N ELPINO,GRADY,GA,31.05,-84.23,SCATTERED TREES DOWN IN THE NORTHERN PART OF THE COUNTY. (TAE)
