Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1225,UNK,1 W OLGA,POLK,MN,47.69,-95.68,4 TO 5 INCH DIAMETER BRANCHES SNAPPED OFF TREES (FGF)
1225,UNK,1 W OLGA,CAVALIER,ND,48.8,-98.06,4 TO 5 INCH DIAMETER BRANCHES SNAPPED OFF TREES (FGF)
1259,UNK,OLGA,CAVALIER,ND,48.8,-98.04,3 GRAIN BINS BLOWN DOWN. (FGF)
1305,UNK,1 SSW CAVALIER,PEMBINA,ND,48.79,-97.63,24 INCH DIAMETER TREE DOWN AND SEVERAL POWER LINES DOWN. ALSO REPORTED PEA SIZE HAIL AND 6 TO 8 INCHES OF WATER ON MAIN STREET. (FGF)
1322,UNK,HENSEL,PEMBINA,ND,48.69,-97.67,TREES DOWN IN HENSEL ... LOCAL FARMER LOST A POLE BARN AND GARAGE WHILE SOME FARM EQUIPMENT WAS DAMAGED ... PUBLIC POST ON KVLY FACEBOOK PAGE (FGF)
1405,70,4 NW POLAND,WALSH,ND,48.23,-97.27,60 TO 70 MPH WIND GUSTS ESTIMATED BUT NO DAMAGE REPORTED. (FGF)
1445,UNK,CRYSTAL,PEMBINA,ND,48.6,-97.67,PUBLIC REPORTED VIA KVLY FACEBOOK PAGE TREE BRANCH ALMOST 4 FEET IN CIRCUMFERENCE DOWN. (FGF)
1510,UNK,CHAUTAUQUA INSTITUTE,CHAUTAUQUA,NY,42.21,-79.47,SEVERAL LARGE TREE LIMBS DOWN (BUF)
1725,UNK,5 NE WASKISH,BELTRAMI,MN,48.21,-94.44,10 INCH DIAMETER TREES KNOCKED DOWN. (FGF)
1750,UNK,CARRIER MILLS,SALINE,IL,37.69,-88.63,OVER 60 MPH WINDS WITH SOME SHINGLES OFF HOUSES AND A TREE DOWN ON MILL STREET. (PAH)
1805,UNK,CARRIER MILLS,SALINE,IL,37.69,-88.63,ROOF OFF A BUILDING ON OAK STREET IS IN THE STREET. BUILDING DEBRIS ALSO IN ROADWAY AT RT 45 AND MAIN STREET. (PAH)
1810,UNK,ETOWAH,HENDERSON,NC,35.32,-82.6,A TREE WAS BLOWN DOWN IN ETOWAH. (GSP)
1815,60,3 E BEMIDJI,BELTRAMI,MN,47.48,-94.81,(FGF)
1820,UNK,3 SW SUMMERDALE,BALDWIN,AL,30.46,-87.74,TREES ACROSS COUNTY ROAD 28 AND POWER LINES DOWN JUST WEST OF COUNTY ROAD 55. (MOB)
1825,UNK,ETOWAH,HENDERSON,NC,35.32,-82.6,TREES DOWN IN ETOWAH VICINITY... INCLUDING ETOWAH PARK ROAD. (GSP)
1825,UNK,4 N BEMIDJI,BELTRAMI,MN,47.54,-94.88,REPORTS OF TREES DOWN ON NORTH SIDE OF LAKE BEMIDJI. (FGF)
