Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0700,60,EDEN,CONCHO,TX,31.22,-99.84,(SJT)
0748,60,WEATHERFORD,PARKER,TX,32.77,-97.8,(FWD)
0825,64,FORT WORTH,TARRANT,TX,32.75,-97.34,HUFFINS AND 10 MILE BRIDGE ROAD. (FWD)
0825,UNK,WHITE SETTLEMENT,TARRANT,TX,32.77,-97.45,TWO SIGNS AND TWO PORT-O-JOHNS KNOCKED OVER IN WHITE SETTLEMENT. (FWD)
0844,63,WACO,MCLENNAN,TX,31.55,-97.15,63 MPH GUST ON WACO ASOS AT 244AM (FWD)
0849,66,FORT WORTH,TARRANT,TX,32.75,-97.34,A 66 MPH WIND GUST WAS REPORTED AT NOLAN HIGH SCHOOL IN FORT WORTH. (FWD)
0900,UNK,LUELLA,GRAYSON,TX,33.57,-96.55,MAJOR DAMAGE TO HOUSE ON QUAIL RUN ROAD (FWD)
0902,UNK,PLANO,COLLIN,TX,33.02,-96.72,ESTIMATED 60+ MPH WINDS IN WEST PLANO. POWER POLES WERE KNOCKED DOWN ON MIDWAY RD NORTH OF PLANO PKWY (FWD)
0915,UNK,2 SW TEMPLE,BELL,TX,31.08,-97.37,TELEPHONE POLE SNAPPED IN HALF. POWER LINES DOWN. (FWD)
0915,65,TEMPLE,BELL,TX,31.1,-97.35,65 MPH WINDS WERE ESTIMATED ON THE SOUTHWEST SIDE OF TEMPLE NEAR LOOP 363 AND 57TH ST. (FWD)
0915,UNK,DUNCANVILLE,DALLAS,TX,32.65,-96.9,GUSTS TO 65MPH. SHINGLES OFF ROOF. LARGE TREE BRANCHES DOWN. (FWD)
0921,65,3 W RICHARDSON,DALLAS,TX,32.95,-96.77,BETWEEN RICHARDSON AND ADDISON (FWD)
1100,UNK,MOUNT VERNON,FRANKLIN,TX,33.17,-95.22,TREE DOWN (SHV)
1115,UNK,WINNSBORO,WOOD,TX,32.96,-95.29,POWER LINE DOWN (SHV)
1150,UNK,NEW BOSTON,BOWIE,TX,33.46,-94.42,TREE DOWN ON POWER LINE (SHV)
Time,Size,Location,County,State,Lat,Lon,Comments
0200,175,2 SE LELIA LAKE,DONLEY,TX,34.88,-100.75,(AMA)
0232,100,TURKEY,HALL,TX,34.39,-100.9,(LUB)
0244,100,6 WNW QUAIL,COLLINGSWORTH,TX,34.94,-100.5,(AMA)
0314,100,2 S ESTELLINE,HALL,TX,34.52,-100.44,A LOT OF PEA-SIZED HAIL WITH A FEW STONES TO THE SIZE OF QUARTERS (LUB)
0601,175,10 S SAN ANGELO,TOM GREEN,TX,31.3,-100.45,REPORTED AT FM 584 AND US 277. (SJT)
0642,175,CARBON,EASTLAND,TX,32.27,-98.83,(FWD)
0652,100,1 N ELDORADO,SCHLEICHER,TX,30.87,-100.6,(SJT)
0708,100,RISING STAR,EASTLAND,TX,32.1,-98.97,(FWD)
0727,150,14 W FREDERICKSBURG,GILLESPIE,TX,30.27,-99.11,(EWX)
0752,150,2 W INKS LAKE STATE PAR,LLANO,TX,30.72,-98.41,HAIL FELL FOR 11 MINUTES. LARGEST 1.5 INCHES. (EWX)
0954,100,1 N JARRELL,WILLIAMSON,TX,30.83,-97.6,(EWX)
