Time,F_Scale,Location,County,State,Lat,Lon,Comments
0810,UNK,5 S SARASOTA,SARASOTA,FL,27.26,-82.55,STRUCTURAL DAMAGE AND DAMAGE TO SEVERAL CONDOS IN THE 6200 BLOCK OF MIDNIGHT PASS ROAD ON SIESTA KEY. (TBW)
0815,UNK,5 S SARASOTA,SARASOTA,FL,27.26,-82.55,TRAINED SPOTTER REPORTED NUMEROUS TREES AND SIGNS DOWN WITH BUILDING DAMAGE AT HWY 41 AND CLARK ROAD. ESTIMATED WINDS 70 MPH. (TBW)
0845,UNK,3 N DUETTE,MANATEE,FL,27.63,-82.13,*** 1 INJ *** MANATEE COUNTY 911 REPORTS STRUCTURE COLLAPSE IN DUETTE WITH AN UNKNOWN NUMBER OF INJURIES OF VARYING DEGREES. TIME ESTIMATED FROM RADAR. (TBW)
Time,Speed,Location,County,State,Lat,Lon,Comments
1852,63,EUGENE,LANE,OR,44.05,-123.11,63 MPH WIND GUST. (PQR)
1855,UNK,EUGENE,LANE,OR,44.05,-123.11,TWO TREES DOWNED BY WIND. (PQR)
1905,UNK,2 E MAPLETON,LANE,OR,44.03,-123.83,A TREE WAS UPROOTED...TWO LARGE TREES SNAPPED. PART OF ROOF BLEW OFF... AND THE ROOFS OF TWO CHICKEN COOPS BLEW OFF. (PQR)
1935,UNK,2 SSE COOS BAY,COOS,OR,43.36,-124.22,ESTIMATED WIND GUST 70-75MPH BLEW OFF SHINGLES AND CAUSED WIDESPREAD TREE DAMAGE. TIME OF EVENT IS ESTIMATED. OBSERVER LOCATION SOUTH OF COOS BAY. (MFR)
0900,UNK,ENGLEWOOD,SARASOTA,FL,26.96,-82.35,PUBLIC REPORTED MINOR ROOF DAMAGE IN ENGLEWOOD BEACH AREA. (TBW)
0930,58,5 SE MANASOTA KEY,CHARLOTTE,FL,26.87,-82.32,HOME WEATHER STATION MEASURED 58 MPH ON DON PEDRO ISLAND. (TBW)
0935,UNK,BOKEELIA,LEE,FL,26.7,-82.17,SEVERAL POWER POLES AND LINES KNOCKED DOWN ALONG TROPICAL LANE. TIME BASED ON RADAR. (TBW)
0955,UNK,3 NNE ARCADIA,DESOTO,FL,27.26,-81.85,MULTIPLE TREES REPORTED DOWN ALONG HAMMOCK ROAD. TIME BASED ON RADAR. (TBW)
0955,UNK,6 E WAUCHULA,HARDEE,FL,27.55,-81.71,TREES DOWN AND BLOCKING THE ROAD ON CECIL DURRANCE ROAD. TIME ESTIMATED BY RADAR. (TBW)
1000,UNK,1 NNW FROSTPROOF,POLK,FL,27.76,-81.54,REPORTS FROM HOMEOWNER OF AWNING BLOWN OFF OF HOME. WINDS ESTIMATED 50-60 MPH. (TBW)
1005,UNK,3 NE SUNCOAST ESTATES,LEE,FL,26.75,-81.83,POWER POLES AND LINES KNOCKED DOWN ALONG TAMMY LANE IN NORTH FORT MYERS. TIME BASED ON RADAR. (TBW)
1025,84,2 ENE NAPLES,COLLIER,FL,26.15,-81.77,AT WEATHERBUG STATION LOCATED AT NAPLES MUNICIPAL AIRPORT. (MFL)
1025,UNK,2 E FORT MYERS SHORES,LEE,FL,26.72,-81.7,LARGE TREES KNOCKED DOWN ALONG WEST COURT PLACE IN BUCKINGHAM. TIME BASED ON RADAR. (TBW)
1027,UNK,1 SSW NAPLES,COLLIER,FL,26.13,-81.81,TRANSFORMERS BLOWN AND POWER LINES DOWN IN NAPLES PIER AREA. STRONG WIND GUSTS ESTIMATED AT LEAST 60 MPH BY SPOTTER. (MFL)
1051,UNK,2 WNW BUNKER HILL,COLLIER,FL,26.4,-81.41,11 POWER LINE POLES TOPPLED NEAR STOCKADE DR AND KOOWACHOBEE TRAIL. SEVERAL LARGE TREES DOWNED IN NEARBY LOCATIONS ACROSS IMMOKALEE RESERVATION. (MFL)
1051,79,2 ESE IMMOKALEE,COLLIER,FL,26.41,-81.42,A THUNDERSTORM PRODUCED A WIND GUST OF 79 MPH AT THE SEMINOLE TRIBE RESERVATION IN IMMOKALEE (MFL)
1122,59,14 NW KEY WEST,GMZ033,FL,24.71,-81.93,A THUNDERSTORM WIND GUST OF 51 KNOTS...59 MPH WAS MEASURED AT THE WEATHERFLOW MESONET OBSERVATION SITE AT SMITH SHOAL LIGHT. (KEY)
Time,Size,Location,County,State,Lat,Lon,Comments
