Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1705,UNK,NEW SALISBURY,HARRISON,IN,38.32,-86.1,METAL ROOF IN THE ROAD (LMK)
1720,UNK,ELIZABETH,HARRISON,IN,38.13,-85.97,TREES DOWN ON CARS AND IN YARDS. (LMK)
1720,UNK,NEW SALISBURY,HARRISON,IN,38.32,-86.1,TWO TREES DOWN ALONG WHISKEY RUN ROAD AND HWY 135 ALONG AND SOUTH OF NEW SALSBURY (LMK)
1725,UNK,2 NW JOHNSONTOWN,MORGAN,WV,39.6,-78.07,SEVERAL TREES DOWN (LWX)
1736,UNK,HEDGESVILLE,BERKELEY,WV,39.55,-77.99,TREES AND WIRES DOWN (LWX)
1817,UNK,ORLEANS,ORANGE,IN,38.66,-86.45,A LARGE TREE HAS FALLEN ON A VEHICLE AND POWER LINES ARE DOWN (LMK)
1820,UNK,6 SW CAESARS HEAD,PICKENS,SC,35.04,-82.68,TREES DOWN IN PARK AND LIGHTNING STARTED FOREST FIRE. (GSP)
1820,UNK,2 SW PHILIPPI,BARBOUR,WV,39.13,-80.07,TREES DOWN ALONG RTE 57. POWER OUTAGES IN AND AROUND PHILIPPI (RLX)
1823,UNK,2 NE GLENGARY,BERKELEY,WV,39.41,-78.12,SEVERAL TREES DOWN (LWX)
1830,UNK,WILBURN,CLEBURNE,AR,35.5,-91.88,LOCAL COORDINATOR REPORTED ROOF DAMAGE ON SEVERAL HOUSES. ALSO...TREES WERE BLOWN DOWN ONTO POWER LINES. (LZK)
1830,UNK,SPRINGVILLE,LAWRENCE,IN,38.93,-86.62,TREES DOWN. POWER LINES DOWN (IND)
1830,UNK,10 NW HELTONVILLE,MONROE,IN,39.03,-86.51,18-INCH DIAMETER HEALTHY TREE DOWN ALONG THE SIDE OF STATE ROUTE 37. (IND)
1840,UNK,2 WNW OWENS CROSSROADS,MADISON,AL,34.59,-86.49,A TREE FELL ON A POWER LINE NEAR THE INTERSECTION OF SOUTH GREEN MOUNTAIN ROAD AND JOEL DRIVE. (HUN)
1842,60,9 NE HELTONVILLE,JACKSON,IN,39.01,-86.26,NORMAN STATION AREA (IND)
1852,UNK,VALLONIA,JACKSON,IN,38.84,-86.1,6 TO 8 INCH DIAMETER LIMBS DOWN (IND)
1852,UNK,10 SW SALEM,RANDOLPH,IN,40.21,-84.98,6 TO 8 INCH DIAMETER LIMBS DOWN (IND)
1900,UNK,2 S MAYSVILLE,MASON,KY,38.6,-83.78,A COUPLE OF TREES DOWN ACROSS THE CENTRAL PART OF THE COUNTY. TIME ESTIMATED BY RADAR. (ILN)
1900,75,MOUNT CARMEL AIRPORT,LAWRENCE,IL,38.61,-87.73,RELAYED BY LAWRENCE CO EMA (ILX)
1904,UNK,CAMPBELLSBURG,WASHINGTON,IN,38.65,-86.26,TWO TREES WERE DOWNED ACROSS THE COUNTY. ONE FELL IN CAMPBELLSBURG. THE OTHER FELL IN DELANEY PARK IN WESTERN WASHINGTON COUNTY. (LMK)
1905,UNK,3 S LAWRENCEVILLE,LAWRENCE,IL,38.68,-87.69,TREE LIMBS WERE BLOWN DOWN ONTO POWER LINES ON BILLETT ROAD SOUTH OF LAWRENCEVILLE. (ILX)
1909,UNK,LAKE SYLVIA RECREATION,PERRY,AR,34.87,-92.82,MULTIPLE TREES DOWN IN THE LAKE SYLVIA RECREATION AREA. LARGE LIMBS ARE ALSO DOWN. HALF INCH HAIL WAS ALSO SEEN IN ADDITION TO DAMAGING WINDS. (LZK)
1910,UNK,1 S HUNTINGTON,CABELL,WV,38.4,-82.43,POWER LINES DOWN ACROSS INTERSTATE 64 AT THE 5TH STREET EXIT. WEST BOUND LANES CLOSED. (RLX)
1910,UNK,2 ESE PAEONIAN SPRINGS,LOUDOUN,VA,39.14,-77.59,TREES DOWN AND HEAVY DECORATIVE URN BLOWN OVER. (LWX)
1910,UNK,1 E ARNOLDTOWN,FREDERICK,MD,39.41,-77.59,TREES DOWN AND HEAVY DECORATIVE URN BLOWN OVER. (LWX)
1911,UNK,1 S DAMASCUS,FAULKNER,AR,35.35,-92.41,A FEW TREES DOWN ACROSS US 65 JUST SOUTH OF DAMASCUS. (LZK)
1912,UNK,3 SSW GREENUP,GREENUP,KY,38.53,-82.86,TREES DOWN ACROSS ROUTE 1 AND ROUTE 2 (RLX)
1913,UNK,5 E MEDORA,JACKSON,IN,38.82,-86.08,12 TO 14 INCH DIAMETER TREE UPROOTED ON LAKE ROAD (IND)
1915,UNK,CATLETTSBURG,BOYD,KY,38.4,-82.6,TREES DOWN ON POWER LINES. POWER OUTAGES. (RLX)
1919,UNK,1 NE SHADY GROVE,MORGAN,WV,39.65,-78.13,POWERLINES DOWN ON POTOMAC RD. (LWX)
1920,UNK,LEBANON JUNCTION,BULLITT,KY,37.83,-85.73,TREES REPORTED DOWN. ONE ON A CAR. ALSO POWER LINES DOWN. (LMK)
1926,UNK,2 NNW PARIS,CLARKE,VA,39.04,-77.97,TREE DOWN ON 1000 BLOCK OF MT CARMEL RD (LWX)
1930,UNK,9 SSE CAMDEN,BENTON,TN,35.94,-88.04,SEVERAL TREES WERE BLOWN DOWN BETWEEN CAMDEN AND INTERSTATE 40. (OHX)
1931,UNK,LEAVENWORTH,CRAWFORD,IN,38.2,-86.35,TREE DOWN. (LMK)
1935,UNK,KENOVA,WAYNE,WV,38.4,-82.58,MULTIPLE TREES DOWN. (RLX)
1937,UNK,4 SW SAINT ELIZABETH,MILLER,MO,38.21,-92.32,TREES DOWN NEAR THE INTERSECTION OF HIGHWAY 52 AND ROUTE PP. (SGF)
1938,UNK,1 ESE UPPERVILLE,FAUQUIER,VA,38.99,-77.87,LARGE TREE LIMBS DOWN ON RT 50 NEAR HORSEFIELDS LN (LWX)
1939,UNK,2 WNW TWIN CREEK,IZARD,AR,35.96,-92.06,THUNDERSTORM WINDS SNAPPED SEVERAL TREES AND CAUSED MINOR ROOF DAMAGE TO SEVERAL HOUSES. LAWN FURNITURE WAS THROWN AROUND 300 FEET. (LZK)
1940,UNK,2 SE PINE MOUNTAIN,OCONEE,SC,34.92,-83.17,TREES DOWN ALONG SC28 NEAR THE GA STATE LINE. (GSP)
1943,UNK,1 N PLEASANT PLAINS,INDEPENDENCE,AR,35.57,-91.63,THUNDERSTORM WINDS HIT A TRUCK BROADSIDE...PUSHING IT OFF THE ROAD AND INTO A DITCH. (LZK)
1944,UNK,3 NW GORE,FREDERICK,VA,39.29,-78.37,TREE DOWN ON US HIGHWAY 50 NEAR WV STATE LINE. (LWX)
1945,UNK,1 E PINEVILLE,MECKLENBURG,NC,35.08,-80.87,TWO TREES BLOCKING JOHNSTON RD NEAR HWY 51. OTHER TREES DOWN IN THE SAME AREA. REPORTED VIA SOCIAL MEDIA. (GSP)
1946,UNK,1 NNW RIO,HAMPSHIRE,WV,39.14,-78.68,LIMBS DOWN. (LWX)
1946,60,2 SW BLOOMINGTON,MONROE,IN,39.15,-86.55,HWY 37 AND ROCKPORT RD. (IND)
1947,UNK,ALLISON,STONE,AR,35.93,-92.12,TREES DOWN AND MULTIPLE BARNS HAVE SUSTAINED DAMAGE. (LZK)
1953,UNK,1 NNW RESTON,FAIRFAX,VA,38.97,-77.35,TREE DOWN AT VANTAGE HILL RD AND MEDITERRANEAN CT (LWX)
