Time,F-Scale,Location,County,State,Lat,Lon,Comments
2213,UNK,21 NE NORTH PLATTE,LINCOLN,NE,41.35,-100.49,TORNADO TOUCHED DOWN 21 MILES NORTHEAST OF NORTH PLATTE IN RURAL LINCOLN COUNTY. THE TORNADO TRAVELED NORTHEAST,LIFTED BRIEFLY THEN CONTINUED NORTHEAST FOR SIX MINUTES (LBF)
2213,UNK,9 WSW GANDY,LOGAN,NE,41.42,-100.62,OFF DUTY NWS EMPLOYEE REPORTED A TORNADO 9 MILES WSW OF GANDY. (LBF)
2328,UNK,5 SE RANDALL,JEWELL,KS,39.59,-97.98,EF0 TORNADO TRACKED FOR TWO MILES FROM 5 MILES SOUTHEAST OF RANDALL TO 6 MILES EAST-SOUTHEAST OF RANDALL. ONE FARM STRUCK...WITH DAMAGE INCLUDING METAL ROOF TORN OFF OU (GID)
2338,UNK,4 NW JAMESTOWN,CLOUD,KS,39.64,-97.91,EF0 TORNADO CONFIRMED IN FAR NORTHWEST CLOUD COUNTY VIA DAMAGE REPORTS FROM SURVEY TEAM AND MULTIPLE PUBLIC REPORTS. TORNADO LIKELY ENTERED FROM THE JEWELL-CLOUD COUNTY (TOP)
0043,UNK,6 SSW HUTCHINSON,RENO,KS,37.99,-97.96,STORM CHASER REPORTED A TORNADO LASTING ABOUT 5 MINUTES FROM 643 TO 648 PM. (ICT)
0100,UNK,4 W GREELEY,GREELEY,NE,41.55,-98.61,EF0 BRIEF TORNADO IN A FIELD NEAR INTERSECTION OF 809 RD AND 493 AVE. SPOTTER WITNESSED THE TORNADO FROM ONE HALF MILE AWAY AND THE TORNADO DESTROYED A PIVOT IN THE FIE (GID)
0302,UNK,HARVEYVILLE,WABAUNSEE,KS,38.79,-95.96,PRELIMINARY INFORMATION FROM INCIDENT COMMAND...POSSIBLE TORNADO...1 CRITICAL INJURY...SEVERAL MINOR INJURIES...NUMEROUS HOMES DESTROYED...ALL PEOPLE ACCOUNTED FOR IN T (TOP)
0411,UNK,3 SE GLOBE,DOUGLAS,KS,38.75,-95.36,EF0 TORNADO CONFIRMED BY DOUGLAS COUNTY EMERGENCY MANAGEMENT SURVEY AND OTHER PUBLIC REPORTS. PATH OF TORNADO FROM 4 S GLOBE IN NORTHERN FRANKLIN COUNTY...TO 1.5 S WORD (TOP)
0452,UNK,4 WNW NASHVILLE,BARTON,MO,37.39,-94.56,AN EF-1 RATED TORNADO WITH MAXIMUM WIND SPEED OF 85 TO 80 MPH TRACKED 16 MILES FROM 5 MILES SOUTH SOUTHEAST OF MINDENMINES TO 1 MILE NORTHWEST OF LAMAR CROSSING HWY 71. (SGF)
0515,UNK,5 WSW JERICO SPRINGS,BARTON,MO,37.59,-94.09,TREES DOWN. (SGF)
0526,UNK,3 NNW GREENFIELD,DADE,MO,37.46,-93.86,AN EF-1 RATED TORNADO WITH A MAXIMUM WIND SPEED OF 90 TO 100 MPH TRACKED 18.6 MILES FROM 3 MILES NORTH NORTHWEST OF GREENFIELD TO 2 MILES EAST SOUTHEAST OF ALDRICH. THE (SGF)
0556,UNK,2 SW BUFFALO,DALLAS,MO,37.62,-93.12,1 HOUSE DESTROYED ALONG WITH 3 TURKEY BARNS. DAMAGE ALONG WILDLIFE RD. (SGF)
0558,UNK,4 SSE HALF WAY,POLK,MO,37.56,-93.22,A NWS SURVEY INDICATED THAT AN EF-1 TORNADO TOUCHED DOWN NEAR THE POLK AND DALLAS COUNTY LINE. ANOTHER LSR WILL HAVE MORE DETAILS ON THIS TRACK INTO DALLAS COUNTY. (SGF)
0618,UNK,2 NW PHILLIPSBURG,LACLEDE,MO,37.57,-92.81,*** 1 INJ *** AN EF-1 MAGNITUDE TORNADO TRACKED FROM 2 MILES NORTHWEST OF PHILLIPSBURG TO 1 MILE SOUTHEAST OF LEBANON SEVERAL HOMES WERE DAMAGED AND TREES UPROOTED. ONE (SGF)
