Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1739,UNK,2 S ABBOTSFORD,CLARK,WI,44.92,-90.32,TREE BRANCHES DOWN (ARX)
1900,UNK,5 E STETSONVILLE,TAYLOR,WI,45.08,-90.21,ROOF BLOWN OFF AN OLDER BUILDING ALONG COUNTY HWY A NEAR THE TAYLOR AND MARATHON COUNTY LINE (ARX)
1915,UNK,TRIPOLI,LINCOLN,WI,45.55,-90,TREES DOWN ALONG HIGHWAY 8 (GRB)
2015,UNK,ANTIGO,LANGLADE,WI,45.15,-89.15,TREES AND POWER LINES DOWN ALONG HIGHWAY 45...COURTESY OF WSAW. (GRB)
2055,UNK,FENCE,FLORENCE,WI,45.75,-88.43,TREES AND POWER LINES DOWN (GRB)
2100,75,MARENGO,MCHENRY,IL,42.25,-88.6,ALSO ENCOUNTERED PENNY SIZE HAIL (LOT)
2115,UNK,5 S JACKSON,HINDS,MS,32.24,-90.22,A COUPLE TREES WERE DOWN NEAR THE SAVANNA ST. EXIT (JAN)
2130,UNK,6 S WITCH LAKE,DICKINSON,MI,46.2,-88.01,24 INCH WHITE PINE TREE KNOCKED OVER. ESTIMATED WINDS OF 60MPH. (MQT)
2134,UNK,2 SSE WITCH LAKE,MARQUETTE,MI,46.25,-88.01,TREES DOWN ACROSS HIGHWAY M-95 ALONG THE MARQUETTE/DICKINSON COUNTY LINE. (MQT)
2135,UNK,2 E PLEASANT PLAINS,SANGAMON,IL,39.87,-89.88,SEVERAL TREES DOWN. FRONT OF A CAR GARAGE PULLED OUT. RIPPED ROOF OFF OF OUTBUILDINGS. (ILX)
2137,UNK,PELL LAKE,WALWORTH,WI,42.54,-88.36,TREE DOWN IN BLOOMFIELD WHICH IS IN THE PELL LAKE AREA. (MKX)
2142,UNK,3 ESE TWIN LAKES,KENOSHA,WI,42.5,-88.2,WIRES DOWN. (MKX)
2146,UNK,5 WNW BIG BASS LAKE,MARQUETTE,MI,46.33,-87.78,SMALL LIMBS DOWN. PATIO FURNITURE BLOWN ACROSS THE YARD. VERY STRONG WINDS,NO ESTIMATE. (MQT)
2208,UNK,1 W SHERMAN,SANGAMON,IL,39.89,-89.63,POWER LINES DOWN WITH LINES ON A CAR. (ILX)
2225,UNK,DETROIT,LAMAR,AL,34.03,-88.17,NUMEROUS TREES DOWN ALONG COUNTY ROAD 16 FROM HENSON SPRINGS TO DETROIT (BMX)
2225,UNK,WILLIAMSVILLE,SANGAMON,IL,39.95,-89.56,TREE BROKEN OFF ON VACANT HOUSE. (ILX)
2240,UNK,3 ENE DECATUR,DEKALB,GA,33.79,-84.24,DEKALB COUNTY 911 RELAYED A REPORT OF A TREE DOWNED ON MONTREAL ROAD. RADAR ESTIMATED TIME BETWEEN 1940 EDT AND 1945 EDT. (FFC)
2240,UNK,ELKHART,LOGAN,IL,40.02,-89.48,ONE POWER POLE DOWN AND 2 TREES DAMAGED. INFORMATION FROM LOGAN COUNTY EMA AND WICS-TV. (ILX)
2242,UNK,COLEMAN,MARINETTE,WI,45.06,-88.03,TREES AND POWER LINES DOWN (GRB)
2243,UNK,2 WSW DETROIT,LAMAR,AL,34.02,-88.2,ONE TREE DOWN ALONG HATLEY-DETROIT ROAD...AND ANOTHER TREE DOWN NEAR THE FIRE DEPT ON HWY 17. NUMEROUS POWER OUTAGES IN AND AROUND DETROIT...INCLUDING AREAS WEST AND SO (BMX)
2335,UNK,5 NNW HIALEAH,MIAMI-DADE,FL,25.93,-80.31,TREE BRANCHES OF 3 TO 4 INCHES IN DIAMETER WERE DOWNED NEAR THE INTERSECTION OF NW 67TH AVENUE AND THE PALMETTO EXPRESSWAY IN MIAMI LAKES. (MFL)
2340,UNK,3 ENE DECATUR,DEKALB,GA,33.79,-84.24,DEKALB COUNTY 911 RELAYED A REPORT OF A TREE DOWNED ON MONTREAL ROAD. RADAR ESTIMATED TIME BETWEEN 1940 EDT AND 1945 EDT. (FFC)
2345,UNK,HARRISBURG,SALINE,IL,37.74,-88.55,TREES AND POWER LINES DOWN. (PAH)
2354,73,8 E PETERSBURG,MENARD,IL,40.01,-89.7,NO REPORT OF DAMAGE. (ILX)
0006,59,GRANT PARK,KANKAKEE,IL,41.24,-87.64,STATE LINE RD AND 10500N. ALSO HALF INCH HAIL. (LOT)
0018,UNK,4 SSW GARY,LAKE,IN,41.54,-87.37,A MICRORBURST WITH MAX WINDS OF 85 TO 90 MPH. DAMAGE PATH-LENGTH - 1.25 MILES,WIDTH - 1/3 OF A MILE - NEAR CLEVELAND ST BETWEEN 41ST AND 45TH AVE. SEVERE DAMAGE TO STR (LOT)
0025,UNK,4 E BEECHER,WILL,IL,41.35,-87.54,MULTIPLE TREE LIMBS DOWN - SOME WERE 3 TO 4 INCHES IN DIAMETER. DELAYED REPORT. (LOT)
0035,UNK,GARY,LAKE,IN,41.6,-87.34,TREE FELL ON CHAIN LINK FENCE (LOT)
0051,UNK,4 NE NEWLIGHT,TENSAS,LA,32.14,-91.38,TREES AND LINES DOWN (JAN)
0055,UNK,4 SSW GARY,LAKE,IN,41.54,-87.36,IN UN-INCORPORATED GARY - LAKE RIDGE OR BETWEEN GARY AND MERILLVILLE. EST 40 TO 50 MPH. PARTIAL WALL COLLAPSE. ROOF TORN OFF. (LOT)
0255,UNK,MARION,CRITTENDEN,KY,37.33,-88.08,TREE FELL ON HOUSE. NOT SURE IF IT WAS WIND OR LIGHTNING CAUSED. (PAH)
0342,UNK,3 ENE ROCHESTER,FULTON,IN,41.08,-86.16,COUNTY DISPATCH REPORTED A METAL ROOF BLOWN OFF AN OUTBUILDING ONTO TOP OF A HOME NEAR 450 E AND FORT WAYNE ROAD. SOME WINDOWS BROKEN ON HOME. (IWX)
Time,Size,Location,County,State,Lat,Lon,Comments
1700,100,1 NE MELLEN,ASHLAND,WI,46.33,-90.65,(DLH)
1717,100,2 E REDRIDGE,HOUGHTON,MI,47.15,-88.72,(MQT)
1745,100,4 E STETSONVILLE,TAYLOR,WI,45.08,-90.23,(ARX)
1745,100,CALUMET,HOUGHTON,MI,47.25,-88.45,(MQT)
1750,100,NNE CORNELL,CHIPPEWA,WI,45.16,-91.15,(MPX)
1816,100,15 E PHILLIPS,PRICE,WI,45.7,-90.09,(DLH)
1822,100,3 N HANNIBAL,TAYLOR,WI,45.29,-90.78,HAIL LASTED ABOUT 5 MINUTES AND COVERED THE GROUND. (ARX)
1839,100,3 E JUMP RIVER,TAYLOR,WI,45.36,-90.74,A LOT OF PENNY TO NICKEL HAIL SIZE HAIL STONES...ALONG WITH A FEW QUARTER SIZE. (ARX)
1848,175,LAC DU FLAMBEAU,VILAS,WI,45.96,-89.88,(GRB)
1905,100,5 SW PHILLIPS,PRICE,WI,45.64,-90.47,(DLH)
1930,125,ELAND,SHAWANO,WI,44.88,-89.19,DELAYED REPORT FROM WSAW TV-7. (GRB)
1941,100,3 N SUGAR CAMP,ONEIDA,WI,45.82,-89.3,(GRB)
2000,100,2 E CONOVER,VILAS,WI,46.04,-89.21,ON HWY 17. (GRB)
2055,100,PAW PAW,LEE,IL,41.69,-88.98,(LOT)
2115,100,5 NW WOODSTOCK,MCHENRY,IL,42.36,-88.51,ALDEN RD. RELAYED BY WREX. (LOT)
2126,100,3 S DAVIDSON,WILBARGER,TX,34.2,-99.08,(OUN)
2150,175,2 N MURPHYSBORO,JACKSON,IL,37.8,-89.34,GOLF BALL HAIL - N OF MURPHYSBORO 2.5 MILES - AVA ROAD. DAMAGE TO CARS,ROOFS,SIDING. (PAH)
2203,100,4 N ELECTRA,WICHITA,TX,34.09,-98.92,(OUN)
2237,100,CALICO ROCK,IZARD,AR,36.13,-92.13,(LZK)
2242,100,AMBERG,MARINETTE,WI,45.5,-88,(GRB)
2245,100,MOUNT VERNON,JEFFERSON,IL,38.32,-88.91,QUARTER HAIL IN MT VERNON. (PAH)
2245,100,FRANKLIN,MORGAN,IL,39.62,-90.05,MARBLE TO QUARTER SIZED. (ILX)
2255,100,1 S BEXAR,MARION,AL,34.17,-88.15,QUARTER SIZED HAIL REPORTED ALONG COUNTY ROAD 13,SOUTHWEST OF INTERSTATE 22,EXIT 3. (BMX)
2300,250,5 S GUTHRIE,KING,TX,33.56,-100.32,(LUB)
2309,100,MORRIS,GRUNDY,IL,41.37,-88.43,UNION AND RT 6 (LOT)
2320,100,4 S ATLANTA,FULTON,GA,33.69,-84.4,MARBLE TO QUARTER SIZE HAIL WAS REPORTED BY THE MEDIA ON LANGFORD PARKWAY SOUTH OF DOWNTOWN ATLANTA (FFC)
2324,100,FAIRFIELD,WAYNE,IL,38.38,-88.37,HAIL SLIGHTLY BIGGER THAN QUARTER SIZE FALLING ON THE SOUTH SIDE OF FAIRFIELD. (PAH)
2336,100,HARRISBURG,SALINE,IL,37.74,-88.55,QUARTER HAIL IN HARRISBURG. INCREASED IN SIZE FROM PEA SIZE ABOUT 10 MIN AGO. (PAH)
2342,100,1 WSW DWIGHT,LIVINGSTON,IL,41.09,-88.44,(LOT)
2345,100,NNW WILLARD,GREENE,MO,37.31,-93.43,LARGEST HAILSTONE FOUND WAS THE SIZE OF A QUARTER. (SGF)
0107,100,1 E REIRADON HILL,LOGAN,CO,40.58,-103.01,(BOU)
0233,125,3 E WILLIAMSBURG,GRAND TRAVERSE,MI,44.77,-85.34,MOSTLY QUARTER SIZED OR LESS...A FEW HALF DOLLAR HAILSTONES (APX)
0252,100,CENTRAL LAKE,ANTRIM,MI,45.07,-85.26,TIME ESTIMATED FROM RADAR. (APX)
0255,100,2 NW PUEBLO,PUEBLO,CO,38.29,-104.64,AT KOAA (PUB)
