Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1558,UNK,HILLSBORO,MARION,KS,38.35,-97.2,A FEW POWER POLES WERE KNOCKED DOWN IN THE CITY OF HILLSBORO. (ICT)
1902,58,6 NE ESTERO,LEE,FL,26.54,-81.76,THE KRSW ASOS MEASURED A 50 KNOT THUNDERSTORM WIND GUST. (TBW)
1915,UNK,HARRISON,CUMBERLAND,ME,44.11,-70.68,TREES DOWN (GYX)
1933,UNK,MERCER,SOMERSET,ME,44.68,-69.94,BROKEN UTILITY POLE... MAIN ST (GYX)
1942,UNK,POLAND,ANDROSCOGGIN,ME,44.06,-70.39,TREES DOWN (GYX)
2033,UNK,SILVER LAKE,KOSCIUSKO,IN,41.07,-85.89,NUMEROUS TREES AND LIMBS DOWN (IWX)
2045,UNK,LIBERTY MILLS,WABASH,IN,41.03,-85.74,TWO LARGE TREES DOWN (IWX)
2045,UNK,HARRISON,CUMBERLAND,ME,44.11,-70.68,3-4 TELEPHONE POLES AND NUMEROUS TREES DOWN (GYX)
2048,UNK,8 SE MARANA,PIMA,AZ,32.34,-111.07,FIRE DEPARTMENT REPORTS POWER POLE DOWN ON INA BETWEEN 1-10 AND SILVERBELL (TWC)
2106,58,2 N HEREFORD,COCHISE,AZ,31.47,-110.19,(TWC)
2111,UNK,TUCSON,PIMA,AZ,32.24,-110.94,LARGE TREE DOWN AT SPEEDWAY AND STONE (TWC)
2320,UNK,ABOITE,ALLEN,IN,41,-85.32,TREE DOWN ON POWER LINES IN ABOITE. TIME ESTIMATED FROM RADAR. (IWX)
2356,60,3 W COATS,PRATT,KS,37.51,-98.88,(DDC)
0000,UNK,3 W COATS,PRATT,KS,37.51,-98.88,SEVERAL POWER LINES AND 2 TO 3 INCH TREE LIMBS DOWN. WINDS ESTIMATED AT 70 MPH. (DDC)
0040,70,7 SE ROZET,CAMPBELL,WY,44.21,-105.1,(UNR)
0115,UNK,5 S TURON,RENO,KS,37.74,-98.43,LARGE TREE DOWN AT SMOOTS CREEK ROAD AND BROWNLEE. (ICT)
0130,80,ARLINGTON,RENO,KS,37.9,-98.18,(ICT)
0210,UNK,1 W NICKERSON,RENO,KS,38.15,-98.11,TREE ON ROAD AT HIGHWAY 14 AND CENTENNIAL (ICT)
0324,80,5 SSE GALVA,MCPHERSON,KS,38.32,-97.5,(ICT)
0358,70,4 WSW HILLSBORO,MARION,KS,38.33,-97.27,LARGE TREE BRANCHES LARGER THAN YOUR WRIST BROKEN (ICT)
0358,UNK,HILLSBORO,MARION,KS,38.35,-97.2,LAW ENFORCEMENT REPORTS LARGE TREES DOWN IN HILLSBORO (ICT)
0516,UNK,AMERICUS,LYON,KS,38.51,-96.26,THREE INCH TREE LIMBS BLOWN DOWN. TIME ESTIMATED BASED ON RADAR DATA. (TOP)
0520,60,4 W EMPORIA,LYON,KS,38.41,-96.26,(TOP)
0526,UNK,OLPE,LYON,KS,38.26,-96.17,POWER LINE BLOWN DOWN. RELAYED BY KVOE. TIME ESTIMATED BASED ON RADAR DATA. (TOP)
0610,60,7 NE LE ROY,COFFEY,KS,38.16,-95.54,(TOP)
0610,UNK,8 NE LE ROY,COFFEY,KS,38.17,-95.53,THREE TREES UPROOTED. A SHED WAS DESTROYED AND A HOME DAMAGED WITH ATTIC WINDOW BLOWN OUT. (TOP)
0754,UNK,4 N DORA,DOUGLAS,MO,36.83,-92.22,A FEW TREES DOWN IN THE VICINITY OF HIGHWAY 14 AND FARM ROAD 181. (SGF)
0830,UNK,DORA,OZARK,MO,36.78,-92.22,MULTIPLE FOURTEEN TO TWENTY INCH DIAMETER TREES BLOWN OVER. TIME ESTIMATED. (SGF)
0911,UNK,4 N HALLTOWN,LAWRENCE,MO,37.25,-93.63,PHONE POLES REPORTED DOWN ALONG Z HIGHWAY. (SGF)
0911,UNK,2 N MORRISVILLE,POLK,MO,37.51,-93.42,A TRAILER HOUSE WAS PUSHED OFF OF ITS BLOCKS AND BROKE IN FOUR PLACES. (SGF)
0927,60,WILLARD,GREENE,MO,37.31,-93.43,(SGF)
0940,UNK,4 ESE SPRINGFIELD,GREENE,MO,37.17,-93.22,SEVERAL MATURE TREES REPORTED DOWN OR UPROOTED NEAR THE INTERSECTION OF FARM ROAD 199 AND MISSOURI HIGHWAY J. (SGF)
0948,UNK,4 SSE GALLOWAY,CHRISTIAN,MO,37.08,-93.21,TRACTOR TRAILER WAS BLOWN OFF THE ROAD ALONG HIGHWAY 65 BETWEEN THE CC HWY EXIT AND THE GREENE COUNTY LINE. DRIVER REPORTED TO BE UNINJURED. (SGF)
1010,60,FAIRBURN,CUSTER,SD,43.69,-103.21,(UNR)
1020,60,9 NNE OGLALA,SHANNON,SD,43.3,-102.66,(UNR)
1125,90,7 SSW BATESLAND,SHANNON,SD,43.04,-102.16,CORN AND WHEAT CROPS FLATTENED,BROKEN WINDOWS,BLEW COVER OFF HOT TUB (UNR)
1135,60,6 N GORDON,SHERIDAN,NE,42.89,-102.2,DIME TO NICKEL SIZE HAIL ALSO OCCURRED AT REPORT LOCATION. (LBF)
Time,Size,Location,County,State,Lat,Lon,Comments
1445,100,CLARENCE,ERIE,NY,42.98,-78.59,(BUF)
1546,100,KENT,ORLEANS,NY,43.33,-78.14,(BUF)
2345,150,5 ENE DOWNTOWN GILLETTE,CAMPBELL,WY,44.32,-105.4,VERY HEAVY RAIN WITH THE HAIL. (UNR)
2346,100,13 SSW SUNDANCE,CROOK,WY,44.23,-104.45,(UNR)
2356,100,3 W COATS,PRATT,KS,37.51,-98.88,THE HAIL WAS DIME TO QUARTER SIZE. (DDC)
2359,100,12 WNW FOUR CORNERS,WESTON,WY,44.16,-104.35,(UNR)
0002,100,6 NE STERLING,LOGAN,CO,40.71,-103.13,(BOU)
0011,175,6 N COATS,PRATT,KS,37.59,-98.81,(DDC)
0012,100,6 NNE ROZEL,PAWNEE,KS,38.28,-99.35,(DDC)
0043,100,8 E PRATT,PRATT,KS,37.65,-98.59,(DDC)
0150,100,3 SW ABBYVILLE,RENO,KS,37.94,-98.24,JUST A FEW NICKEL TO QUARTER SIZE HAIL STONES FALLING (ICT)
0158,150,5 NNE ROZEL,PAWNEE,KS,38.26,-99.37,THE HAIL WAS STILL ON THE GROUND AT 930 PM. (DDC)
0220,100,16 WNW LARNED,PAWNEE,KS,38.27,-99.37,(DDC)
0253,150,RUSH CENTER,RUSH,KS,38.46,-99.31,(DDC)
0443,100,HERINGTON,DICKINSON,KS,38.67,-96.94,(TOP)
0630,100,2 SSE DEERFIELD RESERVO,PENNINGTON,SD,43.99,-103.78,HALF-INCH HAIL VISIBLE 4 HOURS AFTER IT FELL (UNR)
0652,100,3 SE OTTAWA,FRANKLIN,KS,38.59,-95.22,(TOP)
0740,100,1 SE UPTON,WESTON,WY,44.09,-104.61,(UNR)
1020,125,9 NNE OGLALA,SHANNON,SD,43.3,-102.66,(UNR)
1115,100,3 NE WOUNDED KNEE,SHANNON,SD,43.18,-102.32,AT LEAST QUARTER SIZE...HAIL STILL ALONG ROAD TWO HOURS LATER (UNR)
1125,150,7 SSW BATESLAND,SHANNON,SD,43.04,-102.16,(UNR)
