Time,F_Scale,Location,County,State,Lat,Lon,Comments
0017,UNK,6 NNE ROY,HARDING,NM,36.03,-104.15,MEDIA STORM CHASER REPORTED A BRIEF TOUCHDOWN NORTH OF ROY (ABQ)
Time,Speed,Location,County,State,Lat,Lon,Comments
2325,UNK,8 W ARTESIA,Eddy,NM,32.85,-104.57,LARGE COTTONWOOD TREE UPROOTED BETWEEN 515 AND 530 PM MDT. (MAF)
0000,UNK,1 ESE ROCKY FORD,OTERO,CO,38.04,-103.7,66 MPH GUST. LARGE TREE LIMBS/BRANCHES DOWN (>2"). (PUB)
0245,67,7 SSE EAGLE VALLEY RESE,LINCOLN,NV,37.92,-114.17,MESONET SITE AT IMMIGRATION WASH MEASURED A 67 MPH WIND GUST. (VEF)
Time,Size,Location,County,State,Lat,Lon,Comments
2000,100,TYRONE,LAS ANIMAS,CO,37.45,-104.2,(PUB)
2022,175,7 NE GARDNER,HUERFANO,CO,37.86,-105.09,(PUB)
2030,100,3 NW IDLEDALE,JEFFERSON,CO,39.7,-105.28,(BOU)
2050,200,1 WSW LAKEWOOD,JEFFERSON,CO,39.69,-105.13,SEVERE DAMAGE TO VEHICLES (BOU)
2057,150,2 S BUCKLEY AFB,ARAPAHOE,CO,39.67,-104.76,(BOU)
2100,175,3 ENE BEULAH,PUEBLO,CO,38.09,-104.93,(PUB)
2101,150,5 ESE LOVELAND,LARIMER,CO,40.39,-104.98,(BOU)
2105,275,WHEAT RIDGE,JEFFERSON,CO,39.77,-105.1,LUTHERAN HOSPITAL (BOU)
2106,250,4 W DENVER,DENVER,CO,39.72,-105.04,(BOU)
2115,125,2 E BUCKLEY AFB,ARAPAHOE,CO,39.7,-104.71,(BOU)
2120,200,2 SE DEER TRAIL,ARAPAHOE,CO,39.6,-104.02,(BOU)
2125,100,2 NNE WESTMINSTER,ADAMS,CO,39.91,-105.04,(BOU)
2127,150,5 N DENVER,DENVER,CO,39.79,-104.97,QUARTER TO PING PONG BALL SIZED HAIL (BOU)
2127,100,1 ENE BRIGHTON,ADAMS,CO,39.99,-104.77,(BOU)
2129,200,N LAKEWOOD,JEFFERSON,CO,39.7,-105.11,(BOU)
2130,100,4 W GREELEY,WELD,CO,40.42,-104.82,(BOU)
2145,100,2 SSE FEDERAL HEIGHTS,ADAMS,CO,39.84,-105,(BOU)
2147,100,4 WSW GREELEY,WELD,CO,40.4,-104.81,(BOU)
2205,100,10 ENE BEULAH,PUEBLO,CO,38.12,-104.82,(PUB)
2218,100,7 SSE FORT SUMNER,DE BACA,NM,34.39,-104.19,(ABQ)
2235,100,9 S WESTCLIFFE,CUSTER,CO,38,-105.47,(PUB)
2244,150,FORT SUMNER,DE BACA,NM,34.48,-104.24,(ABQ)
2250,125,13 ENE CEDAR POINT,LINCOLN,CO,39.45,-103.61,(BOU)
2259,150,4 E FORT SUMNER,DE BACA,NM,34.47,-104.16,(ABQ)
2300,100,FOWLER,OTERO,CO,38.13,-104.02,YARD IS FLOODED. (PUB)
2300,100,8 S BOONE,PUEBLO,CO,38.13,-104.26,YARD IS FLOODED. (PUB)
2315,175,7 W HOUSE,QUAY,NM,34.65,-104.03,(ABQ)
2330,175,ROY,HARDING,NM,35.94,-104.2,(ABQ)
2342,100,10 ESE MAES,SAN MIGUEL,NM,35.63,-104.44,(ABQ)
0105,100,4 SSE MANZANOLA,OTERO,CO,38.05,-103.84,PEA TO QUARTER SIZED. (PUB)
0114,175,13 W KIM,LAS ANIMAS,CO,37.25,-103.59,(PUB)
0203,100,15 ESE PUERTO DE LUNA,GUADALUPE,NM,34.73,-104.38,(ABQ)
0212,175,4 W ROSWELL,CHAVES,NM,33.37,-104.6,(ABQ)
0235,150,CLEAR LAKE,CERRO GORDO,IA,43.14,-93.37,ROADS COVERED IN HAIL IN CLEAR LAKE. (DMX)
0412,100,7 N NEWKIRK,GUADALUPE,NM,35.17,-104.26,(ABQ)
