Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1622,UNK,2 SSW MARION,PERRY,AL,32.61,-87.33,MINOR ROOF DAMAGE TO TWO HOMES ALONG OAKCREST DRIVE DUE TO FALLEN TREES. (BMX)
1830,UNK,8 WSW BELLE MEADE,DAVIDSON,TN,36.05,-86.99,POWER LINES WERE BLOWN DOWN (OHX)
1845,UNK,5 SE HAMILTON,PEMBINA,ND,48.76,-97.37,HIGH WINDS SNAPPED A FLAGPOLE IN HALF AND STRIPPED SECTIONS OF SIDING FROM THE HOUSE. NUMEROUS BRANCHES DOWN OF INDETERMINATE SIZE. (FGF)
1903,70,HERRIN,WILLIAMSON,IL,37.8,-89.03,70 MPH WIND ESTIMATED. QUARTER SIZED HAIL. TREE LIMBS AND POSSIBLY SOME TREES FALLING INTO POWER LINES. (PAH)
1930,UNK,11 NNW NASHVILLE,DAVIDSON,TN,36.31,-86.87,STEEPLE AND SIDING WAS BLOWN OFF FIRST BAPTIST CHURCH IN JOELTON WITH DEBRIS BLOWN INTO PARKING LOT NEXT DOOR. REPORT VIA TSPOTTER AND FACEBOOK WITH TIME ESTIMATED. (OHX)
1959,UNK,CROMWELL,OHIO,KY,37.33,-86.8,A COUPLE TREES WERE DOWNED. (LMK)
2030,UNK,8 NNW CENTERVILLE,HICKMAN,TN,35.9,-87.48,TREES AND POWER LINES WERE BLOWN DOWN ON HIGHWAY 48N IN PINEWOOD (OHX)
2035,60,3 E HARRISBURG,SALINE,IL,37.74,-88.49,(PAH)
2040,UNK,3 W CHAPEL HILL,MARSHALL,TN,35.63,-86.75,TREES AND FIREWORKS TENT BLOWN DOWN. TIME ESTIMATED. (OHX)
2100,UNK,BOWLING GREEN,WARREN,KY,36.97,-86.44,TREE DOWN ON 31W NEAR THE I-65 EXCHANGE. (LMK)
2107,UNK,DUNLAP,SEQUATCHIE,TN,35.37,-85.39,SEVERAL TREES DOWN. (MRX)
2115,UNK,BOWLING GREEN,WARREN,KY,36.97,-86.44,TREE DOWN ACROSS BLUE LEVEL ROAD. (LMK)
