Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
2115,UNK,DANVILLE,VERMILION,IL,40.14,-87.62,POWERLINES DOWN IN THE CITY OF DANVILLE. (ILX)
2130,UNK,4 SSE COVINGTON,FOUNTAIN,IN,40.09,-87.36,POWER POLES DOWNED AT 1484 SOUTH STRINGTOWN RD. (IND)
2135,59,ROBINSON,CRAWFORD,IL,39.01,-87.74,(ILX)
2200,UNK,5 SW LAFAYETTE,TIPPECANOE,IN,40.36,-86.94,TREE AND LARGE LIMBS DOWNED. (IND)
2210,UNK,5 NW BAINBRIDGE,PUTNAM,IN,39.81,-86.88,CAR BLOWN OFF ROAD ON U.S. ROUTE 231. TIME APPROXIMATE. (IND)
2210,UNK,2 W LAKE BRUCE,PULASKI,IN,41.07,-86.5,PART OF A CENTER PIVOT IRRIGATION SYSTEM WAS ROLLED OVER. REPORTED AT 5500 E 75 N WINAMAC... IN. (IWX)
2215,UNK,GREENCASTLE,PUTNAM,IN,39.64,-86.84,ONE TREE DOWN WEST SIDE (IND)
2222,58,3 SSW LOGANSPORT,CASS,IN,40.71,-86.37,VIA KGGP ASOS STATION. (IWX)
2230,UNK,2 SE ADAMSBORO,CASS,IN,40.76,-86.23,A TREE IS BLOCKING OVER A LANE IN THE 6300 BLOCK OF LOGANSPORT ROAD. (IWX)
2233,65,ROCHESTER,FULTON,IN,41.06,-86.2,POWER OUTAGES. TREES KNOCKED DOWN. (IWX)
2237,UNK,ETNA GREEN,KOSCIUSKO,IN,41.28,-86.05,*** 1 INJ *** REPORT OF TREE DOWN ON VEHICLE WITH ONE PERSON INJURED. (IWX)
2243,63,1 SE MONOQUET,KOSCIUSKO,IN,41.27,-85.85,MEASURED BY ASOS AT AIRPORT. (IWX)
2245,UNK,BEAVER DAM LAKE,KOSCIUSKO,IN,41.09,-85.98,A FEW TREES CAME DOWN NEAR BEAVER DAM LAKE. (IWX)
2247,UNK,DEWART LAKE,KOSCIUSKO,IN,41.37,-85.79,TORE THE METAL ROOF OFF A BUILDING AND BLEW UP A TRANSFORMER. LOTS OF DEBRIS. (IWX)
2249,UNK,4 SSW BRISTOL,ELKHART,IN,41.67,-85.85,LARGE SPRUCE TREE UPROOTED. TIME ESTIMATED BY RADAR. (IWX)
2250,60,1 NNW BENTON,ELKHART,IN,41.52,-85.77,POWER OUT WITH TORRENTIAL RAIN. (IWX)
2302,60,BROOKLYN,MORGAN,IN,39.54,-86.37,TIME APPROXIMATE (IND)
2302,UNK,2 NE CARMEL,HAMILTON,IN,39.99,-86.08,LARGE TREE LIMBS DOWN. TIME APPROXIMATED. (IND)
2308,UNK,1 NW BENTON,ELKHART,IN,41.52,-85.78,LARGE TREE LIMBS DOWN. (IWX)
2310,UNK,2 SSE ERIE,MIAMI,IN,40.77,-85.97,POWER LINES DOWN ON CAR. . (IWX)
2310,60,1 ESE PEABODY,WHITLEY,IN,41.08,-85.47,. (IWX)
2337,UNK,1 WNW HOME CORNER,GRANT,IN,40.53,-85.66,4 TO 5 INCH IN DIAMETER TREES DOWN. (IWX)
2352,UNK,STANTON,HAYWOOD,TN,35.46,-89.4,MULTIPLE LARGE TREES DOWN ACROSS HWY 70 IN STANTON AND HWY 76 IN KOKO. (MEG)
2355,74,1 E BLUFFTON,WELLS,IN,40.74,-85.15,WIND MEASURED BY HANDHELD ANEMOMETER. (IWX)
2355,UNK,2 SSE JONESVILLE,HILLSDALE,MI,41.96,-84.65,WELL BUILT BARN DEMOLISHED... TREES DOWN... LARGE WOODEN SWING SET BLOWN AWAY. TIME ESTIMATED BY RADAR. . (IWX)
2359,UNK,2 ENE FAIRMOUNT,GRANT,IN,40.42,-85.62,POWER LINES AND TREE DOWN. (IWX)
0011,79,3 WNW JACKSON,JACKSON,MI,42.26,-84.46,ASOS STATION JACKSON COUNTY-REYNOLDS FIELD AIRPORT /JXN/. (GRR)
0025,UNK,JACKSON,MADISON,TN,35.63,-88.83,FALLEN LIMBS AND TREES DROPPED POWER LINES AROUND RUSSELL AND FOREST AVENUES IN JACKSON. (MEG)
0030,UNK,4 N CHELSEA,WASHTENAW,MI,42.37,-84.02,WIDESPREAD REPORTS OF TREE DAMAGE ACROSS WASHTENAW COUNTY (DTX)
0042,UNK,BRIGHTON,LIVINGSTON,MI,42.53,-83.78,NUMEROUS REPORTS OF TREES DOWN ALONG THE I-96 CORRIDOR BETWEEN BRIGHTON AND HOWELL (DTX)
0100,65,4 E DURAND,GENESEE,MI,42.91,-83.91,REPORT VIA TWITTER (DTX)
0110,UNK,FLINT,GENESEE,MI,43.02,-83.69,NUMEROUS REPORTS OF TREES AND POWER LINES THROUGHOUT THE COUNTY (DTX)
0155,59,BAD AXE,HURON,MI,43.8,-83,(DTX)
Time,Size,Location,County,State,Lat,Lon,Comments
