Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1430,UNK,RICEVILLE,MCMINN,TN,35.38,-84.7,*** 1 INJ *** SINGLE WIDE MOBILE HOME BLOWN OFF OF FOUNDATION ON COUNTY ROAD 100. TIME ESTIMATED. (MRX)
1430,UNK,ENGLEWOOD,MCMINN,TN,35.42,-84.49,TREES AND POWER LINES DOWN NEAR COUNTY ROAD 561 AND PINE STREET. TIME ESTIMATED. (MRX)
2025,UNK,3 WNW CANON,FRANKLIN,GA,34.36,-83.16,911 CALL CENTER REPORTED A TREE DOWN ON POWER LINES ON JACKSON BRIDGE RD NEAR THE SKATING RINK (GSP)
2045,UNK,HARTWELL,HART,GA,34.35,-82.93,911 CALL CENTER REPORTED A FEW SCATTERED TREES DOWN AROUND HARTWELL (GSP)
2145,UNK,MOUNT CARMEL,MCCORMICK,SC,34.01,-82.51,MCCORMICK CO DISPATCH REPORTED 2 TREES DOWN IN MT. CARMEL... ONE ON MARS BRIDGE RD AND ONE ON HWY 823. TIME ESTIMATED BASED ON RADAR. (CAE)
Time,Size,Location,County,State,Lat,Lon,Comments
2035,100,ROYSTON,FRANKLIN,GA,34.29,-83.11,SOCIAL MEDIA REPORTED QUARTER (1\") SIZE HAIL IN ROYSTON (GSP)
2100,125,1 W RUCKERSVILLE,ELBERT,GA,34.17,-82.8,TRAINED SPOTTER REPORTED HALF DOLLAR (1.25\") SIZE HAIL IN RUCKERSVILLE (GSP)
