Time,F_Scale,Location,County,State,Lat,Lon,Comments
2358,UNK,3 W MIDDLE FORK,CARROLL,TN,35.87,-88.55,A BRIEF TORNADO OCCURRED IN SOUTHWEST CARROLL COUNTY WEDNESDAY EVENING BETWEEN THE COMMUNITIES OF HUNTINGDON AND CEDAR GROVE. THIS TORNADO PRODUCED WIDESPREAD TREE DAMA (MEG)
0015,UNK,1 ENE RANSON,JEFFERSON,WV,39.3,-77.85,BRIEF EF-0 TORNADO. SIGN DAMAGED AT JEFFERSON CROSSING SHOPPING CENTER. BARNS DAMAGED AT HOLLYWOOD CASINO AT CHARLES TOWN RACES. (LWX)
0158,UNK,5 NW MCEWEN,HUMPHREYS,TN,36.16,-87.68,A WEAK EF0 TORNADO OCCURRED IN NORTHERN HUMPHREYS COUNTY. THE MAJORITY OF THE DAMAGE WAS CONFINED TO UPROOTED AND SNAPPED TREES. MINOR STRUCTURAL DAMAGE ALSO OCCURRED W (OHX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1800,UNK,2 WNW TRION,CHATTOOGA,GA,34.55,-85.33,EMERGENCY MANAGEMENT REPORTED SEVERAL LARGE TREES EITHER SNAPPED OR UPROOTED NEAR THE INTERSECTION OF CREEKSIDE DRIVE AND TATE ROAD NW OF TRION. TIME ESTIMATED FROM RAD (FFC)
1905,UNK,1 NNE FAYETTEVILLE,LINCOLN,TN,35.17,-86.56,A TREE WAS BLOWN DOWN ON MORTON DRIVE. (HUN)
1920,UNK,2 ESE SAWMILLS,CALDWELL,NC,35.81,-81.46,911 CALL CENTER REPORTED TWO MOBILE HOMES DESTROYED BY FALLING TREES ON PIBS LANE. ALSO A GARAGE DAMAGED IN THE SAME AREA. NUMEROUS TREES BLOWN DOWN. (GSP)
1925,UNK,4 NE FAYETTEVILLE,LINCOLN,TN,35.18,-86.5,POWER LINES DOWNED. REPORTED BY MEDIA. (HUN)
1930,UNK,2 NE SOUTH HILL,MECKLENBURG,VA,36.75,-78.11,ROOF OF A FURNITURE STORE WAS DAMAGED ALONG N MECKLENBURG AVE. THERE WAS ALSO MINOR ROOF DAMAGE TO A MOBILE HOME ON UNION MILL ROAD. POSSIBLE WEAK TORNADO WAS SIGHTED I (AKQ)
1935,UNK,1 NW GRANITE FALLS,CALDWELL,NC,35.81,-81.44,TREE DOWN ON A MOBILE HOME ON PROVIDENCE ST IN GRANITE FALLS. (GSP)
1955,UNK,GADSDEN,ETOWAH,AL,34.01,-86.01,SEVERAL REPORTS OF TREES AND POWER LINES DOWN THROUGHOUT THE CITY OF GADSDEN. GADSDEN AIRPORT AWOS REPORTED A 44MPH GUST AS THE STORMS MOVED THROUGH. (BMX)
1957,UNK,6 NNW HUNTLAND,FRANKLIN,TN,35.14,-86.29,TREE BLOWN DOWN AT 165 FARRIS CREEK BRIDGE RD. (HUN)
2000,UNK,2 NNW PEE DEE CROSSROAD,HORRY,SC,33.87,-79.23,8X10 SHED DESTROYED... 3 HORSE STALL SHEDS DESTROYED... SHINGLES TORN OFF HOME (ILM)
2000,UNK,4 ESE MARION,MCDOWELL,NC,35.66,-81.94,TREES AND POWERLINES DOWN ON THE 1200 BLOCK OF DEACON DR. (GSP)
2002,UNK,1 ENE ESTILL SPRINGS,FRANKLIN,TN,35.27,-86.12,TREES BLOWN DOWN ON BETH PAGE RD. (HUN)
2005,UNK,1 NNW RUFFNER MOUNTAIN,JEFFERSON,AL,33.57,-86.7,TREES DOWN AT RUTHERFORD CIRCLE IN BIRMINGHAM (ROEBUCK SPRINGS). VIA SOCIAL MEDIA. (BMX)
2024,UNK,4 ESE MARION,MCDOWELL,NC,35.67,-81.94,POWER LINES DOWN ON ROADWAY ON BURMA RD E (GSP)
2036,UNK,3 WNW MORGANTON,BURKE,NC,35.75,-81.75,NUMEROUS LARGE LIMBS DOWN AT NC HWY 126 AND LA FORET DR. (GSP)
2039,UNK,3 E MARION,MCDOWELL,NC,35.69,-81.96,TREES DOWN ON NC HWY 226 S AND AG SERVICES RD. (GSP)
