Time,F_Scale,Location,County,State,Lat,Lon,Comments
1212,UNK,4 ENE TOLEDO BEND DAM,VERNON,LA,31.19,-93.5,BRIEF TORNADO TOUCHED DOWN JUST WEST OF HIGHWAY 111 AND CROSSED HIGHWAY 111 JUST SOUTH OF THE INTERSECTION OF HIGHWAY 392 WHERE IT SNAPPED SEVERAL PINE TREES. THE TORNA (LCH)
1615,UNK,6 S CROWLEY,ACADIA,LA,30.13,-92.36,EF-1 TORNADO WITH WINDS ESTIMATED AT 104 MPH TOUCHED DOWN ALONG HWY 13 SOUTH OF CROWLEY AND QUICKLY LIFTED. SEVERAL TREES SNAPPED ALONG THE PATH OF THE TORNADO. TIME ES (LCH)
1629,UNK,5 W BENTONIA,YAZOO,MS,32.64,-90.45,THIS WEAK BRIEF TORNADO TOUCHED DOWN NEAR SADLER ROAD AND MOVED EAST TO HARALSON LANE. AROUND A DOZEN TREES HAD LARGE LIMBS BROKEN OFF... SNAPPED WITH A FEW SMALLER TRE (JAN)
Time,Speed,Location,County,State,Lat,Lon,Comments
1214,UNK,4 ENE TOLEDO BEND DAM,VERNON,LA,31.19,-93.5,VERNON PARISH SHERIFF DEPARTMENT SOCIAL MEDIA PAGE SHARED SEVERAL PICTURES OF TREE DAMAGE WITH NUMEROUS SNAPPED TREES ON LA-111 JUST SOUTH OF LA-392. TORNADO POSSIBLE. (LCH)
1439,UNK,6 E BASKIN,FRANKLIN,LA,32.25,-91.65,MULTIPLE TREES DOWNED ON LA 577/BASKIN CROWVILLE RD WEST OF CROWVILLE. (JAN)
1441,UNK,GILBERT,FRANKLIN,LA,32.05,-91.66,MANY TREES AND SOME POWER LINES DOWN. (JAN)
1525,UNK,4 NE TALLULAH,MADISON,LA,32.46,-91.14,*** 1 INJ *** WIND BLOW A CAR OFF THE ROAD INTO A DITCH AND CRASHED. A CHILD WAS TRAPPED AND INJURED. (JAN)
1547,UNK,1 NNW VICKSBURG,WARREN,MS,32.35,-90.88,ROOF DAMAGE AT THE CENTRAL FIRE STATION. (JAN)
1616,UNK,3 SSE SATARTIA,YAZOO,MS,32.63,-90.53,TREE WAS BLOWN DOWN ONTO A HOME ON POTTERS RIDGE ROAD IN THE PHOENIX COMMUNITY. (JAN)
1620,UNK,2 S LOUISE,HUMPHREYS,MS,32.96,-90.59,POWER LINES DOWN NEAR MT. ZION CHURCH. (JAN)
1623,UNK,10 N BOLTON,HINDS,MS,32.49,-90.49,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 10 N BOLTON. A TREE WAS BLOWN DOWN AT COX FERRY AND FRANK HALL ROADS IN THE BROWNSVILLE AREA. (JAN)
1626,UNK,SILVER CITY,HUMPHREYS,MS,33.1,-90.49,TELEPHONE POLE AND POWER LINES DOWN. (JAN)
1635,UNK,2 ENE YAZOO CITY,YAZOO,MS,32.88,-90.38,A TREE WAS BLOWN DOWN ON A HOUSE ON WILDWOOD TERRACE EXT IN YAZOO CITY. (JAN)
1638,UNK,1 WNW CHURCH POINT,ACADIA,LA,30.41,-92.23,PICTURES AND LOCAL NEWS VIDEO OF A TREE DOWN OVER W. MARTIN LUTHER KING DR. TIME ESTIMATED BY RADAR. (LCH)
1641,UNK,6 N CLINTON,HINDS,MS,32.43,-90.35,TREES AND LINES DOWN ALONG CLINTON-TINNIN RD. (JAN)
1646,UNK,8 NE FLORA,MADISON,MS,32.63,-90.22,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 8 NE FLORA. TREES AND LINES DOWN ALONG VIRLILIA RD. (JAN)
1651,UNK,3 NE VICKSBURG,WARREN,MS,32.36,-90.84,MULTIPLE TREES WERE DOWNED AT THE VICKSBURG NATIONAL MILITARY PARK... SOME BLOCKING THE TOUR ROAD. (JAN)
1703,UNK,2 NNW CARENCRO,LAFAYETTE,LA,30.34,-92.06,SOCIAL MEDIA POSTING SHOWING DAMAGE... PRIMARILY DOWNED TREES AND LIMBS... OFF OF LABUTTE ST. OUTSIDE CARENCRO. TIME ESTIMATED BY RADAR. (LCH)
1706,UNK,1 WNW LEXINGTON,HOLMES,MS,33.12,-90.06,A FEW TREES DOWN WITH ONE BLOCKING HWY 12... JUST WEST OF TOWN. (JAN)
1710,UNK,5 S PICKENS,MADISON,MS,32.82,-89.96,TREES AND LINES DOWN NEAR OLD HWY 51 RD AND OAKS RD. (JAN)
1714,UNK,1 S KAPLAN,VERMILION,LA,29.99,-92.28,SOCIAL MEDIA PHOTO OF ROOF BLOWN OFF OF A TRAILER AND ONTO AN ADJACENT VEHICLE ON SOUTH FREDERICK AVE. IN KAPLAN. TIME ESTIMATED BY RADAR. (LCH)
1735,UNK,2 ESE SALLIS,ATTALA,MS,33.01,-89.73,TREES AND LINES DOWN ALONG SALLIS-MCADAMS RD. (JAN)
1815,UNK,3 WNW ST. MARTINVILLE,ST. MARTIN,LA,30.13,-91.89,TERRACE HWY. CLOSED NEAR AUBREY-OZENNE RD. DUE TO A TREE DOWN ACROSS THE HIGHWAY. TIME ESTIMATED BY RADAR. (LCH)
2315,UNK,3 W THOMASVILLE,CLARKE,AL,31.91,-87.79,TREES DOWN NEAR HARPER HILL RD AND TALLAHATTA SPRINGS ROADS WEST OF THOMASVILLE. (MOB)
Time,Size,Location,County,State,Lat,Lon,Comments
1941,100,2 NNW UNIVERSITY OF WES,SUMTER,AL,32.62,-88.2,NICKEL TO QUARTER SIZE HAIL REPORTED IN LIVINGSTON... LARGEST HAIL REPORTED JUST EAST OF EXIT 17 ON INTERSTATE 20/59. (BMX)
