Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0520,UNK,4 W PITTSBURG,HICKORY,MO,37.83,-93.37,DAMAGE REPORTED TO THE ROOF OF A DOCK AT THE BELL HARBOR RESORT. (SGF)
0655,UNK,4 E DRAKE,GASCONADE,MO,38.47,-91.39,AT LOST VALLEY LAKE RESORT...PART OF TIN ROOF REMOVED FROM OUTBUILDING...SEVERAL 1 FOOT DIAMETER TREES EITHER UPROOTED OR SNAPPED AT THE BASE. (LSX)
0745,58,ST. JOSEPH,CHAMPAIGN,IL,40.11,-88.04,SWOP REPORT (ILX)
0750,UNK,TOWN AND COUNTRY,ST. LOUIS,MO,38.62,-90.48,LARGE PINE TREE WAS BLOWN DOWN. DO STRUCTURAL DAMAGE WAS REPORTED. (LSX)
0840,UNK,BELLEVILLE,ST. CLAIR,IL,38.53,-90,WIND DAMAGED AN OUTBUILDING AT BELLEVILLE WEST HIGH SCHOOL. TIME ESTIMATED FROM RADAR. (LSX)
0908,UNK,MILLSTADT,ST. CLAIR,IL,38.46,-90.09,POWER LINES DOWN...TIME APPROXIMATE. (LSX)
0908,UNK,BREESE,CLINTON,IL,38.61,-89.52,2 FOOT DIAMETER LIMB BLOWN DOWN. (LSX)
0911,60,AVISTON,CLINTON,IL,38.61,-89.61,LAWN FURNITURE BLOWN OVER. (LSX)
0925,UNK,NW LEBANON,LACLEDE,MO,37.69,-92.67,THE RUBBERIZED ROOF ON THE JUNIOR HIGH SCHOOL AUDITORIUM WAS ROLLED UP AND DAMAGED. THERE WAS ROOF SHINGLE DAMAGE TO A PORCH OF A HOUSE ACROSS THE STREET FROM THE SCHOO (SGF)
1116,UNK,10 W BLOOMINGTON,GREENE,IN,39.17,-86.71,TREE OR TREE LIMBS WERE BLOWN DOWN ON SHERFIELD ROAD. TIME IS ESTIMATED. (IND)
1120,UNK,3 S PARAGON,MORGAN,IN,39.35,-86.56,SEVERAL TREES BLOW DOWN (IND)
1120,UNK,5 W GREENWOOD,JOHNSON,IN,39.62,-86.21,SIDING REMOVED FROM THE SOUTH SIDE OF A HOME IN A NEIGHBORHOOD OFF OF SMITH VALLEY ROAD. (IND)
1120,UNK,1 N LAWRENCE,MARION,IN,39.88,-85.99,TREES DOWNED ON BOY SCOUT ROAD. (IND)
1135,UNK,BLOOMINGTON,MONROE,IN,39.17,-86.52,THREE TREES WERE BLOWN DOWN ALONG STATE ROUTE 45...TWO AT RUSSEL ROAD...THE OTHER WAS FURTHER OUT OF TOWN TO THE SOUTHWEST BUT AT THE SECOND INTERESECTION OF SR 45 AND (IND)
1139,UNK,3 NE MOORESVILLE,HENDRICKS,IN,39.65,-86.33,UTILITY LINES DOWN ON COUNTY ROAD 825 E AND HENDRICKS COUNTY ROAD (IND)
1158,UNK,BELGRADE,WASHINGTON,MO,37.79,-90.85,CARPORT PICKED UP AND BLOWN ACROSS FRONT YARD. (LSX)
Time,Size,Location,County,State,Lat,Lon,Comments
0545,100,4 W PITTSBURG,HICKORY,MO,37.83,-93.37,(SGF)
0545,100,IBERIA,MILLER,MO,38.09,-92.29,(SGF)
0650,175,WARRENTON,WARREN,MO,38.82,-91.14,REPORTED BY TROOP C. (LSX)
0655,125,IBERIA,MILLER,MO,38.09,-92.29,QUARTER TO HALF DOLLAR SIZE HAIL (SGF)
0715,100,FLINT HILL,ST. CHARLES,MO,38.85,-90.86,(LSX)
0722,100,OWENSVILLE,GASCONADE,MO,38.35,-91.5,IN SOUTHWEST PART OF TOWN. (LSX)
0733,100,5 N VICHY,MARIES,MO,38.18,-91.76,QUARTER SIZE HAIL COVERING THE GROUND 1 MILE NORTH OF VICHY/ROLLA AIRPORT. (SGF)
0818,100,SUNSET HILLS,ST. LOUIS,MO,38.54,-90.42,(LSX)
0828,125,MARYVILLE,MADISON,IL,38.73,-89.96,(LSX)
0838,100,LONEDELL,FRANKLIN,MO,38.31,-90.83,(LSX)
0907,100,AVISTON,CLINTON,IL,38.61,-89.61,(LSX)
0920,100,3 SSE ELDRIDGE,LACLEDE,MO,37.79,-92.73,(SGF)
0921,100,CARLYLE,CLINTON,IL,38.62,-89.37,(LSX)
0927,150,FREEBURG,ST. CLAIR,IL,38.43,-89.91,HAIL COVERING GROUND. (LSX)
0935,100,RICHLAND,PULASKI,MO,37.86,-92.4,(SGF)
1015,100,3 E ROLLA,PHELPS,MO,37.95,-91.72,(SGF)
1113,100,COLLINSVILLE,MADISON,IL,38.68,-90,(LSX)
1115,100,OLNEY,RICHLAND,IL,38.73,-88.09,FROM SWOP. (ILX)
1143,100,1 W CARLYLE,CLINTON,IL,38.62,-89.39,(LSX)
