Time,F-Scale,Location,County,State,Lat,Lon,Comments
0642,UNK,10 SSW MIAMI,GRAY,TX,35.55,-100.7,THE TORNADO FIRST TOUCHED DOWN ON STATE HIGHWAY 152 AND WAS ON THE GROUND FOR 13 MILES WITH A MAXIMUM WIDTH OF 100 YARDS. THE TORNADO DISSIPATED AT 103 AM CST IN EXTREM (AMA)
Time,Speed,Location,County,State,Lat,Lon,Comments
0500,UNK,TROUP,CHEROKEE,TX,32.14,-95.12,TWO 100 FOOT TALL PINE TREES FELL ONTO A HOME IN TROUP...DESTROYING TWO BEDROOMS. (SHV)
0505,UNK,1 E TROUP,SMITH,TX,32.14,-95.11,SPOTTER REPORTS A 10 INCH DIAMETER TREE WAS DOWNED ON FM 15 JUST EAST OF TROUP. (SHV)
0700,65,4 SE ALVA,WOODS,OK,36.76,-98.62,SMALL HAIL WAS ALSO REPORTED. (OUN)
0711,74,17 SW CANADIAN,ROBERTS,TX,35.74,-100.6,(AMA)
Time,Size,Location,County,State,Lat,Lon,Comments
1810,175,10 E KINGMAN,KINGMAN,KS,37.65,-97.93,(ICT)
0210,100,WHEELER,WHEELER,TX,35.44,-100.28,(AMA)
0227,100,1 W LAKE MEREDITH,MOORE,TX,35.65,-101.68,(AMA)
0230,100,1 NNE STINNETT,HUTCHINSON,TX,35.84,-101.44,PEA TO QUARTER SIZE HAIL (AMA)
0252,100,STINNETT,HUTCHINSON,TX,35.82,-101.44,PEA TO QUARTER SIZE HAIL COVERING THE GROUND (AMA)
0325,100,9 S SPEARMAN,HANSFORD,TX,36.07,-101.19,QUARTER SIZE HAIL (AMA)
0342,150,1 N FREEDOM,WOODS,OK,36.78,-99.11,(OUN)
0344,125,5 S BOOKER,LIPSCOMB,TX,36.38,-100.54,QUARTER TO HALF DOLLAR SIZE HAIL (AMA)
0350,100,5 S AMARILLO,RANDALL,TX,35.13,-101.82,(AMA)
0353,175,10 N AMARILLO,POTTER,TX,35.35,-101.82,GOLFBALL SIZE HAIL AT RIVIERA PARK. (AMA)
0358,100,DIMMITT,CASTRO,TX,34.55,-102.31,KVII-TV RECEIVED THIS REPORT VIA THEIR FACEBOOK PAGE (LUB)
0415,125,8 NW ALVA,WOODS,OK,36.88,-98.77,(OUN)
0500,175,TROUP,CHEROKEE,TX,32.14,-95.12,HAIL NEAR OR LARGER THAN THE SIZE OF GOLFBALLS FELL IN TROUP ON THE SMITH/CHEROKEE COUNTY LINE. (SHV)
0546,100,PANHANDLE,CARSON,TX,35.35,-101.38,(AMA)
0925,100,3 E EL DORADO,BUTLER,KS,37.82,-96.8,NICKEL TO QUARTER SIZED HAIL WITH 100 PERCENT COVERAGE ON THE GROUND. TIME ESTIMATED FROM RADAR. (ICT)
