Time,F_Scale,Location,County,State,Lat,Lon,Comments
2307,UNK,2 NW JARRETTSVILLE,HARFORD,MD,39.63,-76.5,NWS HAS CONFIRMED THAT AN EF-0 TORNADO WITH MAX WINDS OF 80 MPH CAUSED TREE AND MINOR ROOFING DAMAGE FRIDAY EVENING BETWEEN 707 PM AND 712 PM. PATH LENGTH 1.2 MILES. A (LWX)
0000,UNK,1 SSE FERNGLEN,LANCASTER,PA,39.8,-76.26,TORNADO CONFIRMED...FERNGLEN IN DRUMORE TWP TO PARADISE IN PARADISE TWP. EF1. (CTP)
Time,Speed,Location,County,State,Lat,Lon,Comments
2309,UNK,2 WNW JARRETTSVILLE,HARFORD,MD,39.61,-76.5,DAMAGE TO GAZEBO NEAR INTERSECTION OF ROUTE 23 AND SALEM CHURCH ROAD. (LWX)
2350,UNK,4 ENE HOLTWOOD,LANCASTER,PA,39.84,-76.26,BARN COLLAPSE IN DREWMORE TOWNSHIP (CTP)
0030,UNK,PARADISE,LANCASTER,PA,40.01,-76.12,MOBILE HOME COLLAPSE - PEOPLE TRAPPED (CTP)
Time,Size,Location,County,State,Lat,Lon,Comments
2230,100,MILLERS,CARROLL,MD,39.67,-76.85,(LWX)
0500,100,WARRENSBURG,WARREN,NY,43.5,-73.78,SEVERAL HAIL STONES WERE 1 INCH...MOST WERE HALF INCH SIZE. (ALY)
