Time,F-Scale,Location,County,State,Lat,Lon,Comments
2236,UNK,2 WNW CORNLEA,PLATTE,NE,41.69,-97.6,TORNADO DAMAGED A FARMSTEAD 2 MILES WEST AND 1 MILE NORTH OF CORNLEA. HOUSE HAD ROOF TAKEN OFF AND MOST OF WALLS COLLAPSED. TIME APPROXIMATE. INFORMATION MAY BE UPDATED (OAX)
0007,UNK,RIB MOUNTAIN,MARATHON,WI,44.91,-89.68,CONFIRMED TORNADO BY LAW ENFORCEMENT. (GRB)
Time,Speed,Location,County,State,Lat,Lon,Comments
1602,61,1 NNW KEY BISCAYNE,MIAMI-DADE,FL,25.7,-80.17,VIRGINIA KEY - SITE VIK - RECORDED A WIND GUST TO 53 KNOTS...OR 61 MPH. SITE ELEVATION APPROX. 70 FEET. (MFL)
1729,UNK,MEDFORD,BURLINGTON,NJ,39.9,-74.82,LARGE LIMBS DOWN (PHI)
1754,UNK,MANSFIELD TWP,BURLINGTON,NJ,40.08,-74.72,WIRES REPORTED DOWN IN MANSFIELD. (PHI)
1829,UNK,JAMISON,BUCKS,PA,40.25,-75.09,LARGE TREE LIMBS DOWN (PHI)
1857,UNK,HILLTOWN TWP,BUCKS,PA,40.34,-75.25,TREES REPORTED DOWN IN HILLTOWN. (PHI)
1907,60,PERKASIE,BUCKS,PA,40.37,-75.29,(PHI)
1928,UNK,WHITEHALL TWP,LEHIGH,PA,40.66,-75.51,LARGE TREE LIMBS DOWN AND ONE TREE DOWN IN THE WHITEHALL... SOUTH WHITEHALL AND CATASAUQUA AREA OF LEHIGH COUNTY. (PHI)
2050,UNK,1 N EAU GALLE,DUNN,WI,44.71,-92.01,NUMEROUS TREES DOWN. (MPX)
2100,UNK,FOUNTAIN,FILLMORE,MN,43.74,-92.13,UTILITY POLES BLOWN DOWN ON MAIN STREET (ARX)
2125,64,HARMONY,FILLMORE,MN,43.56,-92.01,(ARX)
2126,UNK,2 W HARMONY,FILLMORE,MN,43.56,-92.05,TREES DOWN 2.5 MILES WEST OF HARMONY. (ARX)
2130,UNK,2 N EAU CLAIRE,EAU CLAIRE,WI,44.85,-91.49,TREES DOWN...ONE OVER 3 FEET IN DIAMETER. SOME TREES DOWN ON BUILDINGS CAUSING STRUCTURAL DAMAGE. RV FLIPPED OVER AND MULTIPLE POWER LINES DOWN. TIME APPROXIMATE. (MPX)
2130,UNK,6 WSW CHIPPEWA FALLS,CHIPPEWA,WI,44.92,-91.5,MULTIPLE REPORTS OF TREES DOWN FROM CHIPPEWA FALLS TO THE NORTH SIDE OF EAU CLAIRE. TIME APPROXIMATE. (MPX)
2144,UNK,SUMNER,BREMER,IA,42.85,-92.1,NUMEROUS LARGE TREES DOWNED FROM STRONG WINDS (DMX)
2145,UNK,CHIPPEWA FALLS,CHIPPEWA,WI,44.93,-91.39,NUMEROUS 18 TO 24 INCH DIAMETER TREES UPROOTED. (MPX)
2148,UNK,ARCADIA,TREMPEALEAU,WI,44.25,-91.49,SEVERAL TREES BLOWN DOWN (ARX)
2154,UNK,2 NNW HAWKEYE,FAYETTE,IA,42.96,-91.97,MULTIPLE TREES DOWN ALONG HWY 18 AND A UTILITY POLE SNAPPED ALONG W14 NORTH OF TOWN. (ARX)
2158,65,HAWKEYE,FAYETTE,IA,42.94,-91.95,WIND DAMAGE TO POWER LINES...BUILDINGS AND TREES FROM HAWKEYE AREA TO WEST UNION AND ST LUCAS (ARX)
2203,60,PLEASANTVILLE,TREMPEALEAU,WI,44.45,-91.3,MARBLE SIZED HAIL ALSO. (ARX)
2205,UNK,WINONA,WINONA,MN,44.05,-91.66,WIDESPREAD TREE DAMAGE IN WINONA. (ARX)
2210,UNK,10 N THORP,TAYLOR,WI,45.1,-90.8,NUMEROUS TREES AND POWERLINES DOWN. ALONG COUNTY HIGHWAY H AND MILLER AVENUE. (ARX)
2218,UNK,FRANKVILLE,WINNESHIEK,IA,43.18,-91.64,A NUMBER OF TREES DOWN IN FRANKVILLE (ARX)
2225,70,4 SE WATERLOO,BLACK HAWK,IA,42.45,-92.31,MEASURED BY IDOT RWIS (DMX)
2225,UNK,WATERLOO,BLACK HAWK,IA,42.49,-92.35,UPROOTED 3 FOOT IN DIAMETER TREE AT ORANGE ELEMENTARY SCHOOL...NUMEROUS LARGE TREE BRANCHES DOWNED NEAR SCHOOL ALONG WASHINGTON STREET (DMX)
2228,UNK,3 ENE FRANKLIN,JACKSON,WI,44.24,-91.06,TREE DOWN ON ROAD AT COUNTY C AND HAMMOND ROAD. REPORT RECEIVED BY SHERIFF. (ARX)
2240,UNK,2 WSW NORTH PORT,SARASOTA,FL,27.04,-82.23,POSSIBLE TORNADO IN THE HOLIDAY MOBILE HOME PARK IN NORTH PORT OFF OF U.S. 41 AND TUSCOLA BOULEVARD. INITIAL REPORT OF ONE MOBILE HOME WITH THE ROOF TORN OFF AND THREE (TBW)
2240,UNK,INDEPENDENCE,BUCHANAN,IA,42.47,-91.89,SEVERAL TREES AND POWER LINES DOWN IN THE CITY OF INDEPENDENCE. (DVN)
2245,UNK,3 W PRENTICE,PRICE,WI,45.54,-90.35,TWO 10 INCH DIAMETER TREES DOWN ON HIGHWAY 8 (DLH)
2258,UNK,STEWARTSVILLE,DEKALB,MO,39.75,-94.5,FIRE DEPT REPORTED POWER POLE BLOWN DOWN. LINES DOWN. (EAX)
2310,UNK,4 NE HATFIELD,CLARK,WI,44.46,-90.67,TREE DOWN ACROSS RIVIERA AT HIGHWAY 95. (ARX)
2310,UNK,2 S LYNN,CLARK,WI,44.55,-90.42,TREE DOWN AT W366 STARR ROAD. APPROXIMATE TIME VIA RADAR. SHERIFF REPORT RECEIVED FROM PUBLIC AT 743P. (ARX)
2315,60,1 NE SPENCER,MARATHON,WI,44.77,-90.27,HEAVY RAINFALL AND SMALL HAIL ALSO REPORTED. (GRB)
2315,UNK,4 W LONGWOOD,CLARK,WI,44.88,-90.68,TREE DOWN ON ROAD AT RESEWOOD AVE AND COLBY FACTORY ROAD. APPROXIMATE TIME VIA RADAR. SHERRIFF REPORT RECEIVED FROM PUBLIC AT 641 PM. (ARX)
2322,UNK,LAC DU FLAMBEAU,VILAS,WI,45.96,-89.88,SEVERAL TREES DOWN. (GRB)
2330,UNK,2 S DORCHESTER,CLARK,WI,44.97,-90.33,TREE DOWN ON PINE ROAD AND HILINE ROAD. APPROXIMATE TIME VIA RADAR. SHERIFF REPORT RECEIVED FROM PUBLIC AT 655 PM. (ARX)
2345,UNK,PRESQUE ISLE,VILAS,WI,46.25,-89.73,TREES DOWN ON THE EAST SIDE OF PRESQUE ISLE. TIME ESTIMATED FROM RADAR. REPORT RELAYED BY WJFW. (GRB)
2348,UNK,2 WNW HALDER,MARATHON,WI,44.8,-89.89,TREES AND BRANCHES BLOWN DOWN NEAR STRATFORD (GRB)
0032,UNK,PLOVER,PORTAGE,WI,44.45,-89.53,SEVERAL TREES DOWN-RELAYED FROM PORTAGE SHERRIF DEPT. (GRB)
0105,UNK,PLOVER,PORTAGE,WI,44.45,-89.53,SEVERAL TREES DOWN-RELAYED FROM PORTAGE SHERRIF DEPT. (GRB)
0135,60,3 W MARION,WAUPACA,WI,44.66,-88.95,(GRB)
Time,Size,Location,County,State,Lat,Lon,Comments
1707,100,ATCO,CAMDEN,NJ,39.77,-74.89,QUARTER SIZE HAIL REPORTED IN BLACKWOOD. (PHI)
1729,100,CLEMENTON,CAMDEN,NJ,39.8,-74.99,(PHI)
1903,100,WEST ROCKHILL TWP,BUCKS,PA,40.37,-75.35,(PHI)
2055,100,3 NW ACKLEY,FRANKLIN,IA,42.58,-93.09,FROM NSSL SHAVE (DMX)
2100,100,3 S DUMONT,BUTLER,IA,42.7,-92.98,(DMX)
2110,100,1 NW PARKERSBURG,BUTLER,IA,42.58,-92.8,NSSL SHAVE (DMX)
