Time,F-Scale,Location,County,State,Lat,Lon,Comments
1205,UNK,NEWBURGH,WARRICK,IN,37.95,-87.4,POSSIBLE TORNADO REPORTED BY STATE TROOPER NEAR THE COMMUNITY OF NEWBURGH. (PAH)
1240,UNK,MADISONVILLE,HOPKINS,KY,37.34,-87.51,TORNADO ON THE GROUND REPORTED AT EXIT 44 ALONG THE PENNYRILE PARKWAY. (PAH)
1445,UNK,GREENVILLE,MUHLENBERG,KY,37.21,-87.18,*** 1 INJ *** A TORNADO TOUCHED DOWN FROM GREENVILLE TO CLEATON KY...PATH LENGTH WAS 5.4 MILES. PEAK WINDS WERE 120 MPH...EF2 RATING...AVERAGE PATH WIDTH WAS 180 YARDS. (PAH)
1456,UNK,2 SE ELIZABETHTOWN,HARDIN,KY,37.68,-85.85,SIGNIFICANT DAMAGE TO HOMES AND BUSINESSES. EF-2 DAMAGE HAS BEEN CONFIRMED BY A SURVEY TEAM. (LMK)
1508,UNK,2 SE ELIZABETHTOWN,HARDIN,KY,37.68,-85.85,SIGNIFICANT DAMAGE TO HOMES AND BUSINESSES. SURVEY TEAM AT SITE. (LMK)
1542,UNK,6 SE CLARKSON,GRAYSON,KY,37.43,-86.14,*** 1 INJ *** NWS STORM SURVEY TEAM DETERMINED AN EF-2 TORNADO IN THE TOWN OF HORNTOWN IN EASTERN GRAYSON COUNTY. THREE MOBILE HOMES WERE DESTROYED AND ONE WAS BLOWN 40 (LMK)
1558,UNK,3 NW HOPKINSVILLE,CHRISTIAN,KY,36.89,-87.53,UNCONFIRMED REPORT OF A TORNADO ON THE GROUND IN A FIELD BY NORTH SINKING FORK ROAD. (PAH)
1613,UNK,HODGENVILLE,LARUE,KY,37.57,-85.74,NWS STORM SURVEY TEAM DETERMINED AN EF-2 TORNADO TOUCHED DOWN NEAR DOWNTOWN HODGENVILLE AT CITIZENS UNION BANK AND A NEARBY NEIGHBORHOOD WHERE SEVERAL STURDY HOUSES WER (LMK)
1618,UNK,HODGENVILLE,LARUE,KY,37.57,-85.74,DEBRIS AND FUNNEL SEEN NEAR FAIRGROUNDS (LMK)
1842,UNK,1 N GRASSY CREEK,MORGAN,KY,37.88,-83.35,AN EF2 TORNADO TOUCHED DOWN AT 142 PM EST 1 MILE NORTH OF GRASSY CREEK AND MOVED EAST SOUTHEAST TO MALONE. THE PATH LENGTH WAS 5 MILES. WINDS WERE ESTIMATED AT 120 MPH. (JKL)
1847,UNK,1 SE CENTER,METCALFE,KY,37.13,-85.68,AN EF-1 TORNADO TOUCHED DOWN SE OF CENTER NEAR HERBERT HODGES ROAD. IT DAMAGED 3 OR 4 BARNS AND SNAPPED NUMEROUS TREES ALONG ITS 1.1 MILE PATH. THE TORNADO LIFTED 1.5 M (LMK)
1925,UNK,1 N RUSSELL SPRINGS,RUSSELL,KY,37.06,-85.08,EF-2 TOUCHED DOWN NEAR HIGHWAY 127 AND MOUNT UNION ROAD. TRACKED NORTHEAST INTO SOUTHERN CASEY COUNTY AND LIFTED NEAR THE TOWN OF WINDSOR. OUTBUILDINGS ALONG WITH BARNS (LMK)
1927,UNK,4 W WINDSOR,CASEY,KY,37.13,-84.98,THE TORNADO FROM RUSSELL COUNTY CONTINUED INTO SOUTHERN CASEY COUNTY. IT WEAKENED TO EF-1 STRENGTH IN CASEY COUNTY DAMAGING TREES...BARNS...AND OUTBUILDINGS BEFORE IT L (LMK)
1953,UNK,2 WSW DABNEY,PULASKI,KY,37.18,-84.58,AN EF-1 TORNADO TOUCHED DOWN AT 253 PM EST ABOUT 3 MILES EAST-NORTHEAST OF SCIENCE HILL. THE TORNADO CONTINUED TO THE EAST-NORTHEAST APPROXIMATELY 1.5 MILES BEFORE DISS (JKL)
2147,UNK,1 NNW SMITHVILLE,DE KALB,TN,35.97,-85.83,*** 1 FATAL *** EF1 TORNADO WITH MAX WINDS AROUND 90 MPH. 13.7 MILE DAMAGE PATH AND 200 YD MAX PATH WIDTH. BEGAN ON NORTH SIDE OF SMITHVILLE THEN TRACKED RAPIDLY EASTWA (OHX)
2202,UNK,7 NNW SPARTA,WHITE,TN,36.02,-85.53,EF0 TORNADO WITH MAX WINDS OF 85 MPH. 1.8 MILE DAMAGE PATH AND 50 YD MAX PATH WIDTH. BEGAN SOUTHWEST OF LINVILLE RD AND TRACKED RAPIDLY EASTWARD ACROSS HIGHWAY 111 BEFO (OHX)
