Time,F-Scale,Location,County,State,Lat,Lon,Comments
1835,UNK,GIRARD,TRUMBULL,OH,41.15,-80.7,AN EF0 TORNADO TOUCHED DOWN IN GIRARD OHIO AND TRACKED ACROSS LIBERTY TOWNSHIP OHIO. MAXIMUM WINDS WERE ESTIMATED AT 60 TO 70 MPH. THE STORM TRACKED EAST AT 25 MPH. THE (CLE)
2204,UNK,2 S SIDNEY,DELAWARE,NY,42.28,-75.4,TORNADO OBSERVED BY PILOT AND 3 OTHER PEOPLE AT THE SIDNEY AIRPORT (BGM)
Time,Speed,Location,County,State,Lat,Lon,Comments
1704,59,DUNKIRK,CHAUTAUQUA,NY,42.49,-79.35,WIND GUST 59 MPH (BUF)
1730,UNK,DUNKIRK,CHAUTAUQUA,NY,42.49,-79.34,TREES DOWN IN CITY (BUF)
1735,UNK,HAMBURG,ERIE,NY,42.72,-78.83,TREE LIMBS AND POWER LINES DOWN (BUF)
1745,UNK,BUFFALO,ERIE,NY,42.89,-78.86,TREE DOWN ON LOUISIANA AND REPUBLIC IN THE CITY OF BUFFALO (BUF)
1750,UNK,EAST AURORA,ERIE,NY,42.77,-78.62,TREE LIMBS AND POWER LINES DOWN (BUF)
1800,UNK,CLARENCE,ERIE,NY,42.98,-78.59,TREES AND WIRES DOWN REPORT VIA WIVB TV (BUF)
1801,UNK,1 SE WINCHESTER,CITY OF WINCHESTE,VA,39.16,-78.16,TREE KNOCKED DOWN ONTO GUARDRAIL OF I-81 SOUTHBOUND NEAR MILE MARKER 313. (LWX)
1802,UNK,CALEDONIA,LIVINGSTON,NY,42.98,-77.86,WIRE DOWN (BUF)
1808,UNK,WEST SPARTA,LIVINGSTON,NY,42.63,-77.77,TREE DOWN (BUF)
1808,UNK,CHILI CENTER,MONROE,NY,43.1,-77.77,WIRES DOWN (BUF)
1823,UNK,ROCHESTER,MONROE,NY,43.15,-77.61,TREES AND WIRES DOWN IN THE CITY OF ROCHESTER (BUF)
1845,UNK,GREENFIELD,FRANKLIN,MA,42.59,-72.6,TREE UPROOTED ON SILVER ST (BOX)
1846,UNK,6 E CHAMBERSBURG,FRANKLIN,PA,39.93,-77.54,POLE SNAPPED ON CAMPBELLS RUN ROAD IN ST. THOMAS TOWNSHIP (CTP)
1846,UNK,6 W CHAMBERSBURG,FRANKLIN,PA,39.93,-77.77,POLE SNAPPED ON CAMPBELLS RUN ROAD IN ST. THOMAS TOWNSHIP (CTP)
1850,UNK,WALWORTH,WAYNE,NY,43.14,-77.27,NUMEROUS TREES... TREE LIMBS AND WIRES DOWN IN WALWORTH AND ONTARIO (BUF)
1852,UNK,SODUS,WAYNE,NY,43.24,-77.06,TREE LIMDS AND WIRES DOWN (BUF)
1857,UNK,NORTHFIELD,FRANKLIN,MA,42.71,-72.44,LARGE TREE AND WIRES DOWN ON RT 142 AT WOZNIAK RD (BOX)
1901,UNK,WINCHESTER,CHESHIRE,NH,42.78,-72.38,TREE DOWN ON JONES RD (BOX)
1905,UNK,4 SW CHAMBERSBURG,FRANKLIN,PA,39.89,-77.71,TREES AND WIRES DOWN IN SOUTHERN HAMILTON TOWNSHIP (CTP)
1905,UNK,HADLEY,HAMPSHIRE,MA,42.35,-72.58,TREE DOWN ON HOUSE ON BAY RD (BOX)
1910,UNK,PITTSFORD,MONROE,NY,43.09,-77.52,LARGE TREE DOWN BLOCKING ROAD (BUF)
1918,UNK,1 WSW LEWISTOWN,FREDERICK,MD,39.53,-77.43,WIRES DOWN ON POWELL ROAD DUE TO WIND. (LWX)
1925,UNK,LEYDEN,FRANKLIN,MA,42.7,-72.62,TREE DOWN ON WIRES ON EAST HILL RD (BOX)
1927,UNK,SWANZEY,CHESHIRE,NH,42.87,-72.28,TREE AND WIRES DOWN ON FLAT ROOF MILL RD (BOX)
1929,UNK,5 N PHOENIX,OSWEGO,NY,43.3,-76.3,TREES AND WIRES DOWN (BUF)
1939,UNK,HOT SPRINGS,GARLAND,AR,34.49,-93.05,TREES REPORTED DOWN IN HOT SPRINGS. (LZK)
1940,UNK,BENNINGTON,HILLSBOROUGH,NH,43,-71.93,TREE AND WIRES DOWN ON ROUTE 202 AT ROUTE 137 (BOX)
1941,UNK,1 W UNIONTOWN,CARROLL,MD,39.59,-77.13,TREES DOWN AT MIDDLEBURG ROAD AND BARK HILL ROAD. (LWX)
1944,UNK,MINETTO,OSWEGO,NY,43.4,-76.48,TREES AND WIRES DOWN (BUF)
1950,UNK,2 W MAGNET COVE,HOT SPRING,AR,34.45,-92.87,SEVERAL TREES AND POWER LINES REPORTED DOWN. (LZK)
1950,UNK,3 E ELYSBURG,COLUMBIA,PA,40.87,-76.49,*** 1 INJ *** TREE FELL ON CAMPER NEAR KNOBELS AMUSEMENT PARK. INJURY TO OCCUPANT APPARENTLY MINOR (CTP)
1958,UNK,2 NNE BERWICK,COLUMBIA,PA,41.08,-76.23,TREE DOWN IN BRIAR CREEK TOWNSHIP (CTP)
2000,UNK,EAST BERLIN,ADAMS,PA,39.94,-76.98,TREE DOWN ON POWER LINES AND BURNING (CTP)
2000,UNK,YORK,YORK,PA,39.96,-76.73,*** 1 INJ *** TREES DOWN ON CARLISLE AVENUE. ONE FELL ON MOTORCYCLIST (CTP)
2000,UNK,FRANKLIN,MERRIMACK,NH,43.44,-71.65,TREES AND WIRES DOWN (GYX)
2000,UNK,MEXICO,OSWEGO,NY,43.46,-76.23,TREES AND WIRES DOWN (BUF)
2000,UNK,ELLISBURG,JEFFERSON,NY,43.74,-76.13,TREES AND WIRES DOWN (BUF)
2006,UNK,HOT SPRINGS,GARLAND,AR,34.49,-93.05,TREE LIMBS REPORTED DOWN IN HOT SPRINGS. (LZK)
2007,UNK,HERSHEY,DAUPHIN,PA,40.28,-76.65,TREES DOWN IN DERRY TOWNSHIP (CTP)
2008,UNK,ALBION,ORLEANS,NY,43.25,-78.19,TREE DOWN (BUF)
2010,UNK,GRAFTON,WORCESTER,MA,42.2,-71.68,TREES DOWN ON ROUTE 122 (BOX)
2010,UNK,BELMONT,BELKNAP,NH,43.45,-71.48,TREES AND WIRES DOWN (GYX)
2010,UNK,MEREDITH,BELKNAP,NH,43.66,-71.5,TREES AND WIRES DOWN (GYX)
2015,UNK,2 NNE LONSDALE,SALINE,AR,34.57,-92.8,TREES REPORTED DOWN ACROSS HWY 70. (LZK)
2017,UNK,5 S BIRDSONG MARINA,BENTON,TN,35.89,-88,HIGHWAY DEPARTMENT REPORTED TREES DOWN ON MULTIPLE BACK ROADS IN SE BENTON COUNTY. (OHX)
2020,UNK,1 S GLENWOOD,PIKE,AR,34.32,-93.55,SEVERAL TREES REPORTED DOWN. (LZK)
2020,60,4 ENE MEREDITH,BELKNAP,NH,43.67,-71.43,CANOE FLIPPED AND MOVED 5FT (GYX)
2020,UNK,MOULTONBOROUGH,CARROLL,NH,43.75,-71.4,TREE FELL ON CAR...PERSON INSIDE RECEIVED MINOR INJURIES (GYX)
2037,UNK,WARRENTON,FAUQUIER,VA,38.72,-77.79,MULTIPLE TREES AND TREE LIMBS DOWN FROM STRONG THUNDERSTORM WINDS FROM WARRENTON NORTHWARD. (LWX)
2037,UNK,2 S NORRISVILLE,HARFORD,MD,39.67,-76.53,BRANCHES DOWN DUE TO WIND FELL INTO WIRES CAUSING FIRE. (LWX)
2038,UNK,2 NW SAVAGE,HOWARD,MD,39.16,-76.85,SEVERAL TREES DOWN NEAR INTERSECTION MURRAY HILL ROAD AND VOLLMERHAUSEN DRIVE. (LWX)
2039,UNK,NEW BREMEN,LEWIS,NY,43.84,-75.44,TREE DOWN BLOCKING ROAD AND WIRES DOWN (BUF)
2040,UNK,WEATHERLY,CARBON,PA,40.94,-75.82,TREES ON WIRES IN WEATHERLY BOROUGH. (PHI)
2040,UNK,TUFTONBORO,CARROLL,NH,43.7,-71.22,TREES AND WIRES DOWN IN TUFTONBORO (GYX)
2041,UNK,2 E EAST PETERSBURG,LANCASTER,PA,40.1,-76.32,SEVERAL TREES DOWN IN MANHEIM TOWNSHIP (CTP)
2045,UNK,3 S AMITY,CLARK,AR,34.22,-93.46,SEVERAL TREES WERE BLOWN DOWN OVER WESTERN CLARK COUNTY. (LZK)
2045,UNK,GRANBY,HARTFORD,CT,41.95,-72.78,TREE DOWN BLOCKING A ROAD (BOX)
2053,UNK,6 E DONALDSON,HOT SPRING,AR,34.23,-92.81,A TREE WAS BLOWN DOWN ACROSS ROUND HILL ROAD. (LZK)
2054,UNK,1 NE PARK HEIGHTS,BALTIMORE CITY,MD,39.35,-76.59,TREES DOWN NEAR INTERSECTION OF LOCH RAVEN BLVD. AND PENTWOOD RD. (LWX)
2054,UNK,MARTINSBURG,LEWIS,NY,43.74,-75.47,TREES AND WIRES DOWN (BUF)
2056,UNK,AGAWAM,HAMPDEN,MA,42.07,-72.62,TREE AND WIRES DOWN AT BARN RD AND ROWLEY ST. TREE DOWN ON SUFFIELD ST. (BOX)
2057,UNK,COSSATOT RIVER STATE PA,POLK,AR,34.38,-94.23,TREES REPORTED DOWN. (LZK)
2100,UNK,5 NNW DIERKS,HOWARD,AR,34.19,-94.05,SEVERAL TREES REPORTED DOWN NEAR HIGHWAY 278 AND LIBERTY HILL ROAD. (SHV)
2100,UNK,MOUNT IDA,MONTGOMERY,AR,34.55,-93.63,TREES REPORTED DOWN. (LZK)
2105,UNK,ATKINSON,ROCKINGHAM,NH,42.84,-71.15,LARGE LIMB DOWN ON MAPLE ST (GYX)
2105,UNK,FRYEBURG,OXFORD,ME,44.02,-70.98,TREE DOWN ON INTERSECTION OF RT 5 AND 113 (GYX)
2106,UNK,2 NE PARROTTSVILLE,COCKE,TN,36.03,-83.07,COCKE COUNTY D.O.T. REPORTED MULTIPLE TREES DOWN IN THE PARROTTSVILLE AREA. (MRX)
2106,UNK,FINE,ST. LAWRENCE,NY,44.25,-75.14,NUMEROUS TREES AND WIRES DOWN (BTV)
2110,UNK,FLEETWOOD,BERKS,PA,40.46,-75.82,TREES... WIRES... AND POLES DOWN IN FLEETWOOD. (PHI)
2110,UNK,SOUTH WINDSOR,HARTFORD,CT,41.82,-72.62,TREE AND WIRES DOWN AT SULLVAN ST AND PIERCE ST (BOX)
2111,UNK,1 ESE HIGHLANDTOWN,BALTIMORE CITY,MD,39.28,-76.53,TREE BRANCHES 5-6 INCHES IN DIAMETER WERE BLOWN DOWN BY STRONG THUNDERSTORM WINDS. (LWX)
2111,UNK,1 W ESSEX,BALTIMORE,MD,39.3,-76.47,FOUR INCH DIAMTER TREE LIMBS DOWN NEAR INTERSECTION OF RIVERSIDE DRIVE AND MARGARET AVENUE. (LWX)
2120,UNK,DARLINGTON,HARFORD,MD,39.63,-76.2,TREE DOWN AT 1862 DARLINGTON ROAD. (LWX)
2122,UNK,EXETER,ROCKINGHAM,NH,42.98,-70.95,TREE DOWN ON WINTER ST (GYX)
2130,UNK,HOLLYWOOD,CLARK,AR,34.1,-93.25,A TREE WAS BLOWN DOWN. (LZK)
2131,UNK,GRAPEVINE,GRANT,AR,34.15,-92.32,POWER LINES REPORTED DOWN. (LZK)
2140,UNK,SUGAR GROVE,BUTLER,KY,37.08,-86.67,LARGE OAK TREE DOWNED. ALSO MARBLE SIZE HAIL. (LMK)
2142,UNK,BRIMFIELD,HAMPDEN,MA,42.12,-72.2,TREE DOWN ON BATTERY AVE (BOX)
2143,65,PORT DEPOSIT,CECIL,MD,39.6,-76.12,(PHI)
2151,UNK,GRATERFORD,MONTGOMERY,PA,40.23,-75.45,LARGE TREE LIMBS DOWN... RANGING FROM 4 TO 8 FEET IN LENGTH. (PHI)
2153,UNK,6 E DONALDSON,HOT SPRING,AR,34.23,-92.81,A TREE WAS BLOWN DOWN ACROSS ROUND HILL ROAD. (LZK)
2155,UNK,ANDOVER,SUSSEX,NJ,40.99,-74.74,TREES DOWN IN ANDOVER. (PHI)
2200,UNK,DE QUEEN,SEVIER,AR,34.04,-94.34,LARGE TREE DOWN BLOCKING GILSON AVE. STREET WAS CLOSED. (SHV)
2200,UNK,SIDNEY,DELAWARE,NY,42.31,-75.4,TREES DOWN IN THE TOWN OF SIDNEY ON COUNTY ROUTE 4 (BGM)
2202,UNK,GURDON,CLARK,AR,33.92,-93.15,A LARGE LIMB WAS BLOWN DOWN. (LZK)
2204,UNK,CHESTERTOWN,KENT,MD,39.22,-76.07,NUMEROUS TREES AND WIRES DOWN FROM CHESTERTOWN TO FAIRLEE. (PHI)
2208,UNK,ELKTON,CECIL,MD,39.6,-75.82,SCATTERED TREES DOWN AND WIRES BENT ACROSS THE NORTHEAST PORTION OF CECIL COUNTY. (PHI)
2210,UNK,BLEVINS,HEMPSTEAD,AR,33.87,-93.58,TREES AND POWERLINES DOWN IN THE TOWN OF BLEVINS. (SHV)
2210,UNK,LAKE CLEAR,FRANKLIN,NY,44.37,-74.23,TREES AND POWER LINES DOWN BLOCKING ROUTE 30 (BTV)
2212,UNK,10 NW KINGSLAND,CLEVELAND,AR,33.96,-92.42,TREES REPORTED DOWN. (LZK)
2215,UNK,VERNON,SUSSEX,NJ,41.2,-74.48,TREE DOWN ONTO WIRES IN VERNON. (PHI)
2230,UNK,PRESCOTT,NEVADA,AR,33.8,-93.39,REPORTS OF COUNTLESS TREES DOWN NEAR PRESCOTT AND IN PORTIONS OF NORTH CENTRAL NEVADA COUNTY. (SHV)
2240,UNK,RINGWOOD,PASSAIC,NJ,41.11,-74.27,TREES DOWN ON SLOATSBURG ROAD IN RINGWOOD. TIME ESTIMATED BY RADAR. (OKX)
2245,UNK,HYDE PARK,DUTCHESS,NY,41.78,-73.93,TREE DOWN (ALY)
2248,UNK,CHIDESTER,OUACHITA,AR,33.7,-93.02,TREES REPORTED DOWN. (LZK)
2300,UNK,DUNELLEN,MIDDLESEX,NJ,40.59,-74.46,LARGE TREE LIMBS DOWN IN DUNELLEN. (PHI)
2300,UNK,GLENHAM,DUTCHESS,NY,41.52,-73.93,TREES DOWN (ALY)
2310,UNK,ASHDOWN,LITTLE RIVER,AR,33.67,-94.13,SEVERAL TREES WERE BLOWN DOWN COUNTY WIDE. (SHV)
2311,UNK,PINE PLAINS,DUTCHESS,NY,41.98,-73.66,TREE DOWN (ALY)
2315,UNK,LA GRANGE,DUTCHESS,NY,41.69,-73.82,TREE DOWN (ALY)
2320,UNK,PATMOS,HEMPSTEAD,AR,33.51,-93.57,A LARGE OAK TREE WAS BLOWN DOWN. (SHV)
2327,60,NEWARK AIRPORT,ESSEX,NJ,40.69,-74.18,(OKX)
2330,UNK,AMENIA,DUTCHESS,NY,41.85,-73.55,TREES DOWN (ALY)
