Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0320,UNK,3 S FOLSOM,ST. TAMMANY,LA,30.59,-90.2,WIDESPREAD POWER LINE AND TREE DAMAGE REPORTED FROM BENNETT BRIDGE ROAD TO BUSH-FOLSOM ROAD AREA. TIME ESTIMATED FROM RADAR. (LIX)
Time,Size,Location,County,State,Lat,Lon,Comments
1913,100,5 SW CRANFIELD,ADAMS,MS,31.49,-91.27,NICKEL TO QUARTER SIZE HAIL COVERING PATIO (JAN)
1935,100,KINGSTON,ADAMS,MS,31.41,-91.28,QUARTER SIZED HAIL REPORTED IN KINGSTON COMMUNITY BY EMERGENCY MANAGER. (JAN)
1947,100,2 NW ROXIE,FRANKLIN,MS,31.53,-91.09,(JAN)
2355,150,4 NE COLUMBIA,MARION,MS,31.3,-89.78,ALONG GATES RD (JAN)
0013,100,SUMRALL,LAMAR,MS,31.42,-89.55,REPORTS OF DIME TO QUARTER SIZE HAIL IN SUMRALL. (JAN)
0340,100,10 S MANDEVILLE,GMZ530,LA,30.23,-90.08,(LIX)
0348,100,BOGALUSA,WASHINGTON,LA,30.78,-89.86,SPOTTER REPORTS QUARTER SIZED HAIL IN THE CITY OF BOGALUSA. (LIX)
0355,175,LACOMBE,ST. TAMMANY,LA,30.31,-89.93,(LIX)
0407,100,3 NNW PEARL RIVER,ST. TAMMANY,LA,30.41,-89.77,REPORT FROM THE HICKORY AREA. (LIX)
0425,100,SLIDELL,ST. TAMMANY,LA,30.28,-89.78,(LIX)
