Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1350,UNK,LITTLE YORK,CORTLAND,NY,42.7,-76.16,LIMBS DOWN. CANOPIES AND LAWN FURNITURE BLOWN INTO LAKE. EST. WIND SPEED 50-60 MPH. (BGM)
2000,UNK,RUSHVILLE,RUSH,IN,39.61,-85.45,LARGE TREE FELL ON HOUSE IN RUSHVILLE. SEVERAL OTHER TREES UPROOTED IN THE AREA...ALONG WITH DAMAGE TO 2 HOMES AND 1 APARTMENT COMPLEX. NUMEROUS POWER OUTAGES. (IND)
2000,UNK,INDIANAPOLIS,MARION,IN,39.78,-86.15,LARGE TREE FELL ON HOUSE IN RUSHVILLE. SEVERAL OTHER TREES UPROOTED IN THE AREA...ALONG WITH DAMAGE TO 2 HOMES AND 1 APARTMENT COMPLEX. NUMEROUS POWER OUTAGES. (IND)
2023,UNK,4 SE OXFORD,BUTLER,OH,39.47,-84.7,LARGE TREE LIMBS DOWN AT MARSHALL ELEMETARY SCHOOL YARD. WINDS ESTIMATED AT 50 MPH. TIME IS ESTIMATED. CORRECTED TIME. (ILN)
2036,UNK,BARTLETT,SHELBY,TN,35.22,-89.84,SEVERAL TREES DOWN IN THE BARTLETT AREA (MEG)
2115,UNK,4 SE OXFORD,BUTLER,OH,39.47,-84.7,LARGE TREE LIMBS DOWN AT MARSHALL ELEMETARY SCHOOL YARD. WINDS ESTIMATED AT 50 MPH. TIME IS ESTIMATED. (ILN)
2335,UNK,2 N PANORA,GUTHRIE,IA,41.72,-94.36,WEST FACING SECTIONS OF THE PORT RESTAURANT DAMAGED. PIECES OF ROOFING AND PLYWOOD THROWN INTO DITCH NEXT TO ROAD. SEVERAL EXPOSED ROOF TRUSSES VISIBLE. (DMX)
0000,UNK,6 ESE PERRY AIRPORT,DALLAS,IA,41.78,-94.07,FOUR 4 INCH TREE LIMBS DOWN IN YARD. LAWN FURNITURE AND GRILL BLOWN AROUND AND DESTROYED. LARGE FLATBED TRAILER BLOWN ACROSS THE ROAD. TIME ESTIMATED FROM RADAR. (DMX)
0315,UNK,13 SW CURTIS,FRONTIER,NE,40.5,-100.69,STRONG THUNDERSTORM WINDS TIPPED OVER SOME FARM EQUIPMENT. HAIL ALSO OCCURRED ALTHOUGH SIZE UNKNOWN. (LBF)
0330,UNK,18 S MAYWOOD,FRONTIER,NE,40.4,-100.62,STRONG WINDS TIPPED OVER SOME IRRIGATION PIPE. WIND GUSTS ESTIMATED UP TO 60 MPH. PEA TO MARBLE SIZED HAIL ALSO OCCURRED WITH THIS STORM. (LBF)
Time,Size,Location,County,State,Lat,Lon,Comments
