Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0058,UNK,1 NNE KILLEARN LAKES,LEON,FL,30.59,-84.22,TREE DOWN ON DEER LAKE ROAD. (TAE)
Time,Size,Location,County,State,Lat,Lon,Comments
1938,150,4 ENE FINGER,MCNAIRY,TN,35.38,-88.55,PING PONG BALL SIZE HAIL WAS REPORTED 4 ENE OF FINGER IN MCNAIRY COUNTY. (MEG)
2027,100,N MT HOPE,LAWRENCE,AL,34.46,-87.48,QUARTER SIZE HAIL WAS REPORTED. (HUN)
2035,100,ADAMSVILLE,MCNAIRY,TN,35.23,-88.39,PEA TO QUARTER SIZE HAIL REPORTED ON HWY 22 1 MILE FROM THE INTERSECTION WITH HWY 64 NEAR ADAMSVILLE. (MEG)
2055,100,SEDGEWICKVILLE,BOLLINGER,MO,37.52,-89.91,QUARTER SIZE HAIL REPORTED. (PAH)
2112,125,MILLERSVILLE,CAPE GIRARDEAU,MO,37.42,-89.8,HALF DOLLAR SIZE HAIL REPORTED. (PAH)
2117,175,6 S WAVERLY,HUMPHREYS,TN,36.01,-87.79,(OHX)
2120,100,LORETTO,LAWRENCE,TN,35.08,-87.44,(OHX)
2150,175,4 N CENTERVILLE,HICKMAN,TN,35.85,-87.45,HAIL REPORTED IN NUNNELLY (OHX)
2155,175,ENE TOWN CREEK,LAWRENCE,AL,34.68,-87.4,GOLF BALL SIZE HAIL WAS REPORTED. (HUN)
2209,100,4 NW MIDDLEBURG,CLAY,FL,30.09,-81.94,DIME TO QUARTER SIZE HAIL AT HIGHWAY 218 AND BLUEJAY DR. (JAX)
2225,175,12 NNE CENTERVILLE,HICKMAN,TN,35.95,-87.37,PUBLIC REPORT RELAYED FROM NANCY VANCAMP AT WSMV. (OHX)
2225,100,FAIRVIEW,WILLIAMSON,TN,35.98,-87.12,(OHX)
2245,175,GREENBRIER,ROBERTSON,TN,36.42,-86.8,(OHX)
2247,100,5 WSW SYLVESTER,WORTH,GA,31.51,-83.91,MOSTLY PEA TO DIME SIZE HAIL WITH A FEW HAIL STONES AROUND QUARTER SIZE. ALONG SPRING FLATS ROAD IN WESTERN WORTH COUNTY. (TAE)
2300,100,CHARLOTTE,DICKSON,TN,36.18,-87.35,(OHX)
2300,150,4 SSE PORTLAND,SUMNER,TN,36.53,-86.49,(OHX)
2302,150,FRANKLIN,WILLIAMSON,TN,35.93,-86.84,(OHX)
2315,100,2 N ASHLAND CITY,CHEATHAM,TN,36.31,-87.06,(OHX)
2318,100,1 NE FRANKLIN,WILLIAMSON,TN,35.94,-86.83,(OHX)
2324,100,2 S BIRDS,LAWRENCE,IL,38.81,-87.67,SWOP REPORT. (ILX)
