Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
2040,60,4 SE HOBART,KIOWA,OK,34.99,-99.04,(OUN)
2124,UNK,HUTCHINSON,RENO,KS,38.07,-97.91,TREE DOWNED ON SOUTHWEST SIDE OF TOWN. (ICT)
2130,61,1 W KINGFISHER,KINGFISHER,OK,35.86,-97.95,(OUN)
2145,69,4 W OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.58,(OUN)
2147,UNK,4 NNW CLEARWATER,SEDGWICK,KS,37.56,-97.53,FENCE DAMAGED AND NUMEROUS TREE LIMBS DOWNED. (ICT)
2153,UNK,3 SE EDMOND,OKLAHOMA,OK,35.62,-97.44,LOCAL BROADCAST MEDIA AND NEWSPAPER REPORTED DAMAGE FROM A THUNDERSTORMS OVER SOUTHERN EDMOND. FOUR POWER POLES WERE DOWNED AND FOUR OTHERS DAMAGED AT THE EDMOND HYUNDA (OUN)
2159,63,BRAMAN,KAY,OK,36.92,-97.33,(OUN)
2211,67,JABARA AIRPORT,SEDGWICK,KS,37.75,-97.22,(ICT)
2225,65,7 SSE RED ROCK,NOBLE,OK,36.37,-97.13,(OUN)
2226,UNK,6 E ANDOVER,BUTLER,KS,37.69,-97.03,SHED DAMAGED AND BLOWN INTO ROADWAY AT HIGHWAY 400 AND SANTE FE LAKE ROAD. (ICT)
2239,60,EL DORADO,BUTLER,KS,37.82,-96.86,AT TURNPIKE EXIT. (ICT)
2245,60,GRAINOLA,OSAGE,OK,36.94,-96.65,HAIL TO THE SIZE OF DIMES COVERED THE GROUND. (TSA)
2330,UNK,5 E ADA,PONTOTOC,OK,34.78,-96.57,TRAILER HOME FLIPPED OVER (OUN)
2345,UNK,CANEY,MONTGOMERY,KS,37.01,-95.93,ROOF BLOWN OFF BARN AND ANOTHER OUT BUILDING. WALLS DOWNED ON OLD GARAGE. (ICT)
0025,59,PARSONS,LABETTE,KS,37.34,-95.27,PARSONS MIDDLE SCHOOL. (ICT)
0045,UNK,3 SW MCCUNE,CHEROKEE,KS,37.32,-95.05,TREE LIMBS AROUND 2 INCHES ACROSS ROADWAY. (SGF)
0103,64,FORT SCOTT,BOURBON,KS,37.84,-94.71,KFSK MEASURED WIND GUST TO 56KT OR 64MPH. (SGF)
0104,UNK,FRONTENAC,CRAWFORD,KS,37.46,-94.69,10 INCH TREE LIMBS REPORTED IN THE CITY (SGF)
0104,UNK,FORT SCOTT,BOURBON,KS,37.84,-94.71,SEVERE THUNDERSTORM WIND GUSTS DAMAGED POWER LINES IN THE CITY OF FORT SCOTT. (SGF)
0133,UNK,NEVADA,VERNON,MO,37.84,-94.35,SEVERE THUNDERSTORM WIND GUSTS DAMAGED A SUBWAY RESTAURANT IN NEVADA. (SGF)
Time,Size,Location,County,State,Lat,Lon,Comments
2120,175,NORTH ENID,GARFIELD,OK,36.44,-97.87,RELAYED FROM MEDIA-NEWS9 VIA TWITTER. (OUN)
2206,100,1 ESE WICHITA,SEDGWICK,KS,37.68,-97.33,(ICT)
2221,100,BENTON,BUTLER,KS,37.79,-97.11,(ICT)
2300,100,5 ENE DELPHOS,OTTAWA,KS,39.31,-97.7,QUARTER SIZE HAIL COVERING THE GROUND. HAIL WAS STILL PRESENT ON THE GROUND FOR 3 HOURS AFTER THE EVENT OCCURRED. (TOP)
2305,100,5 NE DELPHOS,CLOUD,KS,39.33,-97.71,COVERING GROUND (TOP)
