Time,F_Scale,Location,County,State,Lat,Lon,Comments
2120,UNK,1 W PERRIS,RIVERSIDE,CA,33.79,-117.24,LANDSPOUT OBSERVED AT 230 PM PDT NEAR PERRIS. REPORTED TO THE NWS BY RIV187. RECIEVED PHOTOS AND RECORDED VIDEOS. (SGX)
Time,Speed,Location,County,State,Lat,Lon,Comments
2200,UNK,LAKE ELSINORE,RIVERSIDE,CA,33.67,-117.32,2 TO 3 INCH THICK TREE LIMBS DOWN FROM THUNDERSTORMS IN LAKE ELSINORE AROUND 3 PM PDT. (SGX)
0008,UNK,7 NNW VALLEY CENTER,SAN DIEGO,CA,33.31,-117.06,OAK TREE BLOWN DOWN ACROSS LILAC ROAD NEAR INTERSECTION WITH SAN LUIS REY DRIVE. NEWSPAPER REPORT OF ADDITIONAL TREES BLOWN DOWN ACROSS LILAC ROAD NEAR INTERSECTION WIT (SGX)
0010,UNK,7 E YUMA,YUMA,AZ,32.68,-114.5,POWER LINES DOWN. (PSR)
0025,UNK,5 ESE PAUMA VALLEY,SAN DIEGO,CA,33.29,-116.9,NWS EMPLOYEE TOOK PHOTOS OF 3 LARGE PINE TREES DOWNED BY WIND. WEATHER SPOTTER REPORTED 40 MPH WIND AND PEA SIZE HAIL IN AREA. SDGE WEATHER STATION AT CUCA RANCH HAD 42 (SGX)
0030,UNK,4 ESE SOMERTON,YUMA,AZ,32.57,-114.66,METAL SHED BLOWN 30 YARDS. 4 INCH TREE LIMBS BROKEN OFF. (PSR)
0030,65,2 NW YUMA,YUMA,AZ,32.69,-114.64,(PSR)
0313,UNK,2 W MECCA,RIVERSIDE,CA,33.58,-116.11,PALM TREE DOWN ON ROAD REPORTED BY CHP. (SGX)
0323,UNK,BORREGO SPRINGS,SAN DIEGO,CA,33.24,-116.35,3300 BORREGO VALLEY ROAD. POWER POLE DOWN...WIRES AT CAR LEVEL. (SGX)
0330,60,2 NNE BORREGO SPRINGS,SAN DIEGO,CA,33.26,-116.35,AT 830 PM PDT...BORREGO SPRINGS SDGE STATION MEASURED SUSTAINED 34 MPH GUSTING TO 60 MPH. (SGX)
0530,58,11 NE KREMLIN,HILL,MT,48.67,-109.88,(TFX)
Time,Size,Location,County,State,Lat,Lon,Comments
