Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1208,UNK,1 S FANNING SPRINGS,LEVY,FL,29.57,-82.93,FIRE DEPARTMENT REPORTED POWERLINES DOWN AROUND THE FANNING SPRINGS AREA. (TBW)
1252,UNK,3 NNE CEDAR KEY,LEVY,FL,29.18,-83.02,FIRE DEPARTMENT REPORTED A TREE BLOCKING CR 347 NEAR CEDAR KEY. (TBW)
1931,60,2 NW WITTEN,TRIPP,SD,43.46,-100.13,HEAVY RAIN (UNR)
1936,UNK,CARTER,TRIPP,SD,43.39,-100.2,SOUTHEAST CORNER OF RED HILLS SALOON ROOF WAS TORN OFF (UNR)
2152,71,1 N CANNON AFB,CURRY,NM,34.39,-103.31,KCVS ASOS. (ABQ)
2154,UNK,2 S CANYON LAKE,COMAL,TX,29.84,-98.26,THUNDERSTORM WINDS DAMAGED THE ROOF OF A HARDWARE STORE IN STARTZVILLE AND BROKE TREE LIMBS. TIME ESTIMATED WITH RADAR. (EWX)
2205,UNK,5 WNW INGALLS,MENOMINEE,MI,45.39,-87.71,MULTIPLE TREES DOWN ON MENOMINEE COUNTY ROAD 577 NEAR THE WISCONSIN STATE LINE. TIME ESTIMATED FROM RADAR. (MQT)
2207,65,CLOVIS,CURRY,NM,34.41,-103.2,CLOVIS FIRE STATION (ABQ)
2210,60,2 E JOHNSTOWN,BROWN,NE,42.57,-100.02,(LBF)
2228,60,3 N MILESVILLE,HAAKON,SD,44.5,-101.67,DIME SIZED HAIL AND VERY HEAVY RAIN (UNR)
2316,UNK,1 SW UNIVERSAL CITY,BEXAR,TX,29.54,-98.32,DELAYED REPORT...THUNDERSTORM WINDS BLEW DOWN LARGE TREE ONTO HOUSE. TIME ESTIMATED WITH RADAR. (EWX)
0745,71,2 E FORT SUMNER,DE BACA,NM,34.48,-104.2,(ABQ)
Time,Size,Location,County,State,Lat,Lon,Comments
