Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
0332,63,SIDNEY,FREMONT,IA,40.75,-95.64,(OAX)
0430,60,LEWIS,CASS,IA,41.3,-95.09,(DMX)
0642,58,4 SSW NORFOLK,MADISON,NE,41.98,-97.43,ASOS STATION KOFK NORFOLK AIRPORT. (OAX)
Time,Size,Location,County,State,Lat,Lon,Comments
0027,125,ASHERVILLE,MITCHELL,KS,39.41,-97.98,HALF DOLLAR HAIL INITIALLY. INCRSD TO GOLF BALL SIZE AT 730 PM. RELAYED BY KAKE-TV. (GID)
0030,150,5 NNW GLASCO,CLOUD,KS,39.43,-97.87,(TOP)
0050,100,1 WSW CONCORDIA,CLOUD,KS,39.57,-97.68,(TOP)
0124,125,3 SSW HADDAM,WASHINGTON,KS,39.82,-97.32,DELAYED REPORT. HAIL COVERING THE GROUND WITH MAX HAIL SIZE UP TO 1.25 INCHES. (TOP)
0137,125,BEATRICE,GAGE,NE,40.27,-96.75,(OAX)
0154,150,2 E PICKRELL,GAGE,NE,40.38,-96.69,(OAX)
0212,150,2 E SPRAGUE,LANCASTER,NE,40.63,-96.71,(OAX)
0245,100,3 E KEARNEY,BUFFALO,NE,40.71,-99.03,FROM FACEBOOK POST. (GID)
0306,175,6 NW GIBBON,BUFFALO,NE,40.81,-98.93,UPDATE FROM PREVIOUS REPORT. HAIL SIZE INCREASED TO GOLF BALL SIZE FOR A FEW MINUTES. (GID)
0311,100,PRAIRIE VIEW,PHILLIPS,KS,39.83,-99.57,MOSTLY PENNY SIZE... SOME AS LARGE AS QUARTERS. HAIL COVERING THE GROUND. (GID)
0325,100,2 N HILDRETH,KEARNEY,NE,40.37,-99.05,DELAYED REPORT. TIME ESTIMATED FROM RADAR. REPORT VIA FACEBOOK. (GID)
0410,100,GARNER,HANCOCK,IA,43.1,-93.6,(DMX)
1155,100,OWATONNA,STEELE,MN,44.09,-93.22,(MPX)
