Time,F_Scale,Location,County,State,Lat,Lon,Comments
0005,UNK,8 NW TALLULAH,MADISON,LA,32.5,-91.27,VIDEO TAKEN FROM THE EAST SIDE OF BEAR LAKE OF A TORNADO... SHARED VIA SOCIAL MEDIA. (JAN)
0111,UNK,10 NW EDWARDS,WARREN,MS,32.42,-90.73,THIS WEAK TORNADO TOUCHED DOWN ALONG FOX ROAD WHERE A FEW TREES WERE UPROOTED AND LARGE BRANCHES SNAPPED. THE TORNADO TRAVELED FOR 2 MILES AND CROSSED FLOWERS HILL ROAD (JAN)
Time,Speed,Location,County,State,Lat,Lon,Comments
1920,UNK,5 SW HENDERSON,RUSK,TX,32.11,-94.85,SPOTTER REPORTED A DOWNED TREE AT US HWY. 79 AND AND CR 402 AS WELL AS AT CR. 407 AND 79. SPOTTER WITNESSED THE EVENT AND REPORTED WINDS NEAR 40 MPH. TREES WERE UPROOTE (SHV)
0034,UNK,1 NW WINONA,MONTGOMERY,MS,33.5,-89.74,AN 18 WHEELER WENT OFF A ROAD AND INTO A RAVINE ALONG US HIGHWAY 82 NEAR HIGHWAY 51. (JAN)
Time,Size,Location,County,State,Lat,Lon,Comments
2129,100,6 SE MUSTANG RIDGE,CALDWELL,TX,30,-97.61,(EWX)
2203,100,2 NW ROSANKY,BASTROP,TX,29.95,-97.31,TIME ESTIMATED WITH RADAR. (EWX)
2209,175,DUCE,DESHA,AR,33.78,-91.27,HAIL UP TO THE SIZE OF GOLF BALLS REPORTED AT GRANNYS STORE NEAR DUCE. (LZK)
2251,100,2 ESE BASTROP,MOREHOUSE,LA,32.77,-91.88,(JAN)
2320,175,BELMONT,GONZALES,TX,29.52,-97.68,TWO PUBLIC REPORTS IN BELMONT OF HAIL RANGING FROM QUARTER TO GOLF BALL SIZED. TIME ESTIMATED WITH RADAR. (EWX)
0017,100,CARROLLTON,CARROLL,MS,33.51,-89.92,(JAN)
0032,100,2 W WINONA,MONTGOMERY,MS,33.49,-89.76,MOSTLY SMALL HAIL... BUT SOME UP TO QUARTER SIZE. (JAN)
