Time,F_Scale,Location,County,State,Lat,Lon,Comments
2336,UNK,4 E SHERIDAN LAKE,KIOWA,CO,38.47,-102.21,ROPE TORNADO ON THE GROUND FOR THE PAST 3 MINUTES (PUB)
0143,UNK,3 NE PLATO,CARVER,MN,44.81,-94,TORNADO RATED EF-0. IT MOVED EAST-NORTHEAST AND WAS ON THE GROUND FOR 3.2 MILES. CORN AND A FEW DOZEN TREES WERE DAMAGED AS THE TORNADO GENERALLY MOVED ACROSS SOME FIEL (MPX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1645,UNK,3 WSW LAKE WEIR,MARION,FL,29,-82.04,MARION COUNTY 911 DISPATCH REPORTS A LARGE TREE DOWNED BY STRONG WIND GUSTS ACROSS US 301 IN THE VICINITY OF SUMMERFIELD. TIME OF DAMAGE BASED ON RADAR DATA. (JAX)
1730,UNK,1 ESE PORT WENTWORTH,CHATHAM,GA,32.14,-81.16,TRAINED SPOTTER REPORTED POWER LINES BLOWN DOWN NEAR THE ENTRANCE TO THE GA PORT. HE ALSO OBSERVED PEA SIZE HAIL. (CHS)
2101,58,7 W OSCURO,LINCOLN,NM,33.5,-106.18,WHITE SANDS MISSILE RANGE - OSCURA RANGE CAMP.... WHITE SANDS MISSILE RANGE - OSCURA RANGE CAMP. (ABQ)
2245,60,10 SE ATWOOD,RAWLINS,KS,39.71,-100.91,(GLD)
2250,60,5 ESE STOCKTON,ROOKS,KS,39.41,-99.18,NICKLE SIZED HAIL AND WIND GUSTS UP TO 60 MPH. (GID)
2251,76,30 WNW TULAROSA,SIERRA,NM,33.24,-106.5,WSMR CALLED WITH STRONG WINDS AND HEAVY RAINS AT ONE OF THEIR SAMS SITES. (EPZ)
2316,70,ST. JOHNS AIRPORT,APACHE,AZ,34.52,-109.38,ST. JOHNS LAW ENFORCEMENT ALSO REPORTED TREES BLOWN DOWN IN TOWN. (FGZ)
2320,67,6 N FORT BLISS,EL PASO,TX,31.9,-106.43,DAVE NOVLAN REPORTED A 67 MPH GUST ALONG WITH 1.12 INCHES OF RAIN IN 50 MINUTES. (EPZ)
0008,60,3 SE OAKLEY,LOGAN,KS,39.1,-100.81,(GLD)
0100,UNK,4 NNW NEW GERMANY,CARVER,MN,44.94,-94,LARGE POLE BARN LIFTED UP AND DROPPED. LARGE AREA OF GRASS FLATTENED ABOUT 1/2 MILE FARTHER SOUTH. (MPX)
0110,UNK,STEWART,MCLEOD,MN,44.73,-94.49,NUMEROUS TREES AND BRANCHES DOWN IN STEWART. TIME ESTIMATED. (MPX)
0118,UNK,E HILLS,ROCK,MN,43.53,-96.35,3 INCH DIAMETER TREE BRANCHES DOWN (FSD)
0119,62,6 S HUTCHINSON,MCLEOD,MN,44.8,-94.37,MEASURED AT HIGHWAY 15 AND 135TH STREET. (MPX)
0143,UNK,3 W GLENCOE,MCLEOD,MN,44.77,-94.21,ROOF PARTIALLY OFF HOUSE. TREES DOWN. (MPX)
0145,UNK,5 SE HOWARD LAKE,WRIGHT,MN,45.01,-93.99,2 FOOT DIAMETER WILLOW TREE BRANCH DOWNED. MN HIDEN OBSERVER. TIME ESTIMATED. (MPX)
0159,UNK,MAYER,CARVER,MN,44.88,-93.89,6 INCH DIAMETER BRANCH DOWN. (MPX)
0214,UNK,BUFFALO,WRIGHT,MN,45.18,-93.87,SEVERAL TEN INCH DIAMETER TREE LIMBS SEVERED. TIME ESTIMATED. (MPX)
0452,61,SOUTH ST PAUL,DAKOTA,MN,44.89,-93.04,(MPX)
0745,63,2 N IONIA,CHICKASAW,IA,43.07,-92.46,RWIS SENSOR (ARX)
Time,Size,Location,County,State,Lat,Lon,Comments
1810,100,7 SSW HANCOCK,SWIFT,MN,45.4,-95.85,HAILED FOR ABOUT 15 MINUTES. LEAVES STRIPPED FROM CORN AND BEANS. (MPX)
1810,100,6 SSW HANCOCK,STEVENS,MN,45.41,-95.84,HAILED FOR ABOUT 15 MINUTES. LEAVES STRIPPED FROM CORN AND BEANS. (MPX)
2250,125,5 S MARSHALL,LYON,MN,44.38,-95.79,(FSD)
2333,100,LUVERNE,ROCK,MN,43.65,-96.21,(FSD)
2337,100,4 SSW MILROY,REDWOOD,MN,44.36,-95.59,(MPX)
2346,100,9 WNW MORA,KANABEC,MN,45.92,-93.48,LASTED FOR ABOUT FIVE MINUTES (MPX)
2350,175,5 E RUSSELL,LYON,MN,44.31,-95.84,(FSD)
0025,100,5 SSW LUVERNE,ROCK,MN,43.58,-96.23,(FSD)
0055,100,3 ENE WINSTED,WRIGHT,MN,44.99,-93.99,(MPX)
0117,125,STEWART,MCLEOD,MN,44.73,-94.49,STRONG WINDS NOTED AS WELL...BUT NO DAMAGE WAS REPORTED AT THIS TIME. (MPX)
0118,125,E HILLS,ROCK,MN,43.53,-96.35,(FSD)
0144,100,LESTER PRAIRIE,MCLEOD,MN,44.88,-94.04,(MPX)
0525,100,5 WNW GAINESVILLE,HALL,GA,34.33,-83.91,THE PUBLIC CALLED IN A REPORT OF QUARTER SIZED HAIL ONGOING NEAR GAINESVILLE. (FFC)
